"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"OLAH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACBD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"C10orf111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RPP38",6,0,6,0,7,43,1,0,3,1,3,0,0,1,2,70,2,0,1,1,1,0
"NMT2",6,1,0,1,12,95,2,1,0,5,4,1,3,1,0,57,2,1,0,5,6,4
"FAM171A1",0,0,0,0,8,33,2,2,0,0,1,1,0,0,0,87,0,0,0,1,5,0
"ITGA8",0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,13
"FAM188A",5,0,0,0,4,69,0,0,1,1,1,1,0,0,0,38,0,2,0,0,3,1
"PTER",7,1,3,0,1,28,0,0,1,1,2,0,0,0,0,51,2,1,1,1,1,1
"RSU1",59,1,30,1,23,219,2,3,3,7,4,13,1,0,1,141,12,3,7,3,20,13
"CUBN",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP11-406H21.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TRDMT1",5,0,3,0,2,9,0,1,0,1,0,0,0,0,0,5,0,0,1,0,1,1
"VIM-AS1",4,0,4,0,0,7,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,1
"VIM",2003,24,1408,31,1511,13019,112,164,63,210,202,55,41,28,62,96,158,117,339,79,788,820
"HACD1",0,0,3,0,4,4,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,18
"STAM-AS1",0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0
"STAM",6,0,8,0,4,39,2,0,0,1,3,2,0,0,0,25,0,0,0,5,2,0
"TMEM236",8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
"MRC1",347,0,61,0,0,1,0,8,0,0,1,0,0,0,0,4,0,0,4,0,0,0
"CACNB2",0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0
"RP11-499P20.2",0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,38,1,0,0,0,1,0
"NSUN6",16,0,12,0,4,32,1,0,2,2,0,0,0,0,0,29,2,0,1,0,4,2
"ARL5B",10,0,3,0,1,29,0,0,0,0,0,0,1,0,1,49,0,1,2,0,0,1
"MALRD1",1,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-354E11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PLXDC2",50,0,28,0,18,220,0,4,0,0,0,0,0,0,0,44,0,0,8,0,14,0
"RP11-575A19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"NEBL",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,33,0,1,0,0,1,1
"CASC10",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKIDA1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MLLT10",18,0,10,1,8,83,2,1,2,1,1,4,3,0,0,47,2,1,2,2,7,2
"DNAJC1",38,3,19,1,11,255,4,3,3,7,9,5,2,1,3,217,5,15,6,6,12,4
"RP11-573G6.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMMD3",30,2,24,0,26,209,2,1,10,6,2,10,0,0,2,186,5,5,10,3,11,13
"BMI1",8,0,2,1,5,79,1,1,1,4,0,4,1,0,0,37,3,2,2,0,3,3
"SPAG6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP4K2A",32,2,26,0,4,44,10,1,6,18,8,1,1,5,1,11,1,2,6,7,1,4
"MSRB2",47,0,15,0,22,241,0,2,0,2,0,11,2,1,0,294,2,1,5,0,8,9
"PTF1A",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-371A19.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTUD1",21,0,8,0,0,20,0,0,0,1,0,1,1,0,0,15,0,0,1,0,1,1
"KIAA1217",0,0,0,0,23,24,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,1
"ARHGAP21",15,0,4,0,7,118,0,1,0,0,1,1,0,0,0,79,2,1,3,0,3,4
"PRTFDC1",3,0,0,0,0,71,0,0,0,0,0,1,0,1,0,24,2,0,0,0,0,0
"RP11-165A20.3",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ENKUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"THNSL1",6,0,0,0,0,7,0,0,2,1,0,0,0,0,0,5,0,0,0,0,2,0
"GPR158",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
"APBB1IP",32,3,29,3,1,123,14,0,15,15,10,0,1,0,12,0,0,6,16,9,0,0
"PDSS1",1,0,0,0,1,5,0,0,1,0,0,1,0,0,1,79,0,0,2,0,1,1
"RP13-16H11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABI1",45,1,13,1,7,106,2,0,5,15,7,3,0,2,2,121,0,2,10,0,6,5
"ANKRD26",7,0,6,1,6,75,2,0,0,0,1,1,1,2,0,23,1,0,2,3,5,0
"YME1L1",60,1,34,2,9,180,5,6,6,8,15,5,1,0,4,191,4,4,12,4,12,5
"MASTL",0,0,1,0,1,7,1,1,0,2,0,0,0,0,0,10,0,0,0,0,0,1
"ACBD5",17,0,11,1,4,34,0,2,0,2,0,1,0,0,2,59,0,1,2,0,2,1
"PTCHD3",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB18",53,0,17,2,19,270,2,3,3,8,3,12,3,2,3,155,6,2,5,5,17,11
"MKX",0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"ARMC4",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPP7",0,0,1,0,0,14,2,6,0,2,1,5,0,0,0,28,0,0,1,0,0,3
"RP11-351M16.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"WAC-AS1",14,0,9,0,9,77,3,2,2,3,1,5,0,0,0,56,3,0,10,0,4,5
"WAC",57,2,21,2,15,185,4,3,6,4,10,5,2,1,1,137,5,4,17,5,7,8
"BAMBI",1,0,0,0,0,33,1,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0
"SVIL-AS1",3,0,0,0,6,47,0,0,0,2,0,2,0,1,0,8,0,0,0,0,4,3
