"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-395A13.2",10,9,1,1,3,0,0,0,3,0,1,1,0,0,3,4,5,3,1,3,7,0,0,0,2,4,1,0,0,4,1,9,19,13,1
"SAP130",17,9,1,3,1,0,0,0,4,1,0,0,0,0,1,5,5,3,0,0,2,0,1,0,1,1,1,2,4,2,0,6,16,14,1
"UGGT1",52,19,5,3,9,1,1,1,17,1,2,1,1,2,3,11,15,15,0,1,15,2,1,0,2,3,2,4,14,2,6,16,41,44,2
"HS6ST1",10,45,1,0,0,0,0,1,22,2,0,1,0,0,5,4,1,3,0,3,1,0,0,0,0,4,0,1,1,0,2,0,8,8,0
"AC079776.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB6C",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POTEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CCDC74B",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"SMPD4",32,13,3,3,3,0,1,0,6,4,0,0,0,2,1,14,8,7,0,0,7,0,1,0,1,5,0,2,15,5,8,19,47,21,1
"MZT2B",495,252,46,98,51,14,21,7,217,66,16,10,4,24,15,200,166,106,14,30,181,9,36,7,14,44,18,15,255,111,178,221,724,333,58
"CCDC115",140,73,16,21,16,5,7,4,58,20,2,4,2,10,16,69,41,35,1,15,38,3,7,3,2,15,1,11,45,15,12,86,104,78,13
"IMP4",142,75,8,21,15,1,4,1,37,17,3,2,1,4,12,58,23,20,2,14,23,1,8,2,4,23,5,3,162,23,14,62,184,88,13
"PTPN18",180,29,17,40,18,2,1,3,14,10,3,1,3,6,8,73,31,30,0,13,20,0,12,3,8,14,1,3,124,13,22,49,95,67,8
"TISP43",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CFC1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF4",1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,1,0
"FAM168B",24,24,2,6,2,2,1,0,14,8,2,1,1,4,2,12,7,7,3,1,8,0,2,3,2,5,2,1,5,4,1,16,60,40,7
"PLEKHB2",289,37,9,28,9,5,2,1,17,15,6,3,1,4,10,33,32,14,1,7,18,1,4,2,4,13,2,11,21,16,14,68,131,84,8
"POTEE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"MZT2A",221,153,52,34,34,9,24,5,115,68,11,8,2,11,7,169,125,98,6,20,146,5,14,7,4,38,9,7,161,77,107,202,454,121,17
"TUBA3D",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,0
"CCDC74A",3,29,0,0,2,0,0,0,13,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,10,0,0,1,1,3,1,4,0,1
