"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"ODF2L",13,31,29,8,10,7,4,8,95,46,10,2,16,3,83,131,47,3,27,112,5,5,4,0,3,1,0,20,11,4,106,43,118,5
"RP4-612B15.3",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,3,4,0
"SH3GLB1",152,42,29,27,17,7,4,14,109,37,6,1,11,8,93,47,41,4,37,54,1,5,1,3,20,8,8,156,9,12,92,171,215,24
"SEP15",177,73,68,50,13,16,15,19,360,58,10,4,7,19,296,109,79,4,130,175,9,7,1,12,17,26,8,358,16,12,141,226,261,24
"HS2ST1",11,14,1,3,2,1,0,1,24,5,0,0,3,7,14,4,3,2,5,9,0,0,0,0,0,5,0,120,1,0,4,21,36,2
"RP5-1052I5.2",0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01140",1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMO4",89,90,8,19,13,5,1,16,213,8,2,0,1,13,115,22,17,10,12,27,0,4,1,3,20,10,0,98,1,4,17,35,61,49
"PKN2-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PKN2",22,10,11,9,4,4,2,8,47,4,1,1,7,2,35,14,12,1,15,29,0,0,1,1,7,0,3,38,4,4,19,45,53,7
"GTF2B",40,10,15,20,7,4,3,0,49,27,5,1,1,4,62,36,26,2,37,44,0,1,3,0,7,2,2,76,5,6,29,41,19,4
"CCBL2",16,5,4,13,1,1,3,4,33,13,1,0,2,3,19,18,9,0,8,23,0,3,0,1,3,0,0,39,3,2,14,26,15,2
"RBMXL1",16,7,7,12,4,2,1,4,39,6,1,0,3,1,23,14,6,0,9,16,1,1,0,0,2,0,1,46,1,1,10,28,24,4
"GBP3",23,15,9,5,12,3,2,2,57,6,1,0,0,0,15,12,14,0,12,10,1,2,1,0,0,1,4,6,0,9,6,65,39,2
