"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"PRNP",21,2,7,0,96,7,2,4,22,2,5,4,6,0,1,9,0,2,5,0,1
"RASSF2",3,0,4,0,2,0,0,2,5,1,0,2,0,0,0,0,0,0,4,0,0
"SLC23A2",1,0,0,0,4,1,0,0,1,1,0,0,2,0,0,5,0,0,0,1,0
"TMEM230",15,2,29,0,96,34,2,12,62,27,8,10,23,3,6,173,4,9,13,2,6
"PCNA",4,0,8,1,15,7,1,2,18,8,0,1,7,1,0,109,1,0,3,1,3
"CDS2",3,4,0,0,5,9,0,4,13,1,2,1,4,1,3,15,2,0,0,0,2
"RP5-1022P6.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GPCPD1",4,0,5,0,0,1,0,5,11,3,2,1,4,0,1,16,0,1,6,0,1
"C20orf196",0,0,2,2,1,2,1,3,12,0,0,3,3,0,0,10,0,1,0,1,0
"CHGB",0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,23,0,0,0,1,0
"TRMT6",3,0,1,0,4,9,0,2,12,5,0,1,1,0,0,27,0,0,0,0,0
"MCM8",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0
"CRLS1",3,0,1,1,13,1,0,1,7,3,0,0,1,0,0,77,0,1,0,2,0
"RP5-1056H1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"FERMT1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0
"BMP2",1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,1
"TMX4",3,0,7,0,27,9,1,5,27,12,3,1,10,2,4,18,0,2,3,2,1
"RP5-971N18.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PLCB1",0,1,0,0,12,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,2
"PLCB4",0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,55,1,0,0,0,3
"LAMP5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKEF1",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0
"SNAP25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MKKS",11,0,11,0,25,9,0,6,16,5,3,2,11,1,5,174,0,2,2,1,1
