"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"PFKFB2",3,20,0,0,0,0,0,0,0,0,0,1,0,1,0,148,0
"YOD1",7,15,0,0,0,1,0,0,1,0,0,0,0,0,0,68,0
"C4BPB",1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,154,0
"C4BPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-6J21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD55",59,578,1,11,0,10,4,5,17,1,0,15,13,2,3,672,51
"CR2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"CR1",14,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"CR1L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD46",79,195,0,4,0,18,12,2,15,6,0,23,3,4,13,1157,40
"C1orf132",8,6,0,2,0,0,2,0,3,0,0,4,1,0,0,46,1
"CD34",0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,4,138
"PLXNA2",4,44,0,1,0,0,0,0,0,0,0,1,0,0,0,88,21
"CAMK1G",3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAMB3",6,27,0,0,0,1,3,1,2,1,0,22,0,1,1,1175,3
"RP1-28O10.1",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"G0S2",74,251,0,0,0,1,0,0,13,0,0,61,0,0,6,27,4
"HSD11B1",0,44,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0
"TRAF3IP3",13,5,5,4,0,23,27,5,1,6,0,0,1,15,46,10,1
"C1orf74",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"IRF6",2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,226,1
"DIEXF",4,30,0,0,0,0,0,0,3,1,0,6,0,1,2,81,5
"SYT14",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERTAD4-AS1",1,71,0,1,0,1,0,0,10,0,0,4,0,0,1,132,10
"SERTAD4",1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,74,3
