"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"SMAGP",1,2,1,0,0,0,9,1,0,7,0,10,9,5,0,3,0,0,0,116,2,0,0,43,1
"BIN2",0,3,8,3,1,0,2,13,3,0,0,11,51,32,0,8,0,5,11,5,1,1,1,1,0
"CELA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"GALNT6",2,0,1,1,0,0,0,1,0,1,2,2,8,6,1,0,1,1,3,20,0,0,0,2,0
"SLC4A8",0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"SCN8A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"RP11-923I11.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACVRL1",2,0,2,0,0,0,202,1,0,7,0,1,0,0,0,0,0,0,0,44,3,0,0,125,0
"ACVR1B",0,0,0,0,0,0,19,1,0,0,0,0,3,0,0,1,0,0,0,21,0,0,0,5,3
"GRASP",8,0,8,0,0,0,18,0,0,5,0,3,0,0,0,0,0,1,0,1,1,2,0,28,0
"NR4A1",52,3,28,0,2,53,1339,5,1,7,15,74,39,22,5,12,4,1,6,501,41,51,0,537,109
"RP11-1100L3.8",1,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,5,1,1,0,0,0
"ATG101",3,2,11,1,1,1,108,7,1,4,1,24,31,23,2,6,2,1,6,61,7,8,1,32,8
"KRT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1
"KRT86",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,12,1,0,0,0,0,0
"KRT81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0
"KRT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0
"KRT2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"KRT1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRT78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"KRT8",11,5,15,2,1,3,180,6,0,7,1,17,26,20,1,13,4,1,7,4572,17,12,0,107,8
"KRT18",8,7,3,0,1,1,96,2,1,17,0,13,31,11,0,3,2,1,3,2990,30,9,0,75,8
"EIF4B",17,11,48,3,8,4,359,14,5,17,3,68,117,61,6,46,9,3,20,166,4,9,9,113,21
"RP11-983P16.4",0,0,0,0,0,2,49,0,0,4,0,0,0,0,0,0,0,0,0,7,2,0,0,17,9
"TNS2",0,0,0,0,0,0,81,0,0,4,0,1,1,0,0,0,0,0,0,1,2,0,0,87,5
"SPRYD3",0,0,2,0,0,2,43,3,0,1,1,2,3,2,0,2,2,0,2,7,0,0,0,18,5
"IGFBP6",2,0,9,1,0,16,5190,5,0,3,0,6,11,10,0,5,0,0,2,29,12,4,0,74,20
"CSAD",1,2,3,0,0,1,50,0,0,1,0,3,4,3,2,3,0,0,4,7,4,1,0,16,5
"ZNF740",0,0,2,0,0,0,11,1,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,2,0
"ITGB7",2,6,10,3,2,1,9,13,5,0,2,13,46,45,2,18,2,0,17,4,1,3,2,0,0
"RARG",0,2,1,0,0,1,56,1,0,0,0,0,0,0,0,0,0,0,2,13,2,1,0,16,0
"MFSD5",1,1,0,0,0,1,16,2,0,1,0,1,11,3,0,0,0,1,0,10,0,1,0,4,0
"PFDN5",107,58,243,19,22,19,1734,110,15,93,29,386,595,398,34,185,51,10,111,798,50,69,28,426,60
"RP11-680A11.5",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf10",3,2,4,0,1,0,100,1,1,3,3,5,10,5,0,7,2,0,0,53,3,0,0,26,2
"AAAS",1,1,0,0,0,0,35,1,0,3,0,4,7,2,0,1,0,0,1,9,0,4,0,9,1
