"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"C1orf101",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"DESI2",37,15,2,5,0,1,0,0,5,12,0,1,12,0,0,1,2,9,22,10,308,34
"COX20",128,34,1,19,4,6,4,1,15,20,5,1,12,0,3,2,7,13,119,50,1829,41
"HNRNPU-AS1",9,8,0,4,0,1,0,0,1,2,1,0,0,0,0,0,2,2,15,3,47,11
"HNRNPU",250,53,6,28,10,9,6,2,38,55,11,4,32,2,6,4,32,37,257,89,1063,129
"RP11-11N7.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"RP11-156E8.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1
"EFCAB2",13,6,0,7,0,0,1,0,5,3,0,0,2,1,1,0,8,3,18,9,50,8
"KIF26B",1,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1
"SMYD3",7,20,0,1,0,1,0,1,3,4,2,0,1,1,0,0,0,12,2,14,162,8
"TFB2M",10,2,1,1,0,2,1,0,5,3,0,0,1,0,0,0,2,6,7,9,179,19
"CNST",11,4,0,0,1,0,0,0,2,6,0,0,5,0,0,0,2,12,15,16,94,37
"RP11-439E19.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"RP11-439E19.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"SCCPDH",132,8,3,1,0,1,0,1,2,3,2,1,0,0,1,0,2,15,23,7,354,31
"RP11-439E19.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AHCTF1",16,5,0,1,0,1,0,0,2,6,0,0,1,0,1,0,1,1,17,5,115,20
"ZNF695",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"ZNF670-ZNF695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ZNF670",3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,25,2
"ZNF669",7,3,0,1,1,0,0,1,1,3,1,0,0,0,0,0,1,1,9,2,35,1
"C1orf229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"ZNF124",17,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,2,9,5,35,1
"RP11-488L18.10",16,1,0,2,0,0,0,0,2,3,0,1,0,0,0,0,1,0,12,5,63,19
"RP11-488L18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"ZNF496",11,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,3,3,2,30,6
"NLRP3",102,3,0,7,0,0,1,0,0,1,0,1,0,0,1,1,0,0,263,1,3,0
"GCSAML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRIM58",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"RP11-407H12.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-438F14.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYPD8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,69,0
"SH3BP5L",7,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,5,2,62,2
"ZNF672",27,7,1,7,3,0,1,2,9,6,1,2,3,0,1,0,7,3,18,7,89,9
"ZNF692",7,2,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,5,4,66,3
"PGBD2",2,1,0,1,1,1,1,0,3,3,1,0,0,0,0,0,1,0,0,1,26,1
"FAM110C",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,78,0
"SH3YL1",13,8,0,3,0,0,1,0,3,0,0,1,7,0,0,0,0,5,3,4,155,6
"ACP1",121,60,0,14,2,6,5,2,26,29,8,3,16,1,4,2,16,27,93,51,862,60
"FAM150B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM18",34,15,1,3,0,1,1,0,5,4,1,0,3,1,1,1,3,14,27,7,235,26
"RP13-539J13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNTG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"AC144450.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"PXDN",0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35,0,0,3,230
"MYT1L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSC1",34,9,0,1,1,1,1,1,3,1,2,0,2,0,0,0,2,4,9,14,70,12
"TRAPPC12",20,12,1,1,0,1,1,0,6,0,0,1,1,0,0,0,2,1,6,5,111,15
"TRAPPC12-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ADI1",97,52,4,8,1,3,4,1,11,21,8,3,13,0,1,0,8,39,63,57,590,58
"AC142528.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4
"AC108488.4",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3
"RNASEH1",47,13,1,6,3,2,0,1,6,5,1,0,2,0,0,0,6,5,14,21,163,11
"RNASEH1-AS1",2,6,0,2,1,0,0,0,3,3,0,0,1,0,0,0,0,1,3,0,47,5
"RPS7",2000,807,104,512,127,172,206,56,1148,999,304,137,906,76,69,65,372,580,2964,1193,22541,1935
"COLEC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DCDC2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SOX11",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"LINC00487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
