"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"SMYD3",0,2,0,0,0,0,15,4,15,8,10,7,1,4,0,1,4,0,1,1,0,4,4,5
"TFB2M",0,0,1,1,0,2,7,1,1,12,2,5,0,12,0,0,1,0,0,0,0,3,2,19
"CNST",0,1,1,0,1,4,14,0,1,19,7,11,0,11,2,0,1,2,0,2,2,1,9,41
"RP11-439E19.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-439E19.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SCCPDH",1,1,1,0,0,19,32,2,1,6,1,8,2,0,0,0,4,0,1,1,0,2,1,7
"AHCTF1",0,1,1,0,0,1,4,0,1,10,3,3,0,5,1,0,5,1,0,0,0,1,0,7
"ZNF695",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF670",0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,1,0,0,0,1,0,2
"ZNF669",0,2,0,0,2,0,8,3,1,17,12,9,1,18,1,1,7,0,0,0,0,3,0,8
"C1orf229",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF124",0,2,0,0,0,0,4,2,0,9,1,8,1,16,2,0,1,0,0,1,1,2,0,5
"RP11-488L18.10",0,2,1,0,1,0,7,3,4,11,10,6,0,10,2,1,3,3,0,1,1,0,2,15
"ZNF496",0,0,0,0,0,0,9,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,6
"NLRP3",1,2,4,0,0,0,0,0,5,1,3,1,0,0,0,1,0,0,0,0,14,0,0,0
"GCSAML",0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"TRIM58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"RP11-407H12.8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-438F14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"LYPD8",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,0,0
"SH3BP5L",0,0,0,0,0,0,1,0,0,0,3,2,1,1,1,0,0,1,0,0,0,0,0,3
"ZNF672",3,0,2,0,0,2,8,0,3,32,9,3,0,28,3,1,6,0,0,0,4,8,1,7
"ZNF692",0,0,0,0,0,3,4,1,0,3,5,4,1,6,1,0,1,0,0,2,1,0,1,6
"PGBD2",0,2,0,0,0,0,7,1,0,7,2,0,0,6,0,0,0,1,0,1,0,1,1,3
"FAM110C",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"SH3YL1",0,1,2,0,2,3,24,2,0,22,22,13,1,23,12,0,1,7,3,0,0,0,3,10
