"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"TBKBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"TBX21",7,0,0,0,2,1,18,12,2,2,0,4,8,0,0,0,2,0
"OSBPL7",2,0,0,0,0,0,1,7,0,1,0,3,2,0,1,0,1,1
"MRPL10",8,1,1,6,6,6,36,31,2,15,2,4,16,1,2,0,3,3
"LRRC46",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"SCRN2",4,1,1,17,3,3,13,7,2,4,0,1,6,1,2,1,4,11
"SP6",1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1
"RP11-6N17.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SP2",0,0,0,3,2,4,15,9,5,6,0,1,3,2,1,0,2,6
"PNPO",0,1,0,0,1,3,3,0,0,2,0,1,1,0,1,0,0,0
"PRR15L",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"CDK5RAP3",3,6,0,13,6,20,41,19,8,18,4,4,7,7,11,2,6,13
"COPZ2",0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"NFE2L1",1,2,0,10,0,8,9,4,4,5,1,1,1,3,0,0,1,17
"CBX1",0,1,0,15,1,4,15,4,4,14,2,0,1,0,0,1,0,5
"SNX11",0,0,0,2,1,4,10,5,1,3,1,1,3,2,0,0,2,2
"SKAP1",14,0,2,0,22,1,87,41,3,43,6,9,15,0,0,0,18,0
"RP11-433M22.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HOXB2",1,1,1,12,2,1,32,10,0,11,0,0,3,0,0,0,4,10
"HOXB-AS1",0,0,0,4,3,0,5,4,0,3,0,1,1,0,0,0,2,3
"HOXB3",0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,3
"HOXB-AS3",0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOXB4",0,0,0,3,0,0,3,3,0,2,0,1,1,0,1,0,2,15
"HOXB5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HOXB6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"HOXB7",0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,7
"HOXB8",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"HOXB9",0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0
"RP11-357H14.17",1,0,0,0,0,0,1,4,0,1,0,0,2,9,0,0,0,0
"CTD-2377D24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CALCOCO2",4,2,1,31,2,5,26,23,7,17,1,0,2,8,2,3,6,7
"ATP5G1",3,17,1,59,4,22,66,26,19,31,12,7,8,82,21,5,6,25
"UBE2Z",2,5,1,18,1,8,14,9,2,10,2,0,5,4,1,3,7,4
"SNF8",12,9,2,32,9,17,77,37,12,37,5,5,10,14,7,1,15,20
"IGF2BP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GNGT2",2,1,0,0,1,2,15,4,1,2,0,1,1,0,0,1,1,3
"ABI3",3,7,2,1,11,14,37,28,2,10,3,4,20,0,0,3,3,34
"ZNF652",0,1,0,4,3,2,12,6,4,8,2,0,5,1,0,1,0,5
"PHB",10,4,1,39,4,17,87,33,11,31,11,9,14,35,9,2,7,11
"NGFR",0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0
"SPOP",2,2,3,20,5,23,29,16,13,18,3,1,7,3,1,1,5,18
"SLC35B1",4,2,1,7,6,10,36,21,5,22,3,2,9,8,15,2,6,11
"FAM117A",0,0,0,3,2,6,4,6,0,8,1,1,2,0,2,0,3,0
"KAT7",1,0,0,4,0,3,14,6,0,11,2,0,2,0,0,0,3,2
