"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"AGRP",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"CTD-2012K14.8",1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"FAM65A",16,21,0,0,0,0,0,0,2,0,0,0,1,0,2,0,4,0,3,22
"CTD-2012K14.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CTD-2012K14.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTD-2012K14.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"CTCF",17,16,1,2,3,0,4,1,2,2,2,2,8,1,2,1,5,1,36,71
"RLTPR",1,0,0,0,0,0,2,0,0,1,2,1,1,0,0,0,2,0,10,4
"ACD",2,11,0,2,3,0,1,3,2,1,1,0,5,1,4,0,2,0,24,69
"PARD6A",3,1,0,1,3,2,1,1,2,2,3,0,6,1,0,0,0,0,18,62
"ENKD1",1,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,37
"C16orf86",4,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,5
"GFOD2",6,14,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,4,41
"RANBP10",2,4,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,5,26
"TSNAXIP1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"CENPT",10,17,2,1,0,1,7,1,1,2,2,1,5,2,2,1,1,1,24,70
"THAP11",7,17,2,0,2,2,3,2,2,3,5,1,8,6,2,0,3,2,36,78
"NUTF2",61,121,2,5,4,4,13,4,5,3,9,5,27,6,19,3,29,7,113,825
"EDC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CTC-479C5.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSKH1",2,5,0,0,0,1,2,0,1,0,1,0,3,0,0,0,1,0,4,15
"CTRL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CTC-479C5.12",5,2,3,0,0,0,0,1,0,0,2,0,2,0,0,0,4,0,9,11
"PSMB10",43,19,6,3,2,2,2,7,5,1,10,2,28,3,4,1,23,6,77,173
"LCAT",2,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3
"SLC12A4",3,21,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4,18
"DPEP2",11,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,1,9,0
"DUS2",5,3,0,1,0,1,2,2,6,0,1,0,2,1,1,0,0,0,8,12
"DDX28",7,1,0,0,0,0,2,2,1,2,0,1,5,2,1,0,0,0,14,53
