"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"ZNF711",0,0,0,2,10,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0
"POF1B",0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,85,0,0,0,0,0
"CHM",15,3,3,0,93,2,0,1,0,1,1,3,0,1,0,12,2,0,12,4,5
"KLHL4",0,4,0,0,21,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0
"PABPC5",0,0,0,4,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"NAP1L3",0,1,0,1,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
"FAM133A",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DIAPH2",21,6,4,0,204,0,0,5,0,4,5,4,0,0,0,38,3,0,25,4,6
"RPA4",1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2
"DIAPH2-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCDH19",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"TNMD",0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TSPAN6",3,6,0,5,153,0,0,3,0,1,0,2,0,0,0,79,0,0,0,13,2
"SRPX2",1,1,0,1,518,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,0
"RP11-524D16--A.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYTL4",1,1,0,0,79,0,0,1,0,0,0,2,0,0,0,25,0,0,0,0,2
"CSTF2",4,1,1,2,28,1,1,0,0,0,2,1,0,0,0,11,2,0,0,2,0
"NOX1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
"XKRX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TRMT2B",1,0,0,0,40,0,0,0,0,5,0,1,0,0,0,3,1,0,3,2,0
"TMEM35",0,0,0,1,96,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,1
"CENPI",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"TAF7L",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TIMM8A",5,3,1,4,49,1,2,2,0,2,3,0,2,0,1,27,1,0,2,1,2
"BTK",33,0,6,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,49,0,0
"RPL36A",673,286,150,25,2926,30,77,72,13,227,170,22,22,45,10,1497,41,39,380,117,95
"GLA",25,12,10,6,165,0,2,0,0,2,1,0,0,2,0,14,3,0,25,1,2
"HNRNPH2",47,24,5,8,466,0,6,8,4,9,6,7,0,8,1,53,7,1,39,15,10
"ARMCX4",2,1,0,5,38,0,0,0,0,1,0,1,0,0,0,4,0,0,0,3,0
"ARMCX1",13,23,1,22,687,0,0,3,0,0,0,8,1,0,0,2,9,0,12,10,12
"ARMCX6",26,5,9,9,298,1,4,8,1,11,9,8,0,4,1,23,6,1,14,12,14
"ARMCX3",33,14,9,11,465,1,6,8,0,10,5,5,0,4,0,40,5,6,24,9,12
"ARMCX3-AS1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ARMCX2",7,3,0,4,299,0,0,3,1,1,0,4,0,0,0,0,5,0,6,4,6
"ZMAT1",17,6,1,4,29,0,1,1,0,1,1,1,0,0,0,1,1,1,2,3,1
"TCEAL2",0,56,0,6,38,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,8
"TCEAL6",0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEX5",3,8,0,2,35,0,2,1,3,4,0,0,1,0,0,1,0,0,1,1,0
"TMSB15A",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ARMCX5",2,2,0,1,55,0,0,1,0,2,1,1,0,1,0,15,2,0,2,0,0
"GPRASP1",5,1,0,1,32,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,2
"GPRASP2",2,2,0,1,44,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,2
"BHLHB9",2,1,0,0,12,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0
"LINC00630",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LL0XNC01-237H1.2",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RAB40AL",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"BEX1",10,3,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0
"NXF3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEX4",100,25,17,22,755,0,1,10,2,3,4,9,3,2,0,44,10,2,28,19,32
"TCEAL8",90,30,23,27,1102,2,0,8,2,9,11,8,0,5,0,119,16,4,40,33,32
"TCEAL5",1,2,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
