"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"CACNA1A",0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CCDC130",30,87,0,0,1,10,0,3,0,2,11,2,1,1,3,1,0,16,2,7,2,21,224,18,4
"MRI1",9,62,0,3,1,10,0,0,3,0,7,2,1,3,1,0,0,15,0,3,0,11,82,28,7
"CTB-5E10.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C19orf53",359,1533,3,11,10,140,3,17,25,17,76,15,11,19,16,1,18,163,20,89,14,167,2510,242,78
"ZSWIM4",13,46,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,4,0,2,0,4,15,18,0
"CTD-3252C9.4",82,160,5,4,1,9,1,10,0,4,49,10,0,4,13,1,0,26,3,28,2,31,229,38,6
"NANOS3",0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
"C19orf57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"CC2D1A",18,69,1,0,1,3,0,0,0,0,6,2,1,1,0,0,0,6,0,1,0,12,179,20,8
"PODNL1",4,459,0,0,0,17,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,5,3,2
"DCAF15",15,26,1,0,0,3,0,1,0,0,1,2,0,0,1,0,0,3,0,2,1,7,89,9,0
"RFX1",13,56,0,2,3,14,0,0,0,2,5,2,2,1,1,0,0,5,0,5,1,5,77,8,3
"CTB-55O6.13",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,1,0
"IL27RA",28,96,3,3,0,4,0,2,0,1,25,0,0,4,3,0,0,2,2,13,6,48,2,26,1
"PALM3",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTB-55O6.8",1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,121,0,1
"SAMD1",32,27,0,1,0,3,0,0,0,0,2,0,1,0,1,0,0,6,1,5,4,4,52,22,0
"PRKACA",64,75,1,2,0,14,0,0,2,0,4,0,1,0,1,0,0,7,0,15,2,6,115,22,3
"CTB-55O6.10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"ASF1B",5,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,11,0,89,2,0
"CTB-55O6.12",7,15,0,3,1,3,0,0,1,0,0,0,0,1,1,0,0,3,0,5,0,2,13,3,0
"ADGRL1",1,38,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,11,7,0
"CTC-548K16.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"CTC-548K16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ADGRE5",93,92,3,3,3,7,3,5,1,1,46,10,2,1,10,1,0,24,1,52,5,37,647,13,9
