"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"DIO2",0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CEP128",5,2,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,1,3,22,0,0
"TSHR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"GTF2A1",57,15,2,1,0,0,0,7,1,0,3,2,0,2,1,0,9,13,5,0,7,175,13,1
"CTD-2506P8.6",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,2,0
"STON2",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,58,0,0
"RP11-299L17.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEL1L",79,40,1,0,1,0,0,15,0,0,2,2,0,1,1,0,8,16,2,0,16,384,31,2
"RP11-497E19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-497E19.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLRT2",15,10,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,2,0,0,0,2,15,0
"CTD-2341M24.1",4,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,3,1,1,0
"RP11-1152H15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GALC",80,10,2,4,0,0,0,9,2,4,4,1,0,1,2,2,4,13,0,0,5,347,14,1
"GPR65",155,1,6,9,6,1,0,0,7,7,17,18,9,47,5,0,1,49,2,6,41,26,0,0
"RP11-300J18.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01146",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0
"RP11-753D20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"KCNK10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
"SPATA7",2,6,0,0,0,0,0,5,0,2,1,1,0,1,0,0,3,1,1,0,0,42,9,0
"PTPN21",2,8,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,74,5,0
"ZC3H14",29,21,1,2,1,0,0,22,0,1,1,2,2,1,0,1,13,8,1,1,11,269,21,1
"EML5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"TTC8",6,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,2,1,1,1,129,8,0
"FOXN3",162,55,3,7,1,3,0,40,7,1,15,10,3,8,2,0,11,49,1,5,56,115,28,1
"RP11-681H18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FOXN3-AS1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0
"RP11-944C7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"EFCAB11",7,8,0,2,0,0,0,4,0,2,3,1,0,0,1,0,4,2,1,0,1,148,11,0
"TDP1",11,3,2,2,0,0,1,3,0,1,3,4,0,0,1,0,3,1,4,3,10,62,11,0
"KCNK13",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"PSMC1",223,89,1,11,2,0,1,61,5,3,13,13,4,8,1,5,48,46,7,5,52,1896,98,6
"NRDE2",17,12,2,2,1,0,2,6,0,3,6,1,1,0,0,0,10,2,1,0,11,238,19,1
"RP11-471B22.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0
"CALM1",1818,360,39,43,38,20,7,259,64,27,224,118,55,93,12,31,224,386,35,54,517,7126,1224,26
"LINC00642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TTC7B",24,5,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,0,6,10,0
"RPS6KA5",11,0,0,0,1,2,2,4,2,0,9,3,0,1,0,0,4,7,4,3,17,120,9,1
"C14orf159",43,10,0,2,1,0,1,15,3,1,0,4,2,3,1,1,8,11,0,0,10,207,17,0
"GPR68",9,34,0,0,1,0,0,12,0,0,3,3,1,5,0,0,0,2,0,4,4,4,16,0
"CTD-2547L24.4",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"CCDC88C",14,3,5,3,2,1,1,6,8,1,20,6,9,5,1,0,1,10,3,2,50,435,10,0
"PPP4R3A",69,20,2,2,1,1,1,10,3,1,15,9,2,4,0,1,15,24,3,3,19,602,24,0
"CATSPERB",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,62,0,0
"TC2N",3,1,2,0,2,4,4,2,3,0,16,8,6,4,1,2,0,2,0,0,1,449,2,1
"FBLN5",3,34,2,0,0,0,0,141,2,0,1,1,7,1,0,0,1,3,0,0,10,7,34,0
"TRIP11",56,28,1,1,1,0,0,17,2,3,5,4,3,2,0,0,13,11,4,1,17,558,50,1
"ATXN3",51,26,2,4,1,0,2,15,3,1,10,6,1,1,1,1,15,16,2,2,15,325,54,6
"NDUFB1",531,172,6,32,10,6,9,118,31,12,51,22,15,23,1,38,95,165,17,8,172,4340,226,14
"CPSF2",54,17,3,2,1,0,1,19,2,1,6,6,2,2,0,2,8,18,2,2,14,351,25,1
"SLC24A4",6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"RIN3",151,5,1,8,3,1,0,3,0,4,1,5,1,7,1,1,3,41,0,1,13,162,39,0
"LGMN",538,64,0,2,0,1,0,28,0,1,0,0,1,0,0,6,35,12,0,0,9,546,37,3
"GOLGA5",39,16,1,0,0,0,0,10,0,0,1,1,3,4,0,1,15,9,0,0,7,304,17,0
"ITPK1",54,9,1,0,0,1,0,2,0,0,2,4,0,1,0,0,7,20,1,1,6,518,16,3
"ITPK1-AS1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOAP1",15,6,1,0,3,1,0,6,4,0,9,2,2,7,1,0,8,7,1,1,13,145,13,0
"TMEM251",114,8,0,2,0,0,0,8,1,0,1,2,1,1,0,2,3,15,2,0,5,320,13,1
"C14orf142",48,19,0,3,1,1,0,8,1,0,8,4,0,4,0,3,12,10,3,2,9,444,16,1
"UBR7",18,8,0,0,1,0,0,9,3,3,5,0,1,1,0,0,6,9,3,1,15,191,9,0
"BTBD7",35,6,0,1,0,2,1,12,0,1,2,3,1,0,0,0,9,8,1,0,15,292,45,2
"UNC79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"COX8C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PRIMA1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASB2",1,1,2,10,5,1,0,1,2,1,4,4,0,0,1,0,2,1,1,6,34,3,1,0
"OTUB2",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,2,0
"DDX24",227,73,19,7,16,5,4,118,21,4,80,25,21,32,6,1,80,59,13,14,215,1390,133,12
"IFI27L1",37,20,0,0,0,0,0,16,2,0,3,3,0,2,0,6,12,2,3,8,7,887,18,2
"IFI27",3186,1139,16,17,14,6,3,480,19,7,62,38,23,28,9,1242,344,519,15,11,122,78007,2458,13
"IFI27L2",570,216,12,12,4,7,2,160,33,8,59,47,11,14,3,27,97,148,14,17,155,4359,63,12
"PPP4R4",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SERPINA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SERPINA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SERPINA1",1074,4,0,4,2,1,0,5,0,0,2,0,3,0,1,4,0,531,1,0,3,799,6,1
"SERPINA4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,0,0
"SERPINA5",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
"SERPINA3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SERPINA3.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GSC",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
"DICER1",144,17,2,0,1,0,0,11,1,0,1,2,0,4,0,0,18,25,0,2,17,591,37,4
"DICER1-AS1",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,71,2,2
"CLMN",35,4,0,2,0,0,0,7,0,0,0,0,0,1,0,1,31,11,0,0,1,334,1,5
"SYNE3",21,2,3,2,1,0,0,14,2,0,12,4,2,2,0,0,16,7,4,1,19,21,29,1
"RP11-1070N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"SNHG10",4,6,0,0,0,0,0,4,1,0,0,1,0,0,0,2,8,1,0,0,1,246,8,0
"GLRX5",38,21,0,1,2,0,0,9,0,0,2,1,2,3,0,1,4,11,0,1,8,542,22,1
"TCL1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C14orf132",0,24,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1
"BDKRB2",0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,91,39,0
"BDKRB1",0,30,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,0,29,8,0
"RP11-404P21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ATG2B",15,6,1,2,0,0,0,10,0,0,3,2,0,1,0,1,6,2,0,0,4,218,6,0
"GSKIP",38,24,2,2,2,1,1,9,3,1,7,6,3,2,1,0,10,12,2,3,15,2076,24,0
"AK7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,2,0
"RP11-872J21.3",3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,52,0,0
"PAPOLA",287,94,8,15,5,6,0,38,9,4,30,19,7,20,5,4,35,83,6,6,90,2463,103,8
"RP11-433J8.1",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"VRK1",15,3,1,4,0,1,1,4,2,1,7,2,3,3,2,4,10,5,4,5,21,398,15,0
"LINC00618",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"CTD-2506J14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LINC01550",0,0,3,0,1,0,1,1,2,0,9,5,3,2,0,0,0,0,0,0,10,5,3,0
"BCL11B",4,1,7,0,2,1,1,0,4,0,18,11,15,1,3,0,0,2,2,5,48,114,0,0
"SETD3",67,9,1,4,1,0,1,9,0,0,1,6,0,1,2,1,12,18,0,2,13,381,26,1
"CCNK",42,14,2,2,0,1,2,10,2,0,3,4,0,5,0,0,2,16,1,1,16,455,21,1
"CCDC85C",1,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,175,29,1
"RP11-543C4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"HHIPL1",0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CYP46A1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,12,0
"EML1",0,24,0,0,0,0,0,19,0,0,1,0,0,0,0,0,3,1,0,0,0,2,8,1
"EVL",150,19,24,1,32,20,14,19,42,1,121,125,33,73,12,0,8,29,9,41,232,92,25,2
"DEGS2",10,3,0,2,0,0,0,0,1,0,0,0,0,1,0,2,2,3,1,0,1,975,5,0
"RP11-638I2.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"YY1",144,58,2,6,5,2,1,54,7,3,18,9,4,11,2,2,39,47,2,2,57,1095,85,2
"SLC25A29",18,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,226,12,1
"RP11-638I2.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"WARS",133,49,2,6,0,0,0,23,0,0,4,2,1,1,0,1,9,174,1,0,13,393,73,0
"WDR25",9,7,0,1,0,0,0,4,2,2,3,0,0,0,3,0,6,4,1,0,7,125,6,0
"BEGAIN",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0
"DLK1",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG3",3,140,0,0,0,0,0,225,0,4,1,1,0,0,0,0,9,1,0,0,1,6,12,0
"MEG8",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNHG23",3,9,0,0,0,1,0,10,0,0,0,0,1,0,0,0,2,1,0,0,1,13,3,1
"AL132709.8",0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SNHG24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MEG9",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-8L8.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"LINC00524",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIO3OS",0,15,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0
"DIO3",0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"LINC00239",6,0,1,1,2,1,1,1,3,0,6,6,7,1,0,1,0,0,0,0,26,256,0,0
"PPP2R5C",108,12,33,6,13,6,7,21,24,3,77,66,31,25,5,2,19,34,6,10,118,827,36,3
"CTD-2017C7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"CTD-2017C7.1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
"RP11-1017G21.5",6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,25,1,0
"RP11-1017G21.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"DYNC1H1",136,53,2,10,3,1,2,42,5,3,19,11,6,4,1,4,32,23,1,2,36,1260,106,4
"RP11-1017G21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HSP90AA1",1588,575,80,95,48,21,8,325,57,34,191,161,86,116,17,130,280,467,73,109,536,31249,587,32
"WDR20",19,8,2,1,1,0,1,10,3,0,3,3,2,0,1,0,8,5,1,0,12,233,9,1
"MOK",1,6,0,0,0,0,0,12,1,0,0,1,0,0,0,2,2,0,0,0,3,91,7,0
"ZNF839",3,3,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,53,7,0
"CINP",79,29,5,3,2,1,0,23,0,1,7,4,2,0,1,7,17,23,4,2,27,562,40,2
"TECPR2",18,6,0,0,0,0,0,5,1,0,1,1,1,1,1,0,4,0,0,1,4,49,14,1
"ANKRD9",33,4,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,4,0,0,0,233,19,0
"CTD-2555C10.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"RCOR1",32,1,0,1,0,0,0,8,0,0,2,0,0,0,0,0,3,14,0,0,4,252,11,0
"TRAF3",47,11,3,5,1,0,0,5,1,0,5,1,1,1,0,0,2,9,4,3,40,182,6,0
"AMN",9,3,1,0,0,0,0,3,0,0,2,0,0,0,1,10,1,3,1,1,1,1185,4,0
"CDC42BPB",34,22,0,0,0,0,0,7,0,0,1,1,0,0,0,0,7,4,0,0,4,519,46,0
"RP11-365N19.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-736N17.11",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"EXOC3L4",0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,110,1,0
"LINC00677",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFAIP2",153,11,0,5,0,0,0,50,1,0,0,0,0,2,0,0,5,48,0,0,1,65,42,0
"LINC00605",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-736N17.10",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-45P15.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"EIF5",238,97,8,10,9,3,2,76,4,5,30,22,6,12,3,1,33,53,4,8,76,2911,139,6
"MARK3",57,32,4,3,3,1,1,24,1,1,7,5,3,5,1,0,14,17,2,2,34,514,45,2
"CKB",14,9,0,6,0,0,0,28,0,0,0,0,0,0,0,8,26,8,1,0,1,716,2,18
"RP11-600F24.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"TRMT61A",13,12,0,1,0,0,0,5,1,0,4,3,0,0,2,0,3,2,1,0,1,238,9,1
"BAG5",43,18,2,2,2,1,0,9,2,0,0,2,1,5,0,1,4,5,1,1,7,440,29,3
"KLC1",65,37,2,5,2,0,0,21,2,0,15,12,1,7,1,0,20,15,4,2,16,448,49,2
"APOPT1",86,46,6,0,1,1,1,20,2,2,11,9,5,5,1,1,23,18,2,4,30,938,50,1
"RP11-894P9.1",2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,3,5,4,0
"RP11-73M18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"XRCC3",4,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,2,0,4,103,1,0
"ZFYVE21",42,36,3,0,1,0,0,65,3,1,7,1,1,3,0,3,34,7,1,1,14,595,64,7
"PPP1R13B",1,0,1,0,0,0,0,2,0,0,1,2,0,1,0,1,1,1,0,0,3,149,28,0
"LINC00637",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C14orf2",852,292,35,48,16,7,4,239,38,15,71,57,26,38,5,81,139,270,19,20,267,9116,335,18
"TDRD9",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASPG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KIF26A",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,33,0
"RP11-260M19.2",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,43,1,0
"RP11-982M15.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-982M15.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"INF2",52,25,1,1,0,0,0,4,2,0,2,3,1,0,1,4,21,8,0,0,8,1183,27,2
"ADSSL1",20,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,3,1,0,0,5,55,1,0
"SIVA1",227,133,12,11,3,2,1,127,10,6,24,14,9,16,3,9,63,71,17,31,71,1803,134,8
"AKT1",56,22,2,2,0,0,0,9,0,2,2,1,1,3,0,2,6,12,1,2,13,597,23,1
"ZBTB42",9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,85,3,0
"LINC00638",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0
"CTD-3051D23.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTD-3051D23.4",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
"CEP170B",8,10,1,0,0,0,0,7,0,0,1,3,0,0,0,1,4,1,1,1,2,524,4,2
"PLD4",4,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
"AHNAK2",18,16,0,1,0,0,0,29,1,0,0,0,0,0,0,0,0,1,1,0,4,735,22,0
"C14orf79",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0
"CDCA4",13,5,3,4,0,1,1,5,0,0,4,5,0,2,0,0,13,5,11,5,13,197,12,0
"GPR132",38,1,1,2,0,1,0,0,1,0,5,3,3,1,0,0,0,20,3,2,22,2,0,1
"RP11-44N21.1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"JAG2",3,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,85,90,0
"NUDT14",172,32,2,16,8,3,1,40,9,9,21,21,2,9,2,18,0,42,3,5,35,1753,115,2
"BRF1",10,5,1,0,1,0,0,2,0,0,1,1,1,1,0,0,0,4,0,0,6,100,12,0
"BTBD6",17,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,4,4,0,0,3,198,18,0
"PACS2",21,13,0,0,0,0,0,4,2,0,3,1,0,0,0,3,2,2,0,1,4,235,21,0
"TEX22",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,0
"RP11-521B24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0
"MTA1",25,19,0,1,2,0,0,9,1,0,2,2,1,1,2,0,5,8,0,1,0,506,22,0
"CRIP2",34,115,2,1,1,0,0,74,3,1,4,3,2,2,0,13,228,9,1,1,10,1710,819,52
"CRIP1",228,29,10,5,14,4,3,63,16,0,48,34,11,18,1,32,171,35,32,15,103,2199,77,29
"C14orf80",19,5,1,0,0,2,1,7,0,0,1,1,0,3,0,0,0,8,1,3,3,228,7,0
"TMEM121",0,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,3,0
"IGHG4",46,16,0,1,2,0,0,9,2,1,7,2,1,1,0,3,6,7,1,4,10,273,14,1
"IGHG2",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0
"IGHGP",2,1,0,1,0,0,0,2,2,0,0,1,0,1,0,0,1,1,0,0,1,21,0,0
"AL928768.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHA1",3,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,17,0,0
"IGHG1",11,2,1,2,0,0,0,5,2,0,0,1,0,0,0,2,6,3,0,0,6,102,8,0
"IGHG3",47,10,0,1,3,0,0,10,1,0,6,2,0,3,2,4,6,5,1,3,3,229,17,0
"IGHM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0
"KIAA0125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV6-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV4-59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
"IGHV1-69-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-173D3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"RP11-403B2.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIPA1",13,1,0,0,1,0,0,3,1,0,0,1,2,0,0,0,0,3,0,0,7,123,6,0
"NIPA2",95,33,7,6,0,2,0,17,3,1,6,7,5,5,1,3,9,23,2,2,28,716,46,1
"CYFIP1",174,30,0,1,2,1,0,13,2,1,3,3,0,1,1,4,11,26,2,0,8,784,60,0
"TUBGCP5",11,6,1,0,0,0,0,4,1,0,0,2,0,1,0,0,2,2,5,0,4,114,5,0
"MAGEL2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDN",18,85,0,0,0,0,0,107,0,1,0,0,0,0,0,1,51,3,2,0,4,8,26,13
"SNRPN",65,56,8,4,7,3,1,62,16,4,31,20,19,8,0,0,32,13,5,7,70,22,48,3
"SNURF",1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0
"RP11-701H24.9",4,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
"PWAR6",2,1,0,0,0,1,0,2,0,0,1,1,0,1,0,0,3,0,0,0,2,0,5,0
"UBE3A",121,38,4,0,0,0,2,14,4,2,13,5,5,5,4,1,19,24,3,0,34,635,42,2
"ATP10A",14,12,0,3,0,0,0,2,0,0,3,2,0,1,0,0,4,3,0,0,2,2,0,2
"GABRB3",1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,93,0,0
"GABRG3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERC2",43,24,1,1,1,1,0,13,3,1,8,4,4,4,0,1,13,7,0,0,21,410,58,2
"GOLGA8M",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"APBA2",0,9,1,0,1,0,0,2,1,0,2,1,0,2,1,0,0,0,0,1,0,2,1,0
"NSMCE3",25,18,1,2,0,0,0,18,2,2,6,7,6,6,1,0,13,2,1,2,28,161,17,3
"RP11-680F8.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,2,0
"TJP1",13,24,0,1,1,0,0,20,0,0,1,0,0,1,1,1,23,0,0,0,1,1118,106,1
"RP11-680F8.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
"CHRFAM7A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
"GOLGA8R",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"GOLGA8Q",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
