"","Transcriptomics","Final"
"9435",1,1
"8534",0,0
"9469",0,0
"56548",1,1
"266722",0,0
"9394",1,1
"90161",0,0
"2799",1,1
"10157",0,0
"118881",1,1
"3176",0,0
"1757",0,0
"81537",0,0
"6652",0,0
"6342",2,2
"9056",1,1
"55304",0,0
"9517",0,0
"10558",2,2
"2098",2,2
"8879",1,1
"8869",1,1
"56848",0,0
"8877",0,0
"130752",0,0
"339221",0,0
"55627",1,1
"55512",1,1
"6609",1,1
"6610",0,0
"259230",1,1
"116369",0,0
"115111",0,0
"115019",0,0
"284129",2,1
"26266",0,0
"6646",1,1
"6649",1,1
"6648",0,0
"6647",2,2
"6697",0,0
"6723",2,2
"6611",2,2
"6713",1,1
"2222",2,2
"6715",0,0
"6716",0,0
"15",0,0
"6532",0,0
"6487",1,1
"10402",0,0
"10610",0,0
"81849",0,0
"256435",0,0
"30815",0,0
"6489",1,1
"29906",0,0
"412",1,1
"6391",0,0
"6390",2,2
"6392",2,2
"6389",2,1
"6821",0,0
"6533",1,1
"5092",1,1
"23530",1,1
"79178",0,0
"6567",0,0
"1890",0,0
"55217",0,0
"7296",2,2
"11181",0,0
"80162",2,2
"7166",0,0
"121278",0,0
"169355",0,0
"6999",0,0
"6561",0,0
"6916",0,0
"7054",0,0
"7306",0,0
"10020",2,1
"29880",2,2
"7355",0,0
"7358",1,1
"23169",0,0
"80146",2,2
"5168",1,1
"84912",0,0
"3906",0,0
"7357",2,2
"11046",0,0
"54576",0,0
"54575",0,0
"54657",0,0
"54659",0,0
"54658",0,0
"54577",0,0
"54600",0,0
"54579",0,0
"54578",0,0
"7364",0,0
"54490",0,0
"7367",0,0
"7365",0,0
"10720",0,0
"7363",0,0
"54963",1,1
"7498",0,0
"9942",0,0
"64132",0,0
"64131",1,1
"51181",2,2
"64077",0,0
"5464",2,2
"10724",2,2
"94033",0,0
"2495",2,2
"1356",0,0
"2512",2,2
"1727",2,2
"51706",1,1
"51700",0,0
"10587",1,1
"80347",2,1
"84618",1,1
"22978",2,1
"51251",2,2
"93034",0,0
"100526794",0,0
"353",2,2
"3251",2,2
"56954",2,1
"5313",0,0
"728441",0,0
"124975",0,0
"91227",0,0
"102724197",0,0
"92086",0,0
"2686",0,0
"5211",1,1
"1491",1,1
"2819",0,0
"29925",0,0
"29926",1,1
"102724560",0,0
"875",0,0
"249",0,0
"22934",2,2
"2766",0,0
"51292",2,2
"57571",1,1
"8833",1,1
"5538",2,2
"641371",1,1
"11332",1,1
"55825",0,0
"51102",1,1
"37",2,2
"33",0,0
"132158",0,0
"641649",1,1
"23475",2,1
"50484",1,1
"6240",2,2
"6241",0,0
"3156",2,1
"79966",0,0
"10588",2,1
"84890",0,0
"80025",1,1
"53354",0,0
"79646",1,1
"83594",0,0
"7263",1,1
"26275",0,0
"29920",2,1
"7389",1,1
"1595",1,1
"130367",2,2
"10478",1,1
"23443",0,0
"64240",0,0
"64241",0,0
"284111",0,0
"8435",0,0
"3988",1,1
"377677",0,0
"767",0,0
"765",0,0
"759",0,0
"760",0,0
