"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-126K1.2",1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"ZNF687",0,0,1,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
"PI4KB",6,1,2,0,0,5,96,3,3,0,2,5,2,2,0,0,0,3,16,1,0,1,1,11,4
"RFX5",2,0,4,0,0,5,35,4,0,0,1,5,3,0,1,0,0,2,12,0,1,1,2,13,1
"RP11-126K1.6",2,0,3,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
"SELENBP1",2,3,1,0,2,2,178,0,0,0,0,2,0,0,0,0,0,0,266,7,0,0,0,24,7
"PSMB4",7,4,7,2,0,14,234,10,8,3,3,22,12,5,8,0,3,4,63,3,9,2,1,57,4
"POGZ",2,5,3,0,1,10,113,6,1,0,2,9,8,7,2,0,1,0,22,1,8,2,0,26,3
"CGN",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,34,0,0,0,0,0,0
"TUFT1",1,0,0,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0,36,0,1,1,0,1,0
"SNX27",4,0,3,0,0,4,111,3,1,0,2,3,2,0,4,0,0,0,14,0,1,2,0,16,3
"RIIAD1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"MRPL9",4,5,7,0,3,6,140,9,6,2,6,18,6,3,4,3,3,4,46,5,4,0,6,60,7
"OAZ3",1,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,1
"TDRKH",0,0,1,0,0,1,6,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,0
"RP11-98D18.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RORC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0
"C2CD4D",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"AL450992.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THEM4",2,3,0,2,0,2,53,1,6,2,1,22,2,0,1,2,1,2,15,0,2,2,1,10,0
"S100A10",91,61,147,9,4,505,4884,99,270,22,12,299,161,12,53,12,16,61,2348,9,33,59,22,525,6
"S100A11",304,29,224,3,7,194,3542,58,32,51,8,225,76,0,27,5,5,34,408,25,32,110,12,474,39
"TCHH",0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"FLG-AS1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-107M16.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100A9",82,0,63,0,0,1,13,0,0,0,0,0,0,0,1,0,0,0,2,0,1,461,0,0,0
"S100A12",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"S100A8",3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306,1,0,1
"S100A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"S100A6",209,81,241,23,23,1052,20825,181,229,178,26,595,388,24,101,14,12,126,6124,122,99,238,38,1144,380
"S100A5",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"S100A4",257,160,300,25,31,747,11253,213,14,160,22,1100,540,10,125,19,24,181,51,47,64,251,129,207,201
"S100A3",0,0,0,0,0,2,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0
"S100A2",0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,3,0
"S100A16",0,0,1,0,0,30,435,2,30,0,0,3,1,1,1,0,0,1,292,4,0,0,0,145,1
"S100A14",2,1,1,1,0,0,14,1,0,0,0,5,0,0,2,0,0,1,499,0,1,0,0,2,1
