"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"7084",1,0,1,1,1,0,0
"54682",1,0,1,0,0,0,0
"27159",0,0,1,0,1,1,0
"3704",1,1,1,1,1,1,1
"279",1,1,1,1,1,1,0
"277",1,1,1,1,1,1,0
"1854",1,1,1,1,1,1,1
"10682",1,1,1,1,1,0,1
"9058",0,0,0,0,0,0,0
"276",1,1,1,1,1,1,0
"278",1,1,1,1,1,1,0
"1892",1,1,1,1,1,1,1
"549",1,1,1,1,1,0,0
"11136",0,0,1,0,1,1,1
"6519",0,0,0,0,0,0,0
"1962",0,0,0,0,0,0,0
"280",1,1,1,1,1,1,1
"6576",1,1,1,1,1,1,1
"1891",1,1,1,1,1,1,1
"1160",0,0,0,0,0,0,0
"11001",0,0,0,0,0,0,0
"1159",0,0,0,0,0,0,0
"548596",0,0,0,0,0,0,0
"1152",1,0,0,1,1,1,1
"1158",0,0,0,0,0,0,0
"5172",0,0,0,0,0,0,0
"65010",1,1,1,1,0,0,0
"10998",0,1,1,0,1,0,0
"113451",0,0,0,1,0,1,0
"53919",0,0,0,0,0,0,0
"9057",1,1,0,1,1,1,1
"384",1,0,0,1,1,1,1
"28231",0,1,0,1,0,1,1
"54675",0,0,0,1,1,0,1
"10257",0,0,1,0,0,0,1
"10559",1,1,1,1,1,1,1
"445",0,1,0,0,1,1,1
"28232",0,0,0,1,0,1,1
"55907",1,0,1,0,1,0,0
"2108",0,0,1,1,1,1,1
"8034",1,1,1,1,0,0,0
"2109",1,1,1,1,1,1,1
"83884",0,0,0,0,0,1,1
"10166",1,0,1,1,0,0,0
"8824",1,1,1,1,0,0,0
"410",0,0,1,1,1,0,0
"2110",1,0,1,0,1,0,0
"51805",1,1,1,0,1,0,0
"55500",1,0,1,0,1,1,1
"427",1,1,1,1,1,1,1
"55224",1,1,1,0,0,1,1
"51004",0,1,1,0,1,0,0
"10229",0,0,1,1,1,0,1
"9962",1,0,0,1,1,0,1
"2181",0,0,0,1,1,1,0
"9245",0,1,0,1,1,0,0
"2650",0,1,0,0,1,1,1
"51301",0,0,0,0,0,0,0
"2182",1,0,1,1,1,0,0
"9963",0,0,0,0,0,0,0
"2180",0,1,0,1,0,1,1
"192134",1,0,0,0,0,0,1
