"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"LETM1",10,8,9,4,5,1,1,1,20,6,1,0,1,0,24,12,10,1,5,15,0,0,1,1,2,0,1,11,11,39,34,0
"WHSC1",12,2,1,1,4,1,1,0,12,1,0,1,2,0,16,7,4,1,2,8,0,0,0,0,0,0,0,22,5,15,7,0
"NELFA",4,6,4,3,3,3,2,1,12,5,0,0,0,1,29,13,6,0,9,17,1,1,0,0,2,1,0,7,9,13,27,4
"C4orf48",178,94,30,65,17,9,4,1,129,30,2,0,25,37,91,63,30,2,32,58,3,1,1,8,9,5,14,35,100,186,178,1
"POLN",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0
"HAUS3",2,2,4,0,0,1,4,0,7,3,0,0,1,1,6,8,6,1,3,17,0,1,0,0,1,1,0,8,15,3,5,1
"MXD4",21,17,13,10,6,3,4,0,54,13,2,0,5,1,14,12,12,1,11,14,0,2,0,5,6,2,3,10,23,27,60,5
"ZFYVE28",0,0,12,1,4,7,1,0,5,0,0,0,0,0,3,10,12,0,3,10,1,0,0,0,0,0,0,0,15,8,10,1
"RNF4",10,3,6,7,2,1,2,0,25,8,0,0,0,2,49,19,8,0,7,23,0,2,2,1,1,0,0,15,22,19,32,5
"FAM193A",5,5,6,6,1,2,1,0,20,4,0,0,0,2,20,8,7,0,6,10,0,0,0,0,1,0,1,3,8,7,14,0
"TNIP2",15,29,8,9,5,1,4,3,45,21,2,0,10,2,79,27,26,2,14,22,3,1,2,1,7,1,4,26,56,47,75,5
"SH3BP2",22,3,8,10,3,3,3,6,12,5,0,0,4,1,15,6,12,0,24,5,1,1,0,2,2,1,4,6,16,17,52,1
"ADD1",33,26,13,15,3,2,8,7,138,4,2,1,15,1,72,36,15,8,34,30,2,3,0,0,13,0,1,19,32,53,147,12
"MFSD10",36,40,32,14,18,13,6,9,129,23,1,0,15,3,107,40,42,0,22,54,5,4,2,1,14,4,2,38,54,78,118,14
"NOP14-AS1",0,0,2,1,1,0,1,0,6,3,0,0,0,0,10,5,7,0,2,8,1,1,0,1,0,0,0,3,8,2,1,2
"NOP14",9,6,4,4,0,2,1,1,18,7,0,0,1,1,38,18,10,1,6,29,1,0,1,1,0,0,0,14,14,26,14,1
"GRK4",3,5,1,1,1,0,0,1,16,1,0,0,0,2,2,4,6,0,1,2,0,1,0,0,2,0,1,1,2,3,14,0
"HTT",6,10,3,9,0,1,1,2,21,4,0,0,1,1,22,6,3,0,9,7,1,0,1,0,0,1,2,13,7,16,24,3
"RGS12",28,4,1,14,1,0,0,0,11,0,0,0,6,2,2,1,1,0,1,3,0,0,0,0,3,0,2,2,0,4,48,3
"DOK7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,5,0,0,0,0,0,0,0,0,10,0,2,0,0
"LRPAP1",131,88,26,55,10,8,6,17,370,26,3,1,23,10,90,48,29,12,44,62,2,3,1,3,21,8,6,48,75,164,144,25
"AC141928.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRA2C",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM128",20,15,6,7,3,2,2,5,86,6,0,0,2,4,34,20,11,4,7,22,3,2,1,1,3,1,1,10,32,29,52,4
"LYAR",17,13,98,19,4,30,25,1,47,6,12,0,3,3,22,34,164,0,9,47,9,2,1,0,6,1,5,13,12,53,45,4
"ZBTB49",0,1,1,0,0,0,0,0,3,0,0,0,0,0,2,2,4,0,3,2,0,0,0,0,0,0,0,1,5,2,6,0
"NSG1",0,12,0,0,0,0,0,0,22,2,0,0,1,0,0,1,4,0,1,4,2,0,0,0,0,0,0,2,3,0,0,0
"STX18",22,9,9,6,2,1,0,2,34,9,1,1,2,2,17,6,5,0,6,13,0,1,1,0,3,2,1,17,16,34,16,0
