"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"DPP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PAXIP1-AS2",8,6,0,0,1,0,1,0,6,0,0,0,1,0,1,6,3,1,2,6,0,1,0,0,1,0,1,1,2,7,13,0
"PAXIP1",2,7,0,3,2,0,1,0,2,0,0,0,0,0,4,2,1,0,3,4,0,0,0,0,0,0,0,0,3,14,4,2
"RP11-5C23.1",2,2,0,0,0,0,1,0,2,2,0,1,0,0,2,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0
"RP11-5C23.2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PAXIP1-AS1",7,14,3,2,6,0,3,0,4,4,0,0,0,0,18,10,8,1,6,19,1,1,0,1,2,0,1,3,13,48,7,3
"AC144652.1",2,1,1,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"INSIG1",48,43,8,19,5,0,4,1,25,8,0,0,1,1,8,14,10,2,8,10,3,0,0,0,0,0,10,5,28,154,59,2
"EN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC009403.2",3,4,4,4,2,2,1,0,2,1,1,1,0,0,10,3,2,1,0,3,1,0,0,1,0,0,2,4,7,78,5,1
"RBM33",37,14,3,5,7,0,5,0,13,5,2,1,0,2,28,26,20,0,6,22,0,0,1,1,3,0,6,6,33,48,25,3
"SHH",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"AC021218.2",0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"LINC01006",8,6,0,1,1,0,0,1,1,2,0,0,1,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,1,41,12,0
"RNF32",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0
"LMBR1",10,9,0,1,0,0,1,1,8,3,0,1,5,2,7,2,2,1,2,6,1,0,0,0,3,0,1,1,7,29,48,1
"NOM1",19,14,4,5,7,0,0,1,12,4,0,1,2,0,17,14,9,1,3,15,0,0,0,2,5,1,2,4,16,41,24,6
"MNX1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"MNX1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MNX1-AS1",1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0
"RP4-639J15.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"UBE3C",28,30,4,8,5,3,4,0,11,4,1,1,0,0,18,7,7,2,2,12,0,1,0,0,5,2,3,3,9,62,42,1
"DNAJB6",235,162,31,51,34,7,23,7,109,24,3,2,5,11,104,87,59,15,19,76,4,7,5,5,31,4,16,28,143,306,217,27
"PTPRN2",16,17,4,3,10,3,0,0,20,12,1,0,8,5,28,24,11,0,7,8,1,0,3,0,4,0,0,12,28,6,89,1
"AC011899.9",12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-452C13.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCAPG2",4,8,3,2,0,1,1,0,3,3,1,0,0,0,1,25,9,0,0,18,3,1,0,0,3,0,1,0,13,19,7,0
"ESYT2",20,50,0,2,8,0,2,0,28,12,1,1,1,2,6,26,11,2,1,20,0,1,1,0,11,3,2,3,18,83,74,14
"WDR60",13,26,0,3,4,0,0,1,23,4,0,1,1,1,4,11,2,0,0,5,1,0,0,0,7,0,0,2,11,60,34,3
"VIPR2",2,65,0,0,0,0,0,0,77,1,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2
"PLCXD1",1,1,0,2,0,2,0,0,2,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,4,15,2,0
"GTPBP6",35,26,4,13,8,1,0,0,11,2,0,0,1,1,21,8,4,1,6,17,0,3,0,5,7,2,3,3,17,48,34,3
