"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP13-514E23.2",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK10",0,0,0,0,0,71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1
"PTPN13",0,0,0,0,2,6,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,1
"SLC10A6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"C4orf36",0,0,0,0,1,13,0,0,1,1,0,1,0,1,0,0,0,11,0,0,0,0,3,0
"AFF1",0,3,0,0,0,12,1,5,8,8,2,1,3,1,1,0,0,24,0,0,0,0,37,0
"KLHL8",0,2,0,0,1,21,3,0,3,2,2,2,2,4,1,0,0,11,0,0,0,0,8,3
"HSD17B11",4,17,10,6,24,249,40,26,61,118,41,6,36,51,2,4,13,249,3,4,2,7,255,4
"NUDT9",1,1,0,0,7,89,8,6,7,15,3,6,5,6,0,0,0,38,1,1,0,4,44,6
"RP11-710E1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SPARCL1",1,2,2,1,346,1275,8,4,11,14,5,117,3,8,0,0,0,13,52,0,0,2,5190,289
"SPP1",0,0,0,0,453,6,0,1,1,3,0,35,0,1,0,1,1,0,0,0,0,0,56,1
"PKD2",0,0,1,0,6,22,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,14,2
"ABCG2",0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,50,0
"PPM1K",2,15,0,1,18,69,30,0,75,72,41,4,45,25,1,3,6,2,5,7,6,9,46,2
"HERC6",0,0,0,1,3,11,2,1,1,5,3,0,0,1,0,0,0,2,0,0,1,3,22,0
"HERC5",0,0,1,0,0,30,2,4,2,3,3,2,0,4,1,0,5,0,0,1,0,0,28,2
"PYURF",4,10,6,2,35,258,44,26,42,89,34,11,20,37,4,9,20,121,2,8,0,7,228,30
"HERC3",3,3,1,1,2,16,4,1,9,5,10,0,7,4,0,2,0,7,0,1,0,0,10,1
"NAP1L5",0,4,0,1,0,18,6,2,6,12,3,0,6,4,0,0,0,2,0,0,0,2,21,1
"FAM13A-AS1",0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"FAM13A",1,1,0,0,3,82,6,0,1,12,3,1,0,3,0,0,3,41,1,0,0,0,25,2
"TIGD2",0,1,0,0,0,5,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,3,0
"GPRIN3",1,5,0,0,1,3,15,0,2,31,14,0,0,12,0,1,6,4,2,0,1,4,10,4
"RP11-115D19.1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNCA",0,0,5,0,54,5,0,26,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,1
"MMRN1",0,0,0,0,0,0,0,257,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,2
"CCSER1",0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,3,0,1,0,0,0,0
"GRID2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"ATOH1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"SMARCAD1",0,0,1,0,2,20,1,2,4,2,4,2,1,2,0,1,1,1,0,0,0,1,9,1
"HPGDS",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"PDLIM5",0,2,2,0,6,77,11,3,3,16,9,1,3,3,0,3,0,76,1,1,0,2,201,27
"UNC5C",0,1,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,1,3
"RP11-710C12.1",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-145G20.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STPG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-323J4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RAP1GDS1",0,3,0,2,2,15,5,2,6,15,3,0,4,4,0,0,0,9,0,0,0,2,16,1
"TSPAN5",0,2,0,3,15,6,10,41,8,32,12,2,3,9,1,3,3,4,4,0,0,9,23,0
"RP11-1299A16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EIF4E",6,2,3,0,13,140,24,10,37,44,18,6,8,22,2,5,5,138,4,4,4,5,124,5
"METAP1",0,0,0,1,2,23,2,4,5,9,4,0,3,2,2,0,0,26,0,0,2,0,13,0
"RP11-571L19.8",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADH5",5,2,1,0,16,378,14,11,12,28,12,14,6,10,0,2,3,127,2,2,3,5,112,13
"RP11-696N14.1",0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,2,0
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"ADH1B",0,0,3,0,0,1917,2,1,2,4,1,11,2,1,0,0,0,4,1,0,0,1,15,1
"ADH1C",0,0,1,2,1,14,0,0,1,2,1,1,0,2,0,0,0,567,0,0,0,0,2,0
"TRMT10A",0,0,1,0,1,10,1,4,2,3,2,0,0,0,0,1,0,14,0,1,0,0,11,2
"MTTP",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"DAPP1",1,0,2,3,0,1,0,0,47,9,4,1,10,3,0,0,1,1,0,3,15,4,0,0
"LAMTOR3",5,4,3,1,12,80,9,11,20,21,11,1,6,7,1,0,1,36,2,3,2,5,51,5
"DNAJB14",0,0,2,0,9,68,20,9,29,54,20,3,12,23,1,3,5,18,2,1,2,9,73,4
"H2AFZ",32,50,15,21,121,1100,155,48,227,459,194,30,111,194,15,42,41,796,19,13,109,84,902,58
"DDIT4L",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,6,1
"EMCN",0,0,0,0,0,25,2,41,0,3,0,0,0,0,0,0,1,2,0,0,0,1,495,1
"PPP3CA",1,8,3,1,13,98,19,18,45,50,19,4,25,5,2,4,5,36,1,1,2,3,103,3
"FLJ20021",0,0,0,0,3,19,0,4,1,3,1,2,1,0,0,0,0,32,0,0,0,0,6,1
"BANK1",0,0,0,0,0,6,0,0,288,2,0,0,137,0,0,0,0,1,0,3,3,0,0,0
