"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498"
"2108",1,1,1,1,1
"2110",1,0,0,1,0
"55500",1,1,1,1,1
"55224",0,1,0,1,1
"8790",1,0,1,0,0
"51086",0,0,0,0,0
"2181",0,1,0,1,0
"2180",0,1,0,1,0
"2182",1,1,0,1,1
"81616",1,0,0,1,1
"51703",1,1,1,1,1
"23305",1,0,1,1,0
"116285",1,0,1,0,0
"5167",1,0,1,1,0
"5169",0,1,0,1,1
"6785",0,1,1,0,0
"60481",1,1,1,1,1
"54898",0,0,0,0,0
"79071",0,1,0,0,1
"1579",0,0,0,0,0
"2194",0,1,1,1,0
"10999",1,0,0,0,1
"376497",1,0,1,0,0
"230",1,0,1,0,1
"226",1,0,0,1,1
"229",1,0,0,0,0
"5208",0,1,0,1,1
"5207",0,1,1,0,1
"2203",1,0,1,0,1
"5210",1,0,1,1,0
"5209",0,1,1,1,1
"8789",0,0,0,0,0
"2235",1,0,0,1,1
"10840",0,0,0,1,0
"79901",1,0,0,0,1
"197258",1,0,1,1,0
"125061",1,0,0,0,1
"1719",1,0,0,1,1
"2356",1,1,1,1,1
"155184",1,0,0,1,0
"29988",0,1,0,1,0
"66035",1,0,1,0,1
"6518",0,0,0,0,0
"6514",0,0,0,0,0
"160428",1,0,0,1,0
"25902",1,0,0,0,1
"4522",1,0,0,0,1
"2519",1,0,1,0,0
"2517",1,0,0,1,1
"2184",1,0,1,0,0
"2271",1,1,1,1,1
"2523",0,0,0,0,0
"2525",1,0,0,0,0
"10690",0,0,0,0,0
"2683",1,1,1,1,1
"9334",0,1,1,0,0
"8704",1,0,1,0,0
"8703",1,1,1,1,1
"2820",1,0,0,0,1
"5832",1,1,1,1,1
"9563",1,0,1,0,0
"2539",1,1,1,1,1
"2542",1,0,1,0,0
"2593",1,0,0,0,1
"9514",1,0,0,1,0
"5476",1,1,1,1,1
"2720",1,1,1,1,1
"2588",1,0,1,0,1
"2581",0,1,0,1,1
"2583",0,0,0,0,0
"55454",1,1,1,1,1
"55790",1,0,0,1,1
"79586",1,0,1,1,0
"337876",0,0,0,0,0
"22856",0,1,0,1,1
"63917",1,1,1,1,0
"11226",1,0,0,1,1
"55568",0,1,1,0,1
"2589",0,1,1,0,1
"51809",1,0,0,0,1
"8693",1,0,1,1,0
"2591",0,1,1,0,1
"117248",0,0,0,0,0
"26290",1,0,0,0,1
"114805",0,0,0,0,0
"79695",1,0,0,1,0
"50614",1,0,0,1,0
"79623",0,0,0,0,0
"2590",1,0,0,1,0
"11227",0,1,0,1,0
"81031",0,0,0,0,0
"126792",1,0,1,0,0
"11285",0,1,1,0,0
"8972",0,1,1,1,1
"175",1,1,1,1,1
"26301",1,0,1,0,0
"4329",1,0,1,1,0
"7915",0,1,1,1,0
"2731",0,1,0,1,1
"275",0,1,0,1,0
"2653",1,0,0,0,1
"2651",1,0,1,0,0
"55343",1,0,0,1,0
"8836",0,1,1,0,1
"79017",1,0,0,1,1
"8908",0,0,0,0,0
"2992",1,1,1,1,1
"2997",1,1,1,1,1
"2998",0,0,0,0,0
"2687",0,0,0,0,0
"6472",1,1,1,1,1
"6470",1,0,0,0,1
"2717",0,1,1,0,0
"2632",1,0,1,0,0
"2990",1,1,1,1,1
"8372",1,0,0,0,1
"26035",1,0,1,0,0
"54480",1,1,1,1,1
"2131",1,0,0,0,1
"2132",1,0,0,1,0
"27087",0,1,0,0,1
"26229",1,1,1,1,1
"135152",1,0,1,1,0
"4669",1,0,1,0,0
"64579",0,0,0,0,0
"9348",0,0,1,0,0
"8509",0,1,1,0,0
"3340",1,0,1,0,0
"2137",0,1,1,1,0
"2135",0,1,1,1,0
"2134",0,0,0,0,0
"144195",0,1,0,1,0
"154091",0,0,0,0,0
"11182",1,0,1,0,1
"56606",1,0,0,0,1
"6523",0,0,0,0,0
"178",1,1,1,0,1
"5837",1,0,0,1,1
"5834",1,1,1,1,1
"5836",1,0,0,1,0
"2729",0,1,0,0,1
"2730",0,1,1,1,0
"2746",1,1,1,1,1
"2747",0,1,1,1,0
"10841",0,1,1,1,1
"27165",1,0,0,1,1
"2744",1,1,1,1,1
"79751",1,0,1,1,0
"83733",1,0,1,0,0
"2639",1,1,1,1,1
"57084",0,0,0,0,0
"57030",0,0,0,0,0
"246213",0,0,0,0,0
"51179",0,0,0,0,0
"54363",0,0,0,0,0
"2628",1,0,0,1,0
"9380",1,0,1,0,1
"2712",0,0,0,0,0
"2713",1,0,0,0,1
"2710",1,0,0,1,1
"3029",1,0,1,0,1
"6536",0,0,0,0,0
"5226",1,1,1,1,1
"27232",0,1,0,0,1
"57678",0,1,0,0,1
"80055",1,0,0,1,1
"54965",1,0,1,0,0
"93183",1,0,0,0,1
"2936",1,1,1,1,0
"2876",1,1,1,1,1
"7001",1,1,1,1,1
"5052",1,1,1,1,1
"2879",1,1,1,1,1
"2877",1,0,1,0,0
"257202",0,0,0,0,0
"2878",1,0,0,1,1
"2882",1,1,0,0,1
"10935",1,1,1,1,1
"2937",1,0,1,0,0
"2678",1,0,0,1,0
"2679",0,0,0,0,0
"2983",1,0,1,1,1
"4881",0,0,0,0,0
"3000",1,0,0,0,0
"2974",0,1,0,1,1
"4882",1,0,0,1,1
"2986",0,0,0,0,0
"2982",1,0,0,0,0
"2984",0,0,0,0,0
"2977",0,0,0,0,0
"9615",0,0,0,0,0
"763",0,0,0,0,0
"11238",1,0,0,1,1
"23556",0,1,0,0,1
"55650",1,0,0,1,1
"53905",1,0,0,1,1
"50506",0,0,0,0,0
"343",0,1,1,1,0
"5281",1,0,0,1,1
"84720",0,1,1,0,0
"54872",0,1,0,1,1
"80235",1,0,0,1,0
"128869",1,0,1,0,1
