"","GSM1209561","GSM1209562","GSM1209563","GSM2460434","GSM2460438","GSM2460442","GSM2460446","GSM2460450","GSM2460454","GSM2607420","GSM2607421","GSM2607422","GSM2607423","GSM2607424","GSM2607425"
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"4128",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"4129",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8604",1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
"10165",1,1,0,0,0,1,1,1,1,1,1,1,0,0,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51380",1,0,1,0,0,1,1,1,1,0,0,1,0,1,0
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
"6817",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"6799",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,0,1,1,1,0,0,0,0,1,1,1,0,0,0
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",0,1,0,0,1,1,0,0,1,1,0,0,1,1,1
"2348",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53947",1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
"51146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,1,1,0,0,0,0,0,1,1,1,0,0
"206358",0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6540",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,0,1,1,1,0,0,0,0,1,1,1,1,0
"38",1,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",0,1,0,0,0,1,1,1,1,0,1,0,1,1,0
"9197",1,0,1,0,0,0,1,1,1,0,1,0,1,1,0
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"64841",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"55577",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"5238",0,1,0,1,0,0,1,1,1,0,1,0,1,1,0
"9487",0,0,1,0,1,0,1,1,1,0,0,1,1,1,1
"162417",1,0,1,1,1,0,1,0,0,1,0,1,0,1,0
"43",1,0,1,0,1,1,1,0,0,1,1,1,0,0,0
"6572",1,0,1,1,1,0,0,0,0,1,0,1,0,1,0
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"26503",1,0,1,0,0,0,1,1,1,0,0,1,1,1,0
"54",0,1,1,1,1,1,0,0,1,0,1,0,0,1,1
"140838",1,0,1,0,0,0,1,1,1,1,1,1,1,0,0
