"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated"
"84649",0,0,0,0,0,0,0,0
"1716",1,0,1,0,1,1,0,0
"6513",1,1,0,0,1,1,0,1
"6517",NA,NA,NA,NA,NA,NA,NA,NA
"6515",1,0,1,0,0,0,1,1
"1718",1,1,1,1,0,0,1,0
"1581",NA,NA,NA,NA,NA,NA,NA,NA
"1717",1,0,0,1,1,0,0,0
"8560",1,0,1,0,1,0,1,0
"123099",NA,NA,NA,NA,NA,NA,NA,NA
"11309",0,0,0,0,0,0,0,0
"6783",0,1,1,0,0,0,0,0
"1723",0,1,1,0,1,1,1,0
"1809",NA,NA,NA,NA,NA,NA,NA,NA
"1808",1,1,1,1,1,1,1,1
"1807",NA,NA,NA,NA,NA,NA,NA,NA
"23539",NA,NA,NA,NA,NA,NA,NA,NA
"2224",1,1,1,1,1,1,1,1
"29958",NA,NA,NA,NA,NA,NA,NA,NA
"60386",1,1,1,0,0,0,1,0
"84920",1,0,1,1,1,1,0,0
"79087",1,0,0,1,1,1,0,1
"26002",NA,NA,NA,NA,NA,NA,NA,NA
"1621",0,0,0,0,0,0,0,0
"7299",NA,NA,NA,NA,NA,NA,NA,NA
"6530",NA,NA,NA,NA,NA,NA,NA,NA
"6581",NA,NA,NA,NA,NA,NA,NA,NA
"669",0,0,1,1,0,1,1,1
"5224",NA,NA,NA,NA,NA,NA,NA,NA
"5223",1,1,1,1,1,1,1,1
"4597",1,0,1,0,0,0,0,1
"51071",1,0,1,0,0,1,1,1
"1806",1,0,1,0,0,1,0,1
"7083",1,0,0,1,1,1,1,0
"7084",1,1,0,0,0,0,0,0
"1854",1,1,1,1,1,1,1,1
"3704",1,1,1,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1
"1892",1,1,1,1,1,1,1,1
"549",1,0,1,0,1,1,1,0
"1962",0,1,0,1,0,0,1,1
"1891",0,0,0,0,0,0,0,0
"11001",0,1,0,1,1,0,1,0
"28231",NA,NA,NA,NA,NA,NA,NA,NA
"53919",NA,NA,NA,NA,NA,NA,NA,NA
"10257",0,1,1,1,1,1,0,0
"28232",NA,NA,NA,NA,NA,NA,NA,NA
"2109",1,1,1,1,1,1,1,1
"2108",0,0,0,0,0,0,0,0
"2110",0,1,1,1,1,1,0,0
"55500",1,0,1,1,1,1,0,0
"55224",NA,NA,NA,NA,NA,NA,NA,NA
"8790",1,0,0,0,0,1,0,0
"51086",NA,NA,NA,NA,NA,NA,NA,NA
"2181",0,1,0,0,0,1,1,0
"2180",0,1,0,0,0,0,1,1
"2182",1,0,1,0,1,1,0,0
"81616",NA,NA,NA,NA,NA,NA,NA,NA
"51703",1,1,1,0,1,1,0,1
"23305",0,1,0,1,1,1,0,1
"116285",NA,NA,NA,NA,NA,NA,NA,NA
"5167",0,0,0,0,1,0,0,0
"5169",0,0,0,0,0,0,0,0
"6785",NA,NA,NA,NA,NA,NA,NA,NA
"60481",1,1,1,0,0,0,1,1
"54898",NA,NA,NA,NA,NA,NA,NA,NA
"79071",NA,NA,NA,NA,NA,NA,NA,NA
"1579",NA,NA,NA,NA,NA,NA,NA,NA
"2194",1,1,1,1,1,1,1,1
"10999",1,1,1,0,1,1,0,0
"376497",1,1,1,0,1,1,1,0
"230",1,1,1,1,1,1,1,1
"226",0,0,0,0,0,0,0,0
"229",0,0,0,0,0,0,1,0
"5208",1,0,1,0,0,0,0,1
"5207",NA,NA,NA,NA,NA,NA,NA,NA
"2203",1,0,1,0,1,1,0,1
"5210",0,0,0,0,0,0,0,0
"5209",1,1,0,1,0,0,1,1
"8789",1,0,0,1,0,0,0,0
"2235",0,0,0,0,0,0,0,0
"10840",NA,NA,NA,NA,NA,NA,NA,NA
"79901",0,1,1,0,0,1,0,0
"197258",1,0,1,0,1,1,1,0
"125061",0,0,0,1,0,1,1,0
"1719",0,0,0,1,0,1,0,0
"2356",1,0,1,1,0,1,0,0
"155184",NA,NA,NA,NA,NA,NA,NA,NA
"29988",0,0,0,0,0,0,0,0
"66035",NA,NA,NA,NA,NA,NA,NA,NA
"6518",0,0,0,0,0,0,0,0
"6514",NA,NA,NA,NA,NA,NA,NA,NA
"160428",NA,NA,NA,NA,NA,NA,NA,NA
"25902",1,0,1,0,0,0,1,1
"4522",0,1,0,0,0,0,0,0
"2519",1,0,1,0,0,1,1,0
"2517",1,0,1,0,0,1,1,1
"2184",1,0,1,1,0,0,1,0
"2271",1,1,1,1,1,1,1,1
"2523",NA,NA,NA,NA,NA,NA,NA,NA
"2525",NA,NA,NA,NA,NA,NA,NA,NA
"10690",NA,NA,NA,NA,NA,NA,NA,NA
"2683",0,0,1,0,1,1,1,0
"9334",0,1,1,0,1,1,0,0
"8704",NA,NA,NA,NA,NA,NA,NA,NA
"8703",0,0,1,1,0,1,1,0
"2820",0,0,1,1,1,1,1,0
"5832",1,1,1,1,1,1,1,1
"9563",0,0,1,1,1,1,0,0
"2539",0,1,1,1,1,0,0,1
"2542",0,0,0,0,0,0,0,0
"2593",1,0,1,0,0,1,0,0
"9514",NA,NA,NA,NA,NA,NA,NA,NA
"5476",1,0,1,0,0,1,0,0
"2720",1,0,1,0,0,1,0,0
"2588",1,0,0,1,1,0,1,0
"2581",1,0,1,1,1,0,1,1
"2583",NA,NA,NA,NA,NA,NA,NA,NA
"55454",1,1,1,0,1,1,0,1
"55790",1,0,0,1,0,0,0,0
"79586",0,1,0,0,0,0,1,1
"337876",NA,NA,NA,NA,NA,NA,NA,NA
"22856",0,0,1,1,0,1,1,1
"63917",NA,NA,NA,NA,NA,NA,NA,NA
"11226",0,0,0,1,0,0,1,0
"55568",0,1,1,0,0,0,1,1
"2589",0,1,1,0,1,1,0,0
"51809",1,1,0,0,0,1,0,0
"8693",0,1,1,1,0,0,1,1
"2591",0,0,1,0,1,1,0,0
"117248",NA,NA,NA,NA,NA,NA,NA,NA
"26290",NA,NA,NA,NA,NA,NA,NA,NA
"114805",NA,NA,NA,NA,NA,NA,NA,NA
"79695",NA,NA,NA,NA,NA,NA,NA,NA
"50614",NA,NA,NA,NA,NA,NA,NA,NA
"79623",NA,NA,NA,NA,NA,NA,NA,NA
"2590",1,0,1,1,0,1,0,1
"11227",NA,NA,NA,NA,NA,NA,NA,NA
"81031",NA,NA,NA,NA,NA,NA,NA,NA
"126792",0,1,0,1,0,0,1,1
"11285",1,0,1,0,1,1,0,0
"8972",0,1,0,1,1,1,0,0
