"","x"
"6568",0
"374569",0
"7779",1
"54020",1
"100507855",0
"285440",1
"55191",0
"132",3
"97",1
"98",1
"112611",0
"51005",1
"471",3
"435",1
"171425",1
"132789",1
"10007",3
"2585",1
"2584",1
"2592",1
"5471",1
"84264",0
"3034",0
"144193",0
"2739",3
"8776",1
"3612",3
"3613",0
"2978",0
"4953",3
"5213",1
"5214",3
"10050",0
"10786",0
"10246",0
"6569",1
"10568",0
"5198",0
"113675",1
"7298",0
"215",0
"5825",1
"641372",0
"9045",3
"4017",1
"84105",0
"25830",0
"84569",0
"4025",0
"54995",1
"93492",0
"1267",1
"10249",0
"1549",0
"1580",0
"1573",0
"29785",0
"199974",0
"57834",0
"1555",0
"260293",0
"1215",0
"57094",0
"1357",0
"1358",0
"93979",0
"23430",0
"7384",3
"7388",3
"7386",3
"29796",3
"7385",3
"1537",3
"9481",0
"9016",1
"7352",0
"7351",3
"4726",3
"4729",1
"4541",3
"4719",0
"4713",3
"4718",3
"7991",0
"126328",3
"4539",3
"4731",1
"4694",3
"4705",3
"4704",1
"4695",3
"4696",3
"4707",3
"4711",3
"4712",3
"4702",3
"4537",3
"4710",3
"4700",3
"4538",3
"4708",3
"4709",3
"4715",3
"4535",3
"131669",0
"79644",0
"5973",0
"4698",1
"55967",3
"1646",1
"4701",1
"4540",3
"1635",3
"158160",3
"286297",0
"10560",1
"4717",3
"374291",1
"8630",0
"4724",3
"4723",3
"191",1
"10768",3
"51170",3
"51144",1
"83401",0
"25874",3
"4720",3
"79993",0
"4697",3
"4728",3
"51660",3
"64834",3
"57198",1
"4725",3
"201562",3
"5205",0
"51495",3
"23250",0
"4706",3
"9200",1
"192286",3
"286410",0
"401494",0
"5243",0
"55856",1
"9524",1
"54539",3
"7350",0
"253017",0
"4716",3
"283985",0
"3995",0
"4536",3
"26027",0
"10058",1
"1155",3
"4714",3
"4722",3
"123096",0
"51079",3
"51458",1
"948",0
"114571",0
"1339",0
"57016",0
"10928",0
"79707",0
"1728",0
"1345",3
"79672",3
"1329",3
"2946",0
"9917",1
"55331",1
"341947",0
"125965",0
"55277",0
"125981",1
"340485",0
"64122",0
"1327",3
"92370",0
"4513",3
"2760",0
"1346",0
"93650",0
"5660",3
"390928",0
"57704",0
"4759",0
"1347",3
"139596",0
"1337",3
"55066",1
"4514",3
"10825",0
"283208",0
"7903",1
"1351",3
"84701",0
"5033",3
"1350",3
"8974",0
"4512",3
"8513",0
"58478",3
"55256",3
"5408",0
"170712",0
"259307",1
"9377",3
"51312",1
"9167",3
"1340",3
"57104",1
"81894",3
"13",0
"1349",3
"29085",3
"9388",0
"5407",0
"9107",3
"22908",3
"163404",0
"3991",0
"22876",1
"221955",0
"5406",0
"9896",3
"747",1
"51559",1
"119548",0
"646486",0
"9108",0
"84814",0
"23371",0
"2167",0
"2172",0
"8446",3
"2173",0
"51496",0
"374462",0
"2169",0
"403313",1
"23203",3
"2171",1
"145553",1
"646480",0
"2170",0
"64419",3
"54988",0
"55613",0
"341392",0
"138639",0
"9562",0
"123876",0
"3705",0
"6296",0
"138429",0
"348158",0
"344967",0
"10170",0
"9249",1
"220074",1
"51099",1
"154141",3
"1733",0
"253558",3
"64748",1
"23175",0
"1735",0
"1734",0
"27284",0
"6819",0
"84513",3
"79948",0
"84274",3
"9890",0
"84787",0
"79813",0
"64900",0
"9663",1
"9757",0
"196051",0
"9869",0
"85465",1
"23646",1
"122618",0
"29072",3
"201164",1
"590",0
"80854",1
"55750",1
"387893",0
"84444",1
"4297",0
"91012",1
"204219",0
"10715",0
"58508",0
"253782",0
"55870",1
"29956",3
"10919",1
"6839",1
"79603",1
"64324",1
"56624",0
"6419",1
"170384",1
"23067",3
"56886",0
"54904",3
"2526",1
"152586",0
"148789",0
"200810",0
"55624",0
"64754",3
"56983",3
"79723",0
"644378",0
"55904",3
"644974",0
"8702",1
"9739",1
"8473",3
"55830",3
"7468",1
"3703",3
"83852",0
"8085",0
"283358",0
"51111",0
"55757",0
"60559",3
"23478",3
"146664",0
"28972",3
"2529",0
"360203",0
"90701",3
"9789",3
"57171",1
"4249",3
"25834",0
"7837",1
"140687",0
"137902",0
"8708",0
"9677",1
"23262",1
"201595",3
"26007",0
"83468",0
"158584",3
"84752",0
"283209",1
"145173",0
"23491",0
"124872",0
"84750",0
"221223",0
"338707",0
"1066",0
"1208",0
"146802",0
"168391",0
"55244",0
"345274",0
"116085",0
"8707",0
"123688",1
"51228",3
"51171",1
"284004",1
"79411",0
"51741",1
"27090",0
"129807",0
"441282",0
"2524",0
"10202",0
"2527",0
"10553",3
"121214",0
"374875",0
"2528",0
"113612",0
"56898",0
"493869",0
"1487",3
"64174",1
"100288072",0
"64180",1
"93517",0
"10728",3
"84869",1
"340811",0
"91179",0
"133121",0
"11102",1
"85007",3
"250",0
"8644",1
"10826",0
"251",0
"266740",0
"200931",0
"3930",3
"123264",0
"10941",0
"79799",0
"4645",0
"5446",0
"4864",0
"506",3
"3069",1
"10632",3
"515",3
"10476",3
"513",3
"522",3
"539",3
"9551",3
"516",3
"509",3
"518",3
"27109",0
"514",3
"4905",3
"517",3
"521",3
"498",3
"267020",1
"27089",3
"10975",3
"7381",3
"4519",2
