"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"GDI1",22,17,0,2,16,0,1,3,9,3,2,3,0,7,10,2,2,3,3,3,10,1,7,0,1,16,387,16
"FAM50A",38,64,7,5,24,8,1,5,21,7,7,2,3,37,15,0,8,7,2,3,24,3,17,2,9,57,1082,27
"PLXNA3",4,8,0,1,3,1,0,0,2,2,3,0,5,8,4,0,3,2,0,2,0,0,2,1,0,10,134,2
"LAGE3",43,45,6,3,26,6,1,3,14,6,7,1,2,25,20,1,7,2,4,15,4,1,23,5,6,38,1273,33
"UBL4A",5,3,0,0,3,2,0,0,2,3,1,2,0,7,3,1,0,0,1,0,2,2,2,1,0,7,457,7
"SLC10A3",1,17,6,1,11,1,0,1,2,2,1,1,3,14,3,1,3,0,2,2,4,0,1,2,2,8,193,3
"FAM3A",11,12,0,0,5,2,1,2,7,0,0,0,4,8,3,0,3,5,3,1,10,2,3,0,5,6,410,10
"G6PD",15,13,2,1,10,5,0,0,8,3,4,1,2,7,10,2,3,4,0,1,3,1,5,2,3,11,314,5
"IKBKG",6,9,1,1,8,3,0,2,7,1,1,1,2,7,3,0,2,0,1,0,6,1,6,0,3,21,138,9
"GAB3",6,0,2,1,7,1,0,1,1,1,2,0,2,6,3,0,0,0,1,0,0,0,3,0,1,0,3,4
"DKC1",9,15,7,2,8,3,1,4,5,3,1,0,2,12,3,2,4,1,1,0,5,2,5,2,4,19,1591,7
"MPP1",75,3,1,3,3,3,0,0,0,1,0,1,1,2,1,0,0,0,0,0,2,0,19,0,1,8,262,3
"F8",3,1,1,1,2,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,3,4
"F8A1",7,10,4,3,9,4,0,0,0,2,1,0,1,7,1,1,1,0,1,0,5,0,2,2,2,16,90,2
