"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"DGCR6L",8,3,11,1,3,9,131,10,2,4,10,6,67,19,5,5,12,3,2,8,77,6,3,1,1,52,1
"XXbac-B444P24.14",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF74",0,0,0,0,0,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
"SCARF2",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
"KLHL22",0,0,0,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1
"MED15",1,4,3,2,0,3,30,3,0,0,0,6,19,10,1,2,3,1,3,1,29,0,0,0,2,17,0
"AC007050.17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PI4KA",4,1,2,0,0,1,9,0,0,0,4,1,12,3,0,3,0,1,0,3,16,2,0,0,0,8,1
"SNAP29",5,3,4,4,0,1,32,6,0,1,2,7,19,16,2,4,1,1,1,1,42,1,1,1,2,14,1
"CRKL",0,4,1,0,0,2,18,3,0,2,0,4,16,9,0,3,2,1,0,1,23,1,3,0,0,7,0
"XXbac-B135H6.15",4,0,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
"AIFM3",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0
"LZTR1",0,1,1,1,0,1,4,0,0,0,1,0,3,0,0,0,0,0,1,0,7,1,1,0,0,5,0
"XXbac-B135H6.18",0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"THAP7",0,3,3,0,0,1,22,8,1,1,2,6,29,10,1,6,6,0,1,5,17,1,3,0,2,12,1
"THAP7-AS1",0,2,0,0,0,2,9,1,0,0,0,2,5,4,0,0,1,0,0,1,6,0,1,0,0,3,2
"SLC7A4",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"LRRC74B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"KB-1592A4.15",0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGT2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KB-1183D5.13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0
"HIC2",0,0,0,0,0,1,6,2,0,0,0,2,6,0,1,0,0,1,0,1,25,0,1,0,0,4,0
"TMEM191C",2,0,1,0,0,1,5,1,1,0,0,2,5,4,2,0,0,0,1,0,5,0,0,1,0,1,0
"UBE2L3",20,14,27,5,1,13,175,28,5,6,19,29,194,93,10,28,24,3,7,13,286,11,13,2,18,75,3
"YDJC",2,0,7,1,2,2,8,8,1,1,2,11,37,15,1,8,5,0,3,1,52,0,6,0,2,5,0
"CCDC116",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDF2L1",19,5,17,1,1,5,46,14,1,2,3,8,66,43,9,11,8,1,5,12,107,0,58,3,7,28,2
"PPIL2",0,1,2,1,0,1,12,3,0,1,1,2,9,6,2,5,3,1,0,0,20,1,1,0,1,2,0
"YPEL1",0,2,0,0,0,3,6,1,0,0,0,2,1,1,0,0,0,0,0,2,6,1,1,0,1,3,0
"MAPK1",10,4,6,1,0,10,18,4,0,0,21,7,29,13,3,2,5,2,5,4,46,0,1,4,2,17,0
"PPM1F",3,0,3,0,0,0,13,0,0,0,0,1,4,1,1,0,0,0,0,3,4,0,2,3,0,22,0
