"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"10606",0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"1468",0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0
"64849",1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
"1645",1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
"1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6510",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"6509",0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
"56301",0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23464",0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
"212",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6541",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2875",0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1
"84706",0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1
"92745",1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
"10991",1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1
"284273",1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0
"224",1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1
"219",0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1
"239",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
"247",0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1
