"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CHL1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CNTN4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"IL5RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TRNT1",3,2,1,0,1,0,0,1,0,5,0,1,9,0,1,1,0,0,1,4,0,0,0,1,3,37,2
"CRBN",6,6,2,0,1,3,0,9,5,5,2,5,32,10,1,3,6,1,4,5,1,0,2,0,20,90,7
"RP11-97C16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"SUMF1",7,7,0,4,0,0,0,0,1,1,1,0,3,1,0,0,1,0,2,0,2,0,0,0,5,27,2
"LRRN1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"SETMAR",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,4,2
"ITPR1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ITPR1",6,4,1,0,3,1,0,13,1,4,4,0,15,4,1,8,4,0,7,1,1,1,1,0,7,2,6
"EGOT",1,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,19,2
"AC018816.3",1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,1,3,3
"BHLHE40-AS1",0,0,0,0,1,0,0,5,0,3,0,0,2,0,0,2,0,0,0,1,0,0,0,0,4,1,0
"BHLHE40",82,33,5,12,6,1,2,14,15,27,14,4,62,11,1,19,16,10,6,1,9,0,3,3,17,273,62
"ARL8B",43,8,0,4,1,6,1,8,3,4,4,3,24,12,3,6,6,1,4,5,9,1,0,0,7,87,2
"AC026202.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0
"RP11-572B2.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDEM1",29,5,0,1,1,2,1,10,3,2,3,5,10,4,3,3,3,0,0,28,9,0,0,0,6,48,3
"AC069277.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GRM7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRM7-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LMCD1",0,11,0,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,10,2,0,0,0,2,0,20,28
"SSUH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5
"OXTR",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RAD18",2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0,0,2,0,0,0,0,1,1,22,0
"SRGAP3",2,0,0,0,5,0,0,3,10,2,8,0,12,2,0,1,6,3,0,0,0,0,4,2,2,7,0
"RP11-380O24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"THUMPD3-AS1",12,6,8,1,8,1,4,8,9,8,8,2,28,6,3,9,6,5,3,8,1,2,1,0,16,109,6
"THUMPD3",5,3,1,0,1,0,0,1,0,1,0,0,9,0,0,1,1,0,2,6,1,0,0,0,6,41,1
"SETD5",6,12,0,1,0,8,1,6,6,2,5,5,21,10,2,3,7,5,8,8,2,0,0,0,6,72,13
"LHFPL4",0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,7,0
"MTMR14",17,6,2,1,2,0,0,4,2,3,2,4,20,4,3,3,6,1,0,10,4,1,0,1,10,34,8
"BRPF1",0,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,12,2
"OGG1",3,3,1,0,2,0,0,2,0,3,1,1,3,2,1,0,2,0,0,4,0,2,0,0,4,16,3
"CAMK1",23,0,0,2,1,0,0,6,1,5,4,0,5,1,0,0,8,1,9,0,3,1,0,0,8,12,3
"TADA3",16,14,2,2,6,2,2,8,10,11,9,4,37,5,0,3,8,1,11,10,0,1,1,7,18,92,6
"ARPC4",88,30,4,26,26,4,2,37,20,45,23,15,181,29,9,12,42,12,17,23,21,6,6,14,61,247,33
"TTLL3",0,0,0,0,1,0,0,0,2,0,1,0,4,3,0,0,1,0,1,0,0,0,0,0,1,8,4
"RP11-266J6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPUSD3",6,0,0,1,0,2,0,1,0,4,1,1,8,1,3,2,5,2,1,6,0,0,0,0,5,61,2
