"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"TMEM210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ANAPC2",2,1,0,0,1,0,0,2,1,4,0,0,1,0,0,1,266
"SSNA1",18,8,7,5,2,4,4,1,8,16,4,2,2,4,3,14,3904
"TPRN",1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,837
"TMEM203",3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,769
"NDOR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"RNF208",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"CYSRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"RNF224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"SLC34A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"TUBB4B",40,5,9,0,4,2,2,0,8,23,5,3,15,6,10,8,9419
"FAM166A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"C9orf173-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"C9orf173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"NELFB",3,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,880
"TOR4A",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,643
"NRARP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777
"EXD3",1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,465
"NOXA1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
"ENTPD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"NSMF",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,836
"PNPLA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
"MRPL41",31,3,7,5,2,3,5,5,4,17,9,1,12,1,4,19,4594
"DPH7",2,0,1,1,0,0,1,1,1,3,0,1,1,0,0,1,468
"ZMYND19",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,420
"ARRDC1",4,2,0,0,1,1,1,1,0,2,1,2,2,1,0,7,2047
"ARRDC1-AS1",2,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,162
"EHMT1",1,0,1,0,0,0,0,0,2,4,1,0,0,1,0,4,551
"FAM157B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
