"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"APOL3",1,1,0,7,2,0,1,0,2,0,6,20,5,1,15,1,0,2,2,5,9,4
"APOL4",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"APOL2",0,0,1,0,4,0,0,2,0,1,0,9,0,4,4,0,0,0,1,1,16,0
"APOL1",3,12,0,0,1,0,8,0,1,0,2,2,0,1,7,0,0,0,1,4,27,1
"MYH9",5,33,11,8,11,3,12,2,21,0,24,73,23,17,66,1,5,12,1,19,454,8
"RP4-633O19--A.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TXN2",2,7,2,11,3,3,6,1,5,1,16,35,8,8,29,0,3,8,4,23,338,4
"FOXRED2",2,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0
"EIF3D",8,22,11,17,12,5,14,4,17,5,98,125,26,47,151,9,4,9,6,41,817,4
"IFT27",0,6,3,1,3,2,2,2,6,1,4,14,3,2,8,0,0,2,0,4,109,1
"PVALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NCF4",1,0,0,7,2,0,0,1,9,0,16,29,1,8,10,0,0,0,3,15,11,0
"CSF2RB",2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
"TST",0,3,0,2,1,0,1,0,0,0,0,1,1,2,1,0,1,9,1,0,260,2
"MPST",1,14,0,5,2,0,5,1,0,0,7,12,6,2,11,0,1,26,1,6,834,1
"KCTD17",0,3,0,0,0,0,0,0,1,0,1,10,0,0,8,0,0,1,0,1,28,0
"IL2RB",0,1,7,1,8,2,0,2,15,1,1,71,22,1,54,5,4,0,0,37,2,0
"C1QTNF6",0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0
"SSTR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RAC2",3,1,15,4,37,11,0,8,49,12,67,172,34,52,143,5,6,2,3,84,58,1
"CYTH4",6,0,0,3,1,0,0,1,0,0,7,10,3,3,3,0,2,1,3,4,2,0
"MFNG",0,0,2,6,4,0,0,0,3,0,7,34,6,11,29,2,0,0,0,7,8,1
"CARD10",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,1
"CDC42EP1",1,14,1,1,0,0,5,0,1,0,0,1,2,0,1,0,1,12,1,1,266,2
"LGALS2",14,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0
"GGA1",6,8,6,4,8,0,2,3,2,1,14,34,9,11,30,2,3,6,4,12,126,1
"SH3BP1",2,1,5,3,6,0,0,0,9,0,5,16,12,1,11,1,0,0,1,5,38,0
"PDXP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LGALS1",130,643,12,96,113,5,239,10,29,0,74,72,58,6,44,1,11,8,79,73,198,9
"NOL12",1,0,0,0,0,1,2,0,0,0,2,8,1,1,6,0,0,5,0,2,43,1
"RP1-37E16.12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"TRIOBP",2,4,1,1,0,0,0,0,0,0,5,1,0,2,1,0,1,2,0,0,207,2
"H1F0",4,5,0,0,0,0,8,1,0,1,2,3,1,0,4,1,0,9,0,1,259,3
"GCAT",0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,4,0,0,122,0
"GALR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ANKRD54",0,0,0,0,1,1,2,0,4,1,5,12,3,7,8,0,0,0,0,2,26,0
"EIF3L",11,20,6,55,13,7,24,7,39,2,147,208,29,76,236,9,10,19,10,73,978,11
"MICALL1",0,1,0,0,1,0,0,1,0,0,2,3,0,0,2,0,0,1,0,0,19,0
"C22orf23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLR2F",3,15,8,8,9,2,3,1,7,1,27,57,11,14,55,2,3,11,2,20,393,5
"PICK1",1,1,0,0,0,1,1,0,1,0,3,5,0,5,0,0,0,4,1,1,62,1
"BAIAP2L2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,58,0
"PLA2G6",0,1,2,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,2,19,0
"CTA-228A9.4",1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,7,0
"MAFF",13,38,2,9,1,0,56,1,1,0,5,22,6,2,17,0,4,6,2,5,482,10
"TMEM184B",2,0,0,5,0,0,1,0,1,0,2,6,0,2,6,1,1,1,0,1,66,0
"CSNK1E",1,8,1,3,2,3,4,0,0,0,9,13,3,4,15,0,1,2,0,4,216,0
"KDELR3",0,7,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,97,1
"DDX17",8,19,4,13,9,4,9,1,12,2,54,78,12,32,70,1,3,11,2,23,382,9
"DMC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM227A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
"CBY1",0,2,1,1,0,0,3,0,1,0,1,4,0,0,6,0,0,2,0,2,92,0
"RP3-508I15.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TOMM22",2,10,9,17,7,4,9,2,12,4,42,79,21,31,95,2,1,6,4,36,521,5
"JOSD1",1,5,3,4,1,1,2,1,4,1,15,63,6,19,58,1,2,7,2,23,154,0
"GTPBP1",0,1,8,6,5,3,1,1,5,0,17,41,13,28,40,3,3,4,0,10,110,0
"RP3-508I15.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SUN2",1,6,7,5,13,4,4,4,9,2,28,82,18,23,86,3,8,3,0,24,62,2
"RP3-508I15.14",0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,7,0
"RP3-508I15.21",0,0,0,0,0,0,0,0,0,0,3,9,0,0,2,0,0,0,0,2,19,0
"RP3-508I15.22",1,0,0,0,0,0,0,0,0,0,3,3,0,2,4,0,0,0,0,1,7,0
"DNAL4",1,0,0,0,1,1,0,0,3,0,2,6,1,5,5,0,0,0,0,2,36,0
"CBX6",2,11,8,16,3,1,9,0,6,0,9,34,10,4,30,0,1,1,4,14,2,0
"APOBEC3A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"APOBEC3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
"APOBEC3C",3,7,7,4,21,2,0,5,2,2,11,31,19,17,15,1,1,2,1,13,29,2
"APOBEC3D",0,1,2,0,1,0,1,0,1,0,1,4,1,1,1,0,0,0,0,1,5,0
"APOBEC3F",1,2,1,0,1,0,0,0,0,0,1,2,1,3,3,0,0,0,0,2,4,0
"APOBEC3G",0,4,12,4,27,10,1,2,4,1,4,25,24,8,12,2,8,1,0,9,8,0
"APOBEC3H",1,0,1,1,7,2,0,2,1,0,0,7,7,0,1,0,2,0,0,3,2,0
"CBX7",1,3,0,2,1,1,1,1,2,0,11,12,12,13,16,0,0,1,0,7,22,0
"RP4-742C19.13",0,0,0,0,0,0,0,0,1,0,1,6,1,1,8,0,0,0,0,0,3,0
"PDGFB",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"RP3-333H23.8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"RPL3",79,498,208,428,261,176,364,77,481,76,2864,4483,719,1711,5222,224,153,395,74,1026,21715,165
"SYNGR1",0,5,0,2,3,1,3,0,0,0,14,3,2,3,1,0,0,1,0,0,6,0
"TAB1",0,1,0,1,0,0,0,0,0,0,3,1,0,3,2,0,0,0,0,3,13,1
"MGAT3",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"MIEF1",0,3,0,1,1,0,0,0,1,0,2,5,2,3,1,0,1,1,0,1,41,1
"ATF4",3,53,4,16,4,3,23,4,14,2,63,90,16,52,90,3,6,21,7,29,1096,9
"RPS19BP1",7,16,2,7,5,2,4,0,9,1,16,49,11,15,31,1,2,4,2,13,385,1
"CACNA1I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"GRAP2",0,0,6,0,1,1,0,1,13,0,1,39,5,2,16,2,1,1,0,7,1,0
"FAM83F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0
"RP3-496C20.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TNRC6B",0,9,6,5,10,4,6,1,7,1,80,85,13,51,107,4,0,11,3,22,171,3
"ADSL",2,3,1,4,3,0,2,1,1,0,4,17,3,2,14,1,1,1,0,7,126,1
"SGSM3",1,3,0,2,4,0,3,0,3,1,10,11,3,14,14,0,0,4,1,9,131,0
"RP5-1042K10.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"MKL1",0,0,1,2,0,0,1,0,4,0,5,11,0,1,3,0,1,0,1,1,17,0
"RP4-591N18.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"SLC25A17",0,3,1,2,0,0,1,2,5,0,4,6,2,5,6,0,0,2,0,1,23,0
"ST13",11,32,4,14,5,3,27,2,15,3,103,146,19,51,134,5,3,24,4,33,849,7
"XPNPEP3",0,0,0,0,1,0,1,0,0,0,4,7,1,3,4,0,0,0,0,2,32,1
"RBX1",10,25,9,18,11,4,7,1,7,5,30,61,14,18,59,5,5,17,2,37,590,7
"EP300",1,4,1,3,3,0,1,3,2,0,14,22,4,18,26,0,1,2,1,8,79,1
"L3MBTL2",1,0,0,0,0,0,0,0,0,0,3,7,1,1,3,0,0,0,0,2,14,0
"RP4-756G23.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHADL",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,1
"RANGAP1",2,0,0,1,0,0,0,0,2,0,3,10,2,1,16,1,1,3,0,3,61,0
"ZC3H7B",0,1,2,4,0,0,1,0,0,0,1,8,2,0,6,0,0,0,0,1,42,0
"TEF",0,2,0,0,0,0,2,0,1,0,0,2,1,2,2,0,0,0,0,0,10,0
"TOB2",0,10,9,9,8,4,5,2,10,1,27,68,12,10,73,4,2,15,1,30,337,2
"PHF5A",0,4,1,5,3,1,1,2,5,0,18,30,8,15,23,1,1,4,2,10,167,2
"ACO2",4,5,1,6,1,0,4,0,5,1,24,23,1,14,12,3,0,3,0,11,208,1
"POLR3H",0,3,0,2,2,0,1,0,1,0,4,5,3,2,5,0,0,0,0,0,38,0
"CSDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMM1",0,9,0,1,0,1,3,1,2,0,1,6,1,2,6,1,0,5,0,6,100,0
"DESI1",1,4,2,1,5,0,0,2,1,0,7,20,7,10,23,1,2,6,0,11,114,2
"XRCC6",4,9,13,20,7,6,9,5,14,4,58,124,23,37,132,4,7,13,2,37,392,4
"SNU13",3,21,9,19,14,10,10,2,20,5,137,143,31,84,165,8,9,18,7,54,839,8
"C22orf46",0,1,2,0,0,0,1,1,1,1,7,9,2,2,10,0,1,1,0,5,16,0
"MEI1",0,1,2,0,4,0,1,0,6,1,5,19,4,5,21,0,0,1,1,5,8,0
"CCDC134",0,0,1,0,1,0,0,0,1,0,0,2,2,1,1,0,0,0,0,0,3,0
"RP5-821D11.7",0,0,0,0,2,0,0,0,0,0,3,9,0,3,10,0,0,4,0,1,12,0
"SREBF2",0,1,1,2,2,0,2,0,3,0,10,14,0,5,8,0,0,0,0,4,80,1
"SHISA8",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0
"TNFRSF13C",0,0,0,0,1,0,0,0,0,0,178,10,1,96,8,1,0,0,0,2,8,0
"CENPM",0,1,1,0,4,1,0,2,8,0,27,37,2,27,31,0,1,2,0,13,35,0
"WBP2NL",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,4,0
"NAGA",5,2,0,8,1,0,1,0,2,0,0,6,1,1,2,0,0,0,1,4,40,0
"FAM109B",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
"SMDT1",7,18,13,16,9,6,13,1,20,4,148,166,19,77,201,12,9,11,0,34,658,9
"NDUFA6",5,15,6,15,14,1,4,3,18,2,38,87,20,36,102,4,6,20,4,29,502,0
"CYP2D6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,6,0
"TCF20",1,0,0,0,0,0,1,0,0,0,1,6,1,2,2,0,0,1,1,2,50,0
"Z83851.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"CTA-989H11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01315",1,2,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,40,0
"NFAM1",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
