"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"OSGEPL1-AS1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"RP11-455J20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ORMDL1",13,15,9,2,10,6,3,8,3,5,16,55,17,7,20,2,11,17,7,5,24,213,7
"PMS1",1,0,0,1,0,0,1,0,0,1,1,2,0,0,1,0,0,1,0,0,0,49,0
"C2orf88",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,8,0
"HIBCH",1,0,1,1,1,2,0,3,0,0,2,10,0,0,4,0,1,0,1,1,2,180,6
"INPP1",0,0,0,0,1,0,2,3,0,1,1,3,0,0,1,0,0,0,3,0,5,116,6
"MFSD6",2,3,0,2,2,2,1,2,0,3,2,6,5,1,1,2,1,0,0,0,6,126,1
"RP11-647K16.1",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
"NEMP2",1,0,0,0,0,1,0,1,0,1,3,2,1,0,3,1,1,1,1,2,2,5,0
"AC093388.3",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,1
"NAB1",5,5,1,2,3,2,1,12,1,0,8,38,9,0,11,1,3,3,5,1,22,63,7
"GLS",15,1,3,1,4,2,2,10,3,1,12,28,3,5,5,1,3,4,7,3,18,244,7
"STAT1",70,8,16,2,2,6,2,7,4,0,13,54,8,13,16,1,0,8,7,2,32,329,8
"STAT4",14,25,5,6,12,8,11,21,8,5,8,121,45,3,44,24,13,2,7,3,48,12,0
"AC092614.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MYO1B",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,146,7
"NABP1",20,5,6,0,2,3,1,8,1,1,12,24,4,3,11,5,1,2,11,0,25,175,4
"SDPR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"RP11-764E7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC064834.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
"SLC39A10",5,0,1,0,0,1,1,2,0,0,3,8,0,0,3,1,1,0,2,0,3,73,2
"DNAH7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"STK17B",26,40,20,12,28,19,16,73,22,8,66,279,60,40,109,12,23,5,16,15,189,149,5
"RP11-347P5.1",5,34,4,2,19,12,8,13,4,5,24,97,31,24,48,8,15,3,7,4,56,61,0
"HECW2",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5
"AC020571.3",2,3,0,1,0,0,1,17,4,6,0,44,7,0,8,0,2,0,0,0,11,3,1
"CCDC150",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,11,0
"GTF3C3",2,1,1,0,0,1,0,2,0,0,2,4,0,3,2,1,0,0,1,0,2,64,1
