"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"SMAD3",1,13,0,0,1,0,5,0,0,1,0,0,17,12,3,258,31
"AAGAB",7,26,0,0,0,0,3,0,1,0,0,1,13,6,6,149,12
"IQCH",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"IQCH-AS1",2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,15,0
"C15orf61",7,31,0,0,3,0,4,0,2,0,0,0,24,5,7,239,15
"RP11-502I4.3",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,12,0
"MAP2K5",6,12,0,0,1,0,3,0,1,0,0,1,8,0,3,68,8
"SKOR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"PIAS1",25,14,0,2,4,0,4,0,2,0,0,1,13,7,3,247,24
"CALML4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
"CLN6",27,10,0,2,3,1,5,0,0,0,0,0,11,9,3,210,17
"FEM1B",20,18,0,2,3,0,1,1,3,0,0,1,16,2,1,105,18
"ITGA11",0,39,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0
"CORO2B",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ANP32A",68,56,1,4,5,0,7,3,0,1,2,2,84,41,9,391,69
"SPESP1",1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2
"NOX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EWSAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GLCE",2,8,0,3,0,0,2,0,0,0,0,0,4,5,2,137,11
"PAQR5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
"RP11-253M7.1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIF23",1,10,0,0,0,0,1,1,0,0,0,0,7,0,0,33,2
"RPLP1",4438,7068,223,380,531,266,3272,239,1246,214,118,432,5142,4608,1322,47089,4838
"DRAIC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"PCAT29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TLE3",30,14,1,2,3,1,3,1,5,0,0,0,16,15,6,125,41
"SALRNA2",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
"UACA",4,19,0,1,0,0,1,0,0,0,0,0,299,4,0,158,93
"RP11-138H8.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP6",0,60,0,0,0,0,0,0,0,0,0,0,31,1,0,1,34
"LRRC49",0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,8,6
"THAP10",0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,16,3
"THSD4",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
"NR2E3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MYO9A",8,9,0,1,2,1,4,1,0,0,0,0,9,5,0,90,19
"SENP8",1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
"GRAMD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"PKM",625,1137,9,77,35,2,70,12,15,3,2,29,662,499,99,3800,323
"PARP6",6,12,0,1,1,0,1,0,0,0,0,0,13,1,2,34,8
"RP11-106M3.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEXA",148,82,1,2,5,0,7,1,0,1,0,2,64,21,5,312,42
"HEXA-AS1",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"RP11-1007O24.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"RP11-1007O24.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARIH1",40,37,1,3,1,0,8,1,3,0,0,2,43,20,6,298,57
"RP11-1006G14.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"BBS4",2,12,0,0,1,0,4,0,0,0,0,0,16,0,1,23,6
"ADPGK",61,30,1,1,5,0,11,2,3,3,1,5,27,25,8,152,20
"ADPGK-AS1",4,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0
"NEO1",3,12,0,0,0,0,4,0,1,0,0,0,9,1,0,139,0
"NPTN",67,75,0,3,1,0,6,0,1,1,0,2,68,33,5,435,35
"CD276",45,132,0,1,0,0,0,0,0,1,0,0,120,7,0,151,66
"C15orf59",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOXL1-AS1",0,6,0,0,0,0,0,0,0,0,0,0,3,0,2,14,0
"LOXL1",0,194,0,0,0,0,0,0,0,0,0,0,47,0,1,31,1
"STOML1",1,12,0,0,0,0,0,0,0,0,1,0,22,0,0,36,7
"PML",14,34,0,0,2,1,0,1,0,3,0,0,31,1,3,211,21
"RP11-247C2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ISLR",0,157,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0
"STRA6",0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0
"RP11-60L3.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CYP11A1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEMA7A",1,1,0,1,0,1,0,0,0,0,0,9,1,0,1,19,13
"UBL7",13,29,1,0,4,0,9,0,1,0,1,6,36,12,6,142,34
"UBL7-AS1",5,1,0,0,0,0,2,0,1,0,0,0,5,2,1,21,4
"ARID3B",6,3,1,0,0,0,1,0,0,0,1,1,4,4,0,83,3
"CLK3",11,12,0,0,5,0,8,2,3,0,1,2,35,16,5,174,22
"EDC3",4,5,0,0,0,1,2,0,0,0,0,0,11,2,1,31,7
"CYP1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CSK",47,10,0,1,4,1,3,1,0,0,0,3,17,13,4,82,12
"ULK3",8,14,0,0,0,0,2,0,0,0,0,0,8,6,8,47,6
"SCAMP2",64,24,3,7,3,2,5,2,4,1,0,5,20,27,12,215,26
"MPI",5,15,0,1,0,0,2,0,2,0,0,1,7,2,1,90,3
"FAM219B",13,13,0,1,1,0,2,0,0,1,1,0,14,1,2,73,13
"COX5A",217,169,6,13,24,5,42,2,7,7,3,19,200,103,54,2804,206
"RPP25",9,16,0,2,2,0,0,0,1,0,0,1,23,2,2,195,18
"SCAMP5",0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,5,27
"PPCDC",13,7,0,3,0,0,3,0,0,0,0,1,10,16,0,65,19
"C15orf39",7,12,0,0,1,0,1,0,1,1,0,5,13,8,0,46,19
"COMMD4",35,91,0,0,1,0,7,0,2,0,0,0,75,16,10,323,50
"RP11-817O13.9",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"NEIL1",2,4,0,0,0,0,2,0,1,0,0,0,1,2,0,41,17
"MAN2C1",16,16,0,2,1,0,2,0,0,0,0,1,14,6,1,114,28
"RP11-817O13.8",1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,5,0
"SIN3A",9,10,1,0,0,1,1,0,0,1,1,3,14,6,1,85,21
"PTPN9",29,21,1,2,0,0,1,0,1,0,0,0,24,1,2,63,13
"SNUPN",10,18,0,0,0,0,0,0,2,1,0,0,11,2,1,54,10
"IMP3",47,41,3,3,5,1,19,1,11,1,0,3,37,17,17,351,33
"CTD-2026K11.4",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
"SNX33",15,7,0,1,0,0,0,0,0,0,0,0,11,3,0,59,3
"CSPG4",0,7,0,0,0,0,1,0,0,0,0,0,106,0,0,1,3
"CTD-2026K11.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"ODF3L1",1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0
"UBE2Q2",24,58,0,3,1,0,8,0,3,2,0,1,39,7,5,156,25
"FBXO22",5,19,0,0,1,0,2,0,1,1,1,0,27,6,4,114,15
"NRG4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ETFA",60,86,0,12,4,0,14,0,4,2,0,4,78,42,14,818,66
"ISL2",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SCAPER",8,8,0,0,2,1,3,0,0,0,0,2,8,3,5,31,4
"RCN2",34,179,5,2,9,2,14,1,2,4,0,3,133,25,15,511,79
"PSTPIP1",30,4,0,1,7,1,8,1,1,1,0,0,1,9,12,38,1
"TSPAN3",49,54,1,4,1,0,4,1,0,0,0,5,71,18,3,2016,44
"PEAK1",9,18,0,2,0,0,1,0,1,0,0,2,61,4,0,58,24
"HMG20A",5,8,0,1,0,0,0,0,0,0,0,0,16,1,2,39,7
"RP11-307C19.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LINGO1",0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"TBC1D2B",14,22,0,0,5,0,3,1,3,0,1,1,24,2,6,51,20
"CIB2",0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,23,6
"IDH3A",10,17,1,1,1,0,6,0,0,0,0,5,21,10,0,186,20
"ACSBG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNAJA4",31,15,0,0,0,1,1,0,0,0,0,0,10,6,0,176,25
"WDR61",31,59,1,2,4,1,5,0,1,0,0,1,56,14,4,238,48
"IREB2",20,15,1,2,2,0,3,1,1,0,0,1,14,6,2,111,20
"RP11-650L12.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HYKK",0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0
"PSMA4",152,190,3,9,14,1,32,2,7,5,1,11,196,90,27,939,187
"CHRNA5",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,3
"RP11-650L12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHRNA3",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRNB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ADAMTS7",0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,38
"MORF4L1",212,488,9,11,20,3,60,4,15,4,1,23,441,110,44,1233,285
"CTSH",245,12,0,35,1,3,12,0,6,0,0,5,4,164,7,309,40
"RP11-16K12.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMED3",57,254,0,2,2,2,11,1,4,0,0,3,118,27,12,599,46
"KIAA1024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"MTHFS",16,12,0,2,1,0,5,0,0,2,0,1,8,17,5,121,5
"RP11-38G5.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST20-MTHFS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ST20",13,12,0,0,1,0,0,0,0,0,0,1,3,12,2,127,5
"ST20-AS1",3,5,0,0,0,0,0,0,0,0,0,0,1,4,0,9,2
"BCL2A1",1143,15,1,171,1,6,10,1,1,3,1,31,17,2315,3,116,4
"ZFAND6",78,71,4,9,6,1,10,1,3,0,0,12,60,61,15,499,44
"FAH",42,24,1,1,2,0,1,0,1,0,0,1,1,11,3,59,0
"RP11-210M15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARNT2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
"RP11-379K22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ABHD17C",3,1,0,0,1,0,0,1,0,0,0,0,4,6,0,655,9
"RP11-28H5.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CEMIP",3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,225,0
"MESDC2",68,76,1,3,6,2,14,2,6,1,2,8,78,12,8,371,50
"RP11-775C24.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MESDC1",52,30,1,0,1,0,3,1,3,0,0,2,40,32,4,239,77
"CFAP161",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"IL16",5,3,1,3,0,4,2,3,0,0,0,3,1,2,3,0,7
"STARD5",8,3,0,1,0,0,0,0,0,0,0,0,1,4,0,36,2
"TMC3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CTD-2240J17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CTD-2240J17.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX3B",1,9,0,0,0,0,0,0,0,0,0,0,3,2,0,9,10
"LINC01583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFTUD1",3,4,0,0,0,0,1,0,0,0,0,0,1,4,1,43,3
"SAXO2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"GOLGA6L10",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,18,5
"GOLGA6L9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,1
"RPS17",1200,2292,76,202,150,92,947,68,431,60,40,184,1961,1340,456,20602,1892
"CPEB1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP3B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SNHG21",1,7,0,0,1,0,1,0,0,0,1,2,5,1,0,49,5
"FSD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WHAMM",5,10,1,3,1,1,7,0,1,1,0,2,12,12,4,100,9
"HOMER2",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"FAM103A1",32,26,0,5,5,0,15,1,7,1,1,6,40,21,13,232,26
"C15orf40",17,23,0,2,3,0,3,2,6,1,1,1,16,5,5,160,21
"BTBD1",16,19,0,1,3,1,3,0,3,0,0,1,10,8,5,91,14
"TM6SF1",22,0,0,0,1,0,0,0,0,0,0,1,0,12,0,2,7
"RP11-382A20.3",4,33,0,1,0,0,1,0,1,0,0,0,46,3,0,7,66
"BNC1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTSL3",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"UBE2Q2L",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0
"GOLGA6L4",0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,17,5
"RP11-182J1.17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN2",5,10,0,0,0,0,1,0,0,0,0,0,7,1,3,22,3
"RP11-182J1.3",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"WDR73",6,11,0,0,2,0,4,0,2,0,0,1,11,2,2,67,13
"NMB",15,20,0,0,3,1,4,1,0,0,2,1,8,4,4,132,5
"SEC11A",166,273,1,14,7,4,26,3,7,3,1,4,187,110,30,913,229
"ZNF592",6,12,0,0,0,0,1,0,0,0,0,1,9,6,3,61,7
"ALPK3",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
"PDE8A",20,8,0,0,1,0,1,1,1,1,0,0,32,10,1,76,32
"AKAP13",89,84,3,18,13,0,40,8,8,4,4,21,93,79,29,546,146
"RP11-815J21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-158M2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-158M2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"KLHL25",1,2,0,0,0,0,2,0,0,0,0,1,3,1,0,27,2
"NTRK3",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MRPL46",7,13,0,0,1,0,2,0,0,0,1,2,15,4,2,91,7
"MRPS11",35,66,0,3,6,0,6,1,1,1,0,1,59,12,10,373,55
"DET1",1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,9,3
"AEN",11,21,0,0,2,1,2,0,1,1,0,1,16,5,3,143,17
"ISG20",39,28,6,15,18,8,57,3,20,7,1,9,109,95,78,1139,50
"ACAN",0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,2,0
"HAPLN3",13,44,0,2,3,0,6,0,0,0,0,1,71,5,8,66,30
"MFGE8",14,375,0,0,1,0,2,0,1,1,0,0,424,2,5,404,32
"RP11-326A19.4",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-326A19.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD2",67,23,0,2,1,1,3,0,1,0,3,0,21,20,3,684,17
"FANCI",6,2,0,0,1,0,0,0,0,0,0,0,2,2,0,44,7
"POLG",18,17,0,0,2,1,4,0,1,2,0,0,20,6,4,111,6
"RP11-217B1.2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"MIR9-3HG",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RHCG",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"TICRR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"KIF7",0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"PEX11A",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,21,2
"MESP1",2,3,0,0,1,0,0,0,0,0,0,0,3,2,0,101,0
"ANPEP",119,47,1,2,0,0,1,0,0,0,0,0,19,158,1,892,6
"AP3S2",7,2,0,0,0,0,1,1,0,0,0,0,4,0,0,32,3
"ARPIN",22,13,0,0,0,0,0,0,0,0,0,0,18,6,1,83,10
"ZNF710",7,2,0,0,0,0,0,0,0,0,0,0,0,5,0,42,8
"RP11-617F23.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"IDH2",47,83,1,3,14,0,8,1,3,3,1,1,64,30,10,1576,71
"SEMA4B",7,6,0,0,0,0,0,0,1,0,0,0,9,4,1,316,2
"CIB1",202,155,11,26,30,1,79,8,40,10,6,7,179,227,45,3840,117
"GDPGP1",2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,16,1
"NGRN",1,3,0,0,1,0,0,0,0,0,0,0,6,0,0,33,8
"RP11-697E2.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ZNF774",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1
"IQGAP1",158,57,6,11,10,0,19,5,6,2,1,11,87,98,13,688,95
"CRTC3",17,28,2,0,1,0,4,0,2,0,0,1,21,11,8,89,18
"RP11-387D10.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"BLM",2,2,0,0,1,1,2,1,0,0,0,0,2,2,7,20,1
"FURIN",30,17,1,3,4,0,14,1,0,1,0,1,23,18,8,135,23
"FES",28,9,0,8,0,0,3,0,1,2,0,0,11,10,0,5,39
"MAN2A2",6,4,0,0,1,0,0,0,0,0,0,1,5,2,0,42,4
"HDDC3",6,7,0,0,1,0,2,0,0,0,0,0,11,5,2,173,15
"UNC45A",15,24,1,0,1,1,5,1,1,0,1,0,44,3,4,95,15
"RCCD1",5,5,0,0,0,0,0,0,0,0,0,0,13,0,0,57,2
"PRC1",6,6,1,0,1,0,0,0,0,0,0,0,11,1,0,50,17
"VPS33B",0,5,1,0,0,0,1,0,0,1,0,0,2,3,0,20,1
"AC068831.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLCO3A1",22,38,0,1,0,0,1,0,0,0,0,1,74,10,0,30,14
"ST8SIA2",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"LINC00930",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FAM174B",0,5,1,0,1,0,0,0,1,0,0,0,5,0,2,84,11
"CTD-2313J17.6",5,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2,0
"RP11-437B10.1",2,1,0,2,0,0,1,0,0,0,0,0,3,2,1,30,3
"CHD2",31,24,2,8,2,3,9,3,7,2,2,7,18,25,10,217,33
"RGMA",0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"LINC01579",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-76E17.3",5,0,0,1,0,0,2,0,0,0,0,2,0,12,0,1,0
"MCTP2",0,7,0,0,0,0,1,0,0,3,1,0,0,7,0,89,1
"RP11-255M2.3",4,5,0,0,0,1,1,0,1,1,0,1,11,4,2,83,7
"LINC01197",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,7
"CTD-2536I1.3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"LINC00924",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0
"NR2F2-AS1",0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1
"RP11-327J17.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR2F2",0,20,0,0,0,0,0,0,0,0,0,0,207,1,0,79,35
"RP11-262A16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP11-522B15.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CTD-2147F2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"LINC00923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARRDC4",18,8,0,0,0,0,0,0,0,0,1,0,19,4,0,323,3
"IGF1R",5,25,0,0,0,0,0,0,1,0,1,0,17,3,1,92,11
"PGPEP1L",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SYNM",0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7
"TTC23",2,6,0,0,0,0,0,0,0,0,0,0,8,0,0,13,8
"RP11-6O2.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LRRC28",10,13,2,2,12,1,3,0,1,0,0,0,15,2,2,64,15
"RP11-20G13.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-20G13.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEF2A",40,25,0,2,2,1,1,1,1,1,0,1,13,19,1,104,70
"LYSMD4",2,1,0,0,0,0,0,0,0,0,0,0,5,3,0,25,1
"CTD-2054N24.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ADAMTS17",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
"RP11-90E5.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA41",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-526I2.5",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,4,0
"LINS1",4,3,0,0,1,0,6,0,1,1,0,1,5,3,5,37,8
"ASB7",1,3,0,1,0,0,1,0,0,0,0,0,6,1,1,47,4
"RP11-66B24.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALDH1A3",0,4,0,0,0,0,0,0,0,0,0,0,7,1,0,31,1
"RP11-66B24.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"LRRK1",11,7,0,1,0,0,0,0,1,0,0,2,3,3,0,55,8
"RP11-505E24.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-424I19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHSY1",21,33,0,0,0,0,0,1,0,0,0,0,64,15,0,39,24
"VIMP",104,263,2,6,9,0,14,5,6,1,1,22,188,46,14,1408,131
"SNRPA1",35,38,4,3,8,3,12,0,3,2,2,3,54,11,14,352,52
"RP11-299G20.2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"PCSK6",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
"TM2D3",19,31,0,0,8,2,14,0,4,0,0,1,40,14,17,115,43
"TARSL2",5,23,1,0,3,0,2,1,0,2,0,2,13,1,4,78,5
"RP11-89K11.1",0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
"AC140725.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"POLR3K",16,21,0,0,0,1,3,0,0,0,0,0,15,3,6,169,30
"SNRNP25",42,31,1,3,4,1,2,1,3,3,0,9,20,11,5,238,27
"RHBDF1",1,15,0,0,0,0,0,0,0,0,0,0,21,1,1,134,17
"MPG",39,156,1,5,6,0,11,2,3,2,0,3,158,27,14,665,73
"NPRL3",6,9,0,0,1,0,4,0,0,0,0,0,13,0,0,71,14
"HBA2",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,2
"HBA1",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,53,1
"LA16c-OS12.2",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"LUC7L",17,29,1,0,5,1,3,0,5,2,0,2,36,14,2,151,46
"FAM234A",16,53,0,1,0,0,0,0,0,1,0,0,35,7,0,149,23
"AC004754.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"RGS11",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"ARHGDIG",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
"PDIA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"AXIN1",4,7,0,0,2,1,0,0,0,1,0,2,3,3,0,84,11
"MRPL28",50,65,0,7,6,1,11,1,1,0,0,6,76,18,15,382,65
"TMEM8A",12,16,0,1,0,0,1,0,1,0,0,0,17,9,1,187,20
"NME4",26,244,0,2,0,0,0,1,0,1,0,0,116,9,0,339,106
"DECR2",4,11,0,1,0,0,0,0,0,0,0,0,7,2,0,162,12
"LA16c-359F1.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB11FIP3",1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,39,10
"LINC00235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAPN15",5,4,0,0,0,0,1,0,2,0,0,0,3,5,2,158,9
"PRR35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PIGQ",9,9,0,0,1,0,1,1,1,0,0,1,15,5,0,88,8
"NHLRC4",1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"RAB40C",3,6,0,1,0,0,2,0,0,0,0,0,6,0,2,72,4
"WFIKKN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"C16orf13",65,119,1,3,5,0,17,1,2,2,0,1,90,46,15,851,98
"FAM195A",51,20,0,1,1,1,3,1,2,1,0,0,14,20,2,650,8
"MSLN",5,2,0,0,0,0,1,1,0,0,0,0,4,6,2,762,3
"AL022341.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
"WDR90",0,2,0,0,0,0,0,0,0,0,1,1,5,0,0,40,2
"RHOT2",11,31,2,3,2,0,9,2,2,0,0,3,30,13,6,192,27
"RHBDL1",1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,14,0
"STUB1",56,129,0,3,7,2,18,1,9,0,0,5,94,29,14,706,79
"JMJD8",7,28,1,0,0,0,4,0,0,0,0,0,21,4,0,149,28
"WDR24",0,6,0,0,2,0,1,0,0,0,0,0,5,1,0,181,5
"FBXL16",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0
"METRN",5,34,0,1,0,0,1,0,0,0,0,0,21,3,0,300,20
"FAM173A",39,77,3,4,4,0,5,1,0,0,0,3,56,20,11,504,33
"CCDC78",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"HAGHL",26,20,1,0,1,0,0,0,0,0,0,0,13,5,0,115,4
