"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RPS19",4917,9720,616,1176,117,1133,374,166,642,2991,1356,509,168,1769,496,582,732,1462,4366,2527,7475,4288
"CD79A",2,3,0,0,0,0,0,0,114,2,0,0,30,1,1,0,1,0,2,6,2,3
"ARHGEF1",46,44,22,13,3,30,9,3,2,56,43,4,0,21,12,11,1,13,24,39,49,61
"RABAC1",206,1220,44,19,4,76,20,11,6,92,61,67,4,30,21,23,27,129,142,73,386,296
"ATP1A3",2,1,2,0,1,2,2,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1
"GRIK5",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ZNF574",0,14,1,0,0,3,1,0,0,3,1,0,0,2,0,2,2,3,0,6,3,13
"POU2F2",25,26,1,1,0,1,2,0,12,8,0,1,2,3,0,2,2,1,15,15,2,4
"CTC-378H22.2",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"DEDD2",55,42,10,4,2,10,9,0,2,23,4,3,3,9,3,4,11,7,48,18,75,25
"ZNF526",1,8,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,2,3,7,4
"GSK3A",19,37,0,2,0,3,0,0,1,5,3,1,0,2,0,1,2,8,9,10,45,26
"ERF",14,43,0,5,1,3,0,1,2,5,5,6,0,4,1,2,0,12,11,3,35,46
"CIC",12,26,0,1,1,1,0,1,1,4,2,0,0,3,3,2,1,7,5,1,13,24
"PAFAH1B3",27,35,4,3,1,1,0,0,2,8,0,9,0,4,1,3,5,4,21,4,98,37
"PRR19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"TMEM145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGF8",5,22,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1,0,4,13
"CNFN",8,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,69,3
"LIPE-AS1",11,5,1,1,0,1,0,0,0,0,2,0,0,1,2,0,2,1,10,1,11,13
"LIPE",0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,3,3
"CEACAM1",1,2,1,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,4,142,3
"CTC-490G23.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CD177",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
"LYPD3",29,7,1,45,0,1,1,0,0,4,4,0,0,4,0,0,2,2,86,4,17,1
"PHLDB3",5,16,0,10,0,0,2,0,1,8,3,1,0,4,1,0,1,4,10,9,12,1
"ETHE1",107,144,5,28,0,6,3,2,2,23,15,11,0,10,4,3,4,20,104,25,173,67
"ZNF575",1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,2
"XRCC1",8,21,1,2,0,2,0,0,0,3,2,2,0,2,0,1,0,3,7,5,14,17
"PINLYP",2,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,1,3
"IRGQ",15,15,0,1,0,3,0,0,0,1,0,0,0,1,1,1,0,4,23,1,16,23
"ZNF576",7,16,0,0,0,2,0,1,0,5,1,3,0,1,0,0,1,1,2,10,23,10
"ZNF428",70,262,6,10,0,18,3,3,2,21,18,17,1,12,4,4,9,46,43,24,52,95
"CADM4",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,0
"PLAUR",1841,508,2,291,1,6,2,1,2,27,15,13,2,9,7,1,25,35,2980,26,630,73
"SMG9",11,37,0,3,0,2,0,0,0,1,4,11,0,1,2,3,0,3,26,2,7,13
"KCNN4",38,11,4,4,0,2,0,0,3,3,3,0,0,3,0,3,0,1,42,11,75,0
"LYPD5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"ZNF283",2,4,0,1,0,1,1,0,0,1,3,1,0,0,0,2,0,1,3,1,4,0
"ZNF404",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"RP11-15A1.3",0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0
"ZNF45",2,3,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,2,1,0,4,2
"ZNF221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"ZNF155",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"RP11-15A1.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ZNF230",1,3,1,1,0,1,0,0,2,4,2,0,0,0,1,0,0,0,4,4,4,5
"ZNF222",0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,4,1,5
"ZNF223",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
"ZNF284",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
"ZNF224",1,7,3,2,1,2,2,0,0,2,2,1,0,1,0,3,2,5,6,5,16,9
"AC084219.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF225",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
"ZNF234",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"ZNF226",16,15,2,1,1,1,0,1,0,5,3,3,2,1,0,1,1,3,4,7,9,19
"ZNF227",2,4,0,0,0,1,0,0,1,2,1,0,0,1,0,1,0,4,2,6,2,6
"ZNF235",0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
"ZNF112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ZNF285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ZNF229",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ZNF180",0,5,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,4,0,4
"CTB-171A8.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PVR",8,16,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,13,0,12,19
"CEACAM19",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
"BCL3",44,60,3,22,2,7,1,2,3,11,9,7,2,8,2,2,8,14,66,19,78,75
"CBLC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
"BCAM",3,17,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,47,4,1,12,249
"PVRL2",93,210,0,41,0,0,1,0,1,1,0,9,0,1,0,1,2,53,91,0,233,216
"CTB-129P6.4",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"TOMM40",30,85,1,12,0,7,1,1,3,15,12,3,2,12,2,1,3,12,18,19,71,32
"APOE",7526,520,7,9,0,5,3,3,1,13,9,8,1,10,11,5,2,100,101,17,74,70
"APOC1",6447,77,1,4,1,6,3,3,0,14,1,3,2,5,6,1,8,9,103,14,60,26
"APOC4-APOC2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APOC2",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTB-129P6.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CLPTM1",42,100,5,6,2,7,2,1,1,8,6,6,1,7,4,4,13,19,18,18,50,43
"RELB",59,111,18,21,1,15,10,3,12,60,32,13,1,22,14,4,17,14,104,76,62,64
"CLASRP",15,30,1,2,1,3,1,0,2,12,2,3,0,3,1,1,0,6,17,4,26,19
"ZNF296",6,3,5,0,0,0,2,0,2,2,2,0,1,0,3,2,5,1,1,1,7,1
"CTB-179K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"GEMIN7",17,46,1,3,1,2,1,0,4,11,2,2,1,4,1,0,2,6,14,19,28,21
"MARK4",3,29,0,2,0,2,2,0,0,2,0,0,0,0,0,1,0,1,4,3,5,18
"PPP1R37",12,25,1,0,0,2,1,0,2,2,0,5,1,2,0,2,0,3,3,2,15,10
"AC005757.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TRAPPC6A",64,38,4,18,0,9,3,0,4,29,16,0,2,15,3,6,7,8,53,37,64,39
"BLOC1S3",6,9,0,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0,7,5,15,3
"EXOC3L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
"CKM",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"KLC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"ERCC2",4,20,0,1,0,1,0,0,0,1,1,3,1,0,0,0,0,0,3,0,6,7
"PPP1R13L",3,28,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,0,57,13
"CD3EAP",3,14,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,4,0,1,30,6
"ERCC1",80,140,4,8,0,10,2,3,9,13,7,8,2,1,1,3,15,24,89,17,56,34
"FOSB",1294,2153,26,116,4,25,12,5,26,66,39,299,8,31,15,16,70,462,742,56,392,801
"RTN2",12,21,0,0,0,0,0,0,0,1,1,4,0,0,0,1,2,11,8,0,21,12
"PPM1N",24,13,3,2,0,1,1,0,0,5,1,5,0,0,0,1,0,1,14,3,7,3
"VASP",210,155,9,101,2,13,4,6,19,30,17,25,0,17,8,5,4,49,231,36,216,96
"OPA3",21,10,1,3,1,5,1,2,1,6,3,2,0,2,1,0,5,6,11,5,18,16
"GPR4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,55
"EML2",11,16,3,3,0,5,0,3,3,7,7,3,0,2,1,2,2,7,10,23,40,14
"GIPR",2,1,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,5,0,4,0
"SNRPD2",299,651,48,61,9,85,24,8,38,146,98,37,8,80,33,26,41,98,252,161,459,277
