"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CARNS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RPS6KB2",24,85,1,12,0,1,0,2,6,7,1,2,1,13,0,1,9,23,15,14,434,10
"AP003419.16",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0
"CORO1B",105,208,3,23,3,3,0,3,6,17,9,3,0,27,0,6,8,42,23,71,685,23
"PTPRCAP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CABP4",1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,0
"TMEM134",45,173,2,9,0,0,1,2,5,3,5,0,1,11,1,2,4,18,13,20,771,13
"AIP",29,196,4,10,1,2,2,2,5,3,6,3,1,4,0,3,4,30,5,15,207,22
"PITPNM1",15,17,0,2,0,0,0,0,1,0,2,0,0,0,0,0,2,3,2,2,96,3
"CDK2AP2",36,178,0,12,2,1,1,1,4,9,7,3,0,13,3,3,20,30,13,17,431,18
"GSTP1",563,2471,9,166,6,9,6,17,21,37,24,32,9,38,17,13,55,326,278,48,9054,119
"C11orf72",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"NDUFV1",66,245,0,25,1,1,1,1,2,7,4,0,0,7,0,1,7,48,29,8,404,25
"NUDT8",4,48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,152,3
"ACY3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
"ALDH3B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"RP11-119D9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"RP5-903G2.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"UNC93B1",61,53,1,4,0,0,0,3,1,0,0,0,0,0,0,0,9,4,10,3,327,4
"ALDH3B1",17,32,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,2,64,0
"RP5-901A4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NDUFS8",151,581,2,35,3,1,5,9,6,18,7,8,4,19,5,1,18,71,50,33,956,41
"TCIRG1",79,104,1,14,0,3,5,1,1,2,3,1,1,10,6,1,6,17,39,8,103,18
"RP11-802E16.3",1,6,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3,0,3,0
"CHKA",16,21,2,2,0,0,1,4,2,0,1,0,1,2,4,2,0,4,2,4,65,5
"KMT5B",6,63,0,3,1,1,0,1,2,4,2,0,0,5,0,0,2,10,7,5,204,13
"C11orf24",14,119,1,3,0,0,0,0,1,1,0,0,0,0,0,0,4,14,5,2,531,2
"LRP5",2,33,0,2,0,1,1,0,0,0,1,0,0,0,1,0,1,2,3,2,414,3
"PPP6R3",26,63,0,7,0,2,0,0,1,3,4,1,0,5,0,1,0,11,7,5,178,15
"GAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
"MTL5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"CPT1A",7,19,0,0,0,0,0,0,1,2,5,0,0,0,0,1,2,3,4,5,34,5
"RP11-757G1.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MRPL21",26,143,2,9,0,2,0,0,3,7,1,1,0,5,0,3,8,25,11,15,306,9
"IGHMBP2",6,12,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,39,2
"MRGPRF",0,116,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,3,0
"MRGPRF-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPCN2",4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,12,4
"MYEOV",2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0
"AP000439.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CCND1",13,328,0,1,0,0,0,0,1,4,0,3,0,1,0,1,6,28,2,1,2117,42
"ORAOV1",0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,39,1
"RP11-643C9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-626H12.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"ANO1",1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,226,0
"FADD",8,45,0,0,0,0,0,1,0,1,0,2,1,2,1,0,0,4,1,4,106,1
"PPFIA1",17,71,2,1,0,1,0,0,1,2,0,1,1,0,0,1,1,11,5,1,173,2
"AP000487.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AP000487.5",0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,13,0
"CTTN",6,500,0,1,0,0,0,0,1,0,1,11,0,0,0,0,0,53,5,1,756,48
"SHANK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
"SHANK2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHANK2-AS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DHCR7",7,21,0,1,0,1,0,0,0,3,1,1,0,4,1,1,1,1,2,5,171,4
"RP11-660L16.2",2,8,0,0,0,1,0,0,1,6,1,1,0,14,0,0,1,0,1,12,34,2
"NADSYN1",10,43,0,3,0,1,2,1,1,1,1,0,0,4,1,1,0,4,4,4,68,2
"RP11-167J8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAM86C1",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1
"RP11-849H4.2",1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0
"RNF121",8,83,0,1,0,0,0,0,0,2,0,1,0,1,0,0,3,5,2,2,48,1
"IL18BP",11,6,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6,1,1,7
"NUMA1",28,76,1,4,1,1,0,0,2,4,1,2,0,4,0,0,3,7,9,2,165,12
"RP11-849H4.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0
"LRTOMT",2,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,1
"LAMTOR1",158,570,0,40,1,2,0,4,9,8,10,7,5,11,4,1,13,86,63,30,827,39
"ANAPC15",31,131,0,10,1,1,0,2,2,1,3,1,1,5,2,0,4,19,18,10,315,9
"FOLR3",15,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,2,0
"FOLR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FOLR2",244,2,0,4,0,0,0,0,6,0,0,0,0,0,0,1,0,1,12,1,7,0
"INPPL1",15,53,0,4,0,0,0,1,0,0,1,1,0,0,0,1,1,5,3,3,95,5
"CLPB",4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,14,5
"LINC01537",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDE2A",4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"RP11-169D4.2",2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0
"ARAP1",39,72,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,5,8,4,39,0
"ARAP1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STARD10",17,89,1,6,1,1,2,0,1,2,2,1,1,1,1,0,0,6,4,5,1768,7
