"","Anti-inflammatory macro/mono","CAFs","CXCL13+ CD8 Tcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"LINC01502",0,0,0,0,0,0,0,0,0,1,0
"CAMSAP1",2,0,0,1,0,0,0,1,0,1415,0
"RP11-432J22.2",0,1,0,0,0,0,0,0,0,6,0
"UBAC1",4,2,0,0,0,0,0,0,1,2249,1
"NACC2",1,0,0,0,0,0,0,0,0,516,2
"RP11-83N9.5",0,0,0,0,0,0,0,0,0,13,0
"C9orf69",1,2,0,0,1,0,0,0,0,696,1
"RP11-83N9.6",0,0,0,0,0,0,0,0,0,7,0
"QSOX2",0,2,0,0,0,1,0,0,0,492,1
"CCDC187",0,0,0,0,0,0,0,0,0,16,0
"GPSM1",0,2,0,0,0,0,0,0,0,43,1
"DNLZ",0,0,1,0,0,0,0,0,0,40,0
"CARD9",2,0,0,0,0,0,0,0,2,93,0
"SNAPC4",0,1,0,0,0,1,0,0,1,400,0
"SDCCAG3",2,1,0,3,1,0,1,0,1,1859,0
"PMPCA",1,2,1,1,0,1,0,1,2,1764,0
"INPP5E",0,0,0,0,0,1,0,0,1,240,1
"SEC16A",1,3,0,0,0,0,0,0,0,1421,2
"C9orf163",0,0,0,0,0,0,0,0,0,27,0
"NOTCH1",1,1,1,0,1,1,0,0,0,1049,2
"NALT1",0,0,0,0,0,0,0,0,0,5,1
"LINC01451",0,0,0,0,0,0,0,0,0,1,0
"RP11-251M1.1",1,0,0,0,0,0,0,0,0,8,0
"EGFL7",2,0,0,0,0,0,0,0,0,1147,10
"AGPAT2",10,16,1,6,3,0,0,0,1,21216,3
"FAM69B",0,0,0,0,0,0,0,0,0,0,1
"SNHG7",12,17,1,5,3,4,1,1,6,13900,13
"LCN8",0,0,0,0,0,0,0,0,0,125,0
"LCN15",0,0,0,0,0,0,0,0,0,171,0
"TMEM141",4,9,1,3,2,0,1,0,2,7768,3
"CCDC183",0,0,0,0,0,0,0,0,0,484,0
"CCDC183-AS1",0,0,0,0,0,0,0,0,0,9,0
"RABL6",5,7,0,1,2,2,0,2,0,5236,2
"C9orf172",0,0,0,0,0,0,0,0,0,350,0
"PHPT1",26,50,2,10,10,7,0,8,10,16241,8
"MAMDC4",0,2,1,0,0,0,0,0,0,345,0
"EDF1",51,79,9,45,16,23,4,11,30,26273,25
"TRAF2",0,1,0,4,1,1,0,0,3,477,0
"FBXW5",11,9,1,4,2,3,1,1,7,5804,5
"C8G",0,0,0,0,0,0,0,0,0,23,0
"LCN12",0,0,0,0,0,1,0,0,0,148,0
"PTGDS",0,1,0,1,0,0,0,0,0,6,0
"C9orf142",9,12,5,16,10,4,0,0,5,3499,2
"CLIC3",3,2,0,0,3,0,1,0,0,2635,0
"ABCA2",0,2,1,0,0,0,0,0,0,741,1
"C9orf139",0,0,0,1,0,0,0,0,0,3,0
"FUT7",0,0,0,0,0,0,0,0,1,4,0
"NPDC1",8,3,1,3,1,2,1,0,6,18325,42
"ENTPD2",0,0,0,0,0,0,0,0,0,2015,0
"RP11-229P13.15",0,0,0,0,0,0,0,0,0,1,0
"RP11-229P13.22",0,0,0,0,0,0,0,0,0,2,0
"SAPCD2",2,0,0,1,0,0,0,0,0,1854,0
"UAP1L1",1,0,0,0,0,0,0,0,0,179,0
"MAN1B1-AS1",0,0,0,0,0,0,0,0,1,298,0
"MAN1B1",2,9,0,3,2,1,0,0,4,1410,3
"DPP7",33,21,1,12,3,6,1,1,12,6559,4
"GRIN1",0,0,0,0,0,0,0,0,0,19,0
"LRRC26",0,0,0,0,0,0,0,0,0,561,0
"TMEM210",0,0,0,0,0,0,0,0,0,35,0
"ANAPC2",2,3,0,2,0,1,0,0,0,539,1
"SSNA1",10,9,2,9,5,2,2,2,8,6614,6
"TPRN",0,0,0,0,0,0,0,0,0,1153,0
"TMEM203",3,4,0,1,2,1,0,0,3,1059,0
"NDOR1",0,0,0,0,0,0,0,0,0,32,0
"RNF208",0,0,0,1,0,0,0,0,0,492,0
"CYSRT1",0,0,0,0,0,0,0,0,0,85,0
"RNF224",0,0,0,0,0,0,0,0,0,10,0
"SLC34A3",0,0,0,0,0,0,0,0,0,2,0
"TUBB4B",20,14,1,10,6,7,5,1,11,10570,6
"FAM166A",0,0,0,0,0,0,0,0,0,4,0
"C9orf173-AS1",0,0,0,0,0,0,0,0,0,10,0
"NELFB",1,2,0,3,1,1,1,0,0,1672,0
"TOR4A",2,0,0,2,0,0,0,0,1,1245,0
"NRARP",0,0,0,0,0,0,0,0,0,974,3
"EXD3",0,0,0,0,1,0,0,1,0,990,0
"NOXA1",1,1,0,0,0,0,0,0,0,469,0
"ENTPD8",0,0,0,0,0,0,0,0,0,228,0
"NSMF",2,4,0,0,0,1,0,0,0,1932,2
"PNPLA7",0,0,0,0,0,0,0,0,0,43,0
"MRPL41",26,19,2,16,8,6,1,1,16,14477,6
"DPH7",2,2,0,0,1,1,1,0,2,797,0
"ZMYND19",0,0,0,0,0,1,0,0,0,770,0
"ARRDC1",2,0,2,5,1,0,1,1,3,3074,2
"ARRDC1-AS1",6,1,0,1,0,1,0,0,1,402,1
"EHMT1",3,3,0,0,0,3,0,1,3,1248,1
"CACNA1B",0,0,0,0,0,0,0,0,0,4,0
"FAM157B",0,0,0,0,0,0,0,0,0,1,0
"LINC01001",2,0,0,0,0,0,0,0,0,183,0
"BET1L",2,4,0,2,1,0,0,0,0,400,0
"RP11-304M2.5",0,0,0,0,0,0,0,0,0,1,0
"RIC8A",6,8,0,4,2,2,0,2,7,1053,1
"SIRT3",1,0,0,0,0,1,0,0,1,280,0
"PSMD13",6,11,0,4,0,1,0,1,4,2288,5
"RP11-326C3.2",0,0,0,0,0,0,0,0,0,0,0
"ATHL1",1,1,0,1,2,0,1,0,1,100,2
"IFITM2",3,114,16,35,30,27,11,13,38,888,33
"IFITM1",0,15,0,4,0,3,0,0,6,435,1
"RP11-326C3.11",2,0,0,1,1,0,0,0,1,42,0
"IFITM3",22,295,0,3,2,1,0,14,2,11641,74
"RP11-326C3.12",0,0,0,0,0,0,0,0,0,3,0
"B4GALNT4",0,0,0,0,0,0,0,0,0,465,0
"PKP3",0,2,0,0,0,0,0,0,0,5255,0
"SIGIRR",4,10,3,12,6,2,4,0,9,2998,9
"ANO9",1,0,0,0,0,0,1,0,1,499,0
"PTDSS2",0,2,0,3,1,0,0,0,0,704,1
"RP13-317D12.3",0,0,0,0,0,0,0,0,0,6,0
"RNH1",33,16,3,9,2,3,1,3,8,3624,8
"HRAS",1,5,0,3,0,0,0,0,3,1834,8
"LRRC56",0,1,0,0,0,0,0,0,0,74,0
"LMNTD2",0,0,0,0,0,0,0,0,0,168,0
"RP11-496I9.1",0,0,0,0,0,0,0,0,0,34,0
