"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"LINC00936",19,17,1,5,0,0,0,2,0,3,2,1,32,10,2,8,16,0,3,0,11,2,35,1,24,31,11
"EPYC",0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"KERA",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUM",11,6775,4,4,4,0,0,1,1261,2,0,1,18,11,3,5,9,1,3,2,503,4,5,2,15,100,77
"DCN",7,3244,2,3,1,2,1,6,1261,2,1,0,7,4,4,2,10,3,2,0,143,3,2,0,11,53,35
"RP11-121E16.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-587P21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BTG1",418,410,118,130,422,112,135,61,154,487,93,123,1115,1556,333,320,935,39,208,11,438,40,271,74,2369,1820,679
"RP11-796E2.4",5,0,2,1,3,0,0,0,0,5,0,2,13,21,3,2,9,0,0,0,0,1,1,3,16,16,2
"RP11-756G20.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CLLU1OS",6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CLLU1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-693J15.5",1,0,0,0,0,0,0,0,1,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3,0
"C12orf74",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHG7",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"EEA1",7,24,1,1,1,0,0,4,9,2,0,0,8,3,1,0,5,0,0,0,25,0,0,0,6,105,24
"RP11-511B23.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-511B23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"RP11-202G11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"NUDT4",36,99,7,8,16,4,7,28,31,20,2,3,103,52,12,25,46,3,6,0,101,6,9,0,100,727,273
"UBE2N",50,94,8,13,27,6,3,6,24,27,4,5,133,98,21,17,38,2,8,3,85,9,15,6,148,523,102
"MRPL42",15,56,6,3,3,1,1,8,5,8,1,1,23,16,10,5,8,1,4,2,35,4,6,1,31,410,62
"SOCS2",6,12,0,1,1,0,0,5,1,3,0,1,2,13,1,0,11,0,2,0,42,1,0,1,10,14,67
"CRADD",13,16,0,3,9,0,0,0,3,21,0,7,6,24,0,0,2,0,0,1,13,2,11,1,68,41,16
