"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CA4",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"USP32",6,0,0,0,1,1,3,0,0,0,0,3,5,234,0
"APPBP2",1,0,0,0,1,0,1,0,0,0,0,1,0,349,1
"RP11-15E18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PPM1D",0,0,3,1,2,0,7,0,0,0,0,3,2,216,0
"BCAS3",1,0,1,0,0,0,0,0,0,0,0,0,5,56,1
"TBX2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TBX2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C17orf82",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"NACA2",1,0,4,0,1,1,3,0,1,0,0,1,2,479,1
"BRIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
"INTS2",0,0,0,0,0,0,1,0,0,0,0,0,0,206,1
"MED13",9,0,2,1,3,0,2,1,0,0,0,4,3,768,1
"EFCAB3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"METTL2A",0,0,4,0,0,0,3,0,0,0,0,0,0,498,0
"TLK2",3,0,3,0,1,1,7,1,0,0,0,0,1,324,0
"CTD-3035K23.6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MRC2",0,0,0,0,0,0,1,0,0,0,0,0,0,15,0
"MARCH10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TANC2",3,0,0,0,0,0,0,0,0,0,0,0,0,12,2
"CYB561",0,0,0,0,0,0,1,0,0,0,0,1,1,994,1
"ACE",0,0,0,0,0,0,0,0,0,0,0,0,0,179,2
"CTD-2501B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KCNH6",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"DCAF7",8,2,3,3,1,0,5,2,6,0,1,2,3,1198,2
"TACO1",3,1,0,0,2,1,7,1,3,0,0,0,3,821,0
"MAP3K3",1,0,2,0,2,0,1,0,1,0,0,1,1,92,2
"LIMD2",5,5,32,12,48,13,94,21,19,2,4,5,55,45,1
"STRADA",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"CCDC47",12,0,4,0,2,1,3,1,1,1,0,1,1,1870,3
"DDX42",5,0,0,1,1,0,2,0,1,0,1,0,4,859,2
"FTSJ3",6,0,1,0,1,0,3,0,0,0,0,0,1,469,0
