"","GSM2859413","GSM2859441","GSM2859470","GSM2859499","GSM3109311","GSM3109312","GSM3109313","GSM3109314","GSM3109315","GSM3319754","GSM3319755","GSM3319793","GSM3319794","GSM3319828","GSM3319829","GSM3319863","GSM3319864"
"54675",1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"10559",0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
"55907",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"8034",1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"8824",0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1
"51805",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
"51004",1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0
"10229",0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1
"2650",0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1
"9245",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"51301",0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"192134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
