"","GSM1209577","GSM1209578","GSM1209579","GSM1209580","GSM2257343","GSM2257344","GSM2460435","GSM2460439","GSM2460443","GSM2460447","GSM2460451","GSM2460455","GSM2607426","GSM2607427","GSM2607428","GSM2607429","GSM2607430","GSM2607431"
"6511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90423",1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
"528",0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1
"525",1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"245973",1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"9114",1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"23545",0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
"527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"523",1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0
"956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955",0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"953",0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
"954",1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1
"377841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
