"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"570",0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
"3141",0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
"54187",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140679",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26503",1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"54",1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51205",0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140838",1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"622",0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0
"36",0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1
"34",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"84129",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80724",1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1
"635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27034",0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28976",0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"1244",1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1
"35",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1
"3712",0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8714",1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1468",1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
