"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"HERC3",30,22,0,2,3,0,0,0,1,2,0,0,1,1,0,2,5,8,102,8,7
"NAP1L5",1,9,0,0,15,1,1,0,1,1,0,0,0,0,0,5,0,1,18,10,3
"FAM13A-AS1",3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,1,0
"FAM13A",23,79,0,2,15,0,0,1,0,0,0,0,5,0,0,3,4,0,187,3,9
"TIGD2",3,6,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,36,1,0
"RP11-84C13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GPRIN3",132,5,1,3,0,1,1,0,0,14,2,0,2,5,0,9,13,22,21,17,1
"RP11-115D19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"SNCA",105,9,1,3,13,1,0,20,0,0,0,0,1,0,1,0,13,0,4,16,0
"RP11-115D19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MMRN1",1,1,0,0,1,0,0,98,0,1,0,0,0,0,0,0,0,0,4,21,0
"CCSER1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,1
"GRID2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ATOH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0
"SMARCAD1",19,45,0,0,4,1,1,4,0,3,0,0,0,0,0,8,1,3,123,13,1
"HPGDS",40,0,0,5,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0
"PDLIM5",79,336,0,4,22,1,2,7,0,7,0,6,0,2,8,102,18,5,887,162,57
"BMPR1B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMPR1B",0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"UNC5C",3,13,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,1
"RP11-710C12.1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2
"STPG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-323J4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"RAP1GDS1",34,44,1,1,6,1,1,0,0,7,2,3,2,0,1,9,12,16,164,29,2
"TSPAN5",11,114,0,0,3,1,1,13,0,9,2,0,1,3,0,2,0,25,220,11,0
"RP11-1299A16.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"EIF4E",144,226,2,9,29,3,4,9,2,18,3,1,6,7,6,33,44,37,804,60,18
"METAP1",28,65,0,1,6,2,0,4,1,6,1,0,0,2,1,12,9,6,206,22,5
"RP11-571L19.8",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ADH5",79,449,0,5,66,1,2,8,3,17,1,5,2,6,4,70,12,25,764,53,37
"RP11-696N14.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,114,0,0
"ADH1B",2,47,0,0,282,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3,1
"ADH1C",0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TRMT10A",9,18,0,0,3,0,1,0,1,1,0,0,0,0,1,6,3,2,151,6,3
"MTTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"DAPP1",47,1,0,7,0,0,0,0,0,5,0,0,0,1,0,0,11,8,122,0,0
"LAMTOR3",82,113,1,2,16,1,0,4,0,12,1,1,0,1,1,18,19,15,415,19,8
"DNAJB14",63,110,0,1,17,1,1,3,2,17,0,1,1,4,2,23,11,25,266,53,8
"H2AFZ",483,1079,4,12,108,2,11,30,10,93,15,10,23,22,44,152,124,132,4686,405,68
"DDIT4L",4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,2
"EMCN",0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,1,0,1,5,223,0
"PPP3CA",72,153,0,5,36,3,4,8,2,26,3,2,3,5,2,11,30,18,379,66,5
"FLJ20021",9,51,0,0,7,0,0,1,1,3,0,1,0,0,1,3,3,4,200,12,1
"BANK1",9,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,0
"SLC39A8",65,111,0,3,9,0,1,0,0,7,1,1,1,0,1,2,27,4,110,7,1
"RP11-499E18.1",1,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0
"AF213884.2",4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,8,0,0
"NFKB1",70,94,0,1,15,0,0,5,0,8,7,1,2,2,0,9,33,4,232,35,4
"MANBA",71,60,0,0,8,2,0,0,1,3,0,0,2,0,1,5,11,3,96,9,2
"UBE2D3",545,1109,5,40,137,9,18,33,6,114,32,8,30,24,17,117,171,144,2768,265,68
"RP11-10L12.4",2,14,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,2,52,2,1
"CISD2",213,300,0,8,30,0,5,3,1,13,3,0,3,1,19,25,45,32,1058,48,9
"SLC9B1",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1
"SLC9B2",3,23,0,0,4,0,0,0,0,1,0,0,0,0,0,1,2,1,32,9,0
"BDH2",30,185,0,1,52,1,1,4,0,4,1,2,1,2,1,24,5,10,66,33,10
"CENPE",6,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,133,6,1
"RP11-297P16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-297P16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RP11-703G6.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"CXXC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0
"AC004069.2",13,4,0,3,0,0,0,1,0,2,0,0,0,1,0,4,0,0,4,2,0
"TET2",75,26,0,8,2,1,0,0,0,4,3,1,0,1,1,5,43,10,125,9,0
"TET2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PPA2",100,206,0,6,25,1,0,7,2,7,3,1,3,4,20,27,24,21,877,35,18
"AC004066.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ARHGEF38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0,0
"INTS12",19,54,1,1,6,0,0,0,0,3,2,1,0,0,0,7,2,2,114,14,3
"GSTCD",9,12,0,0,2,0,0,1,0,2,0,1,0,0,0,3,0,1,46,4,0
"NPNT",0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,13,10,6
"RP11-710F7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TBCK",9,34,0,0,6,0,0,1,0,3,0,0,0,0,0,4,0,2,42,8,5
"AIMP1",139,310,5,13,43,0,4,7,2,18,4,2,6,3,10,43,25,50,1497,86,21
"DKK2",0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0
"PAPSS1",195,183,1,0,21,0,1,5,0,7,1,1,0,1,0,15,30,9,262,36,11
"SGMS2",29,87,0,0,11,0,0,0,0,1,0,0,0,0,0,7,16,2,255,0,0
"RP11-286E11.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"CYP2U1",6,33,0,1,4,0,0,2,0,0,1,0,0,0,0,4,2,0,8,4,4
"RP11-286E11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HADH",31,103,0,3,16,0,2,1,0,6,1,2,1,1,2,14,3,9,384,17,19
"LEF1",2,86,0,0,0,0,0,0,0,7,1,0,5,2,0,1,0,8,11,35,0
"RPL34-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RPL34",3853,14477,111,259,2190,146,165,387,243,1488,333,177,498,361,527,1544,1268,1816,27339,3339,898
"OSTC",220,1747,2,6,148,1,7,20,4,30,8,5,9,11,50,119,40,33,1922,175,26
"COL25A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SEC24B-AS1",2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,17,4,1
"SEC24B",45,47,0,1,4,0,0,3,0,3,0,0,1,0,0,6,3,4,133,17,1
"CCDC109B",104,150,2,9,43,1,5,5,0,23,4,0,8,8,5,3,40,27,121,18,0
"CASP6",16,41,0,2,5,0,0,4,2,5,2,0,1,3,0,10,0,13,263,14,4
"AC004067.5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLA2G12A",27,139,0,0,16,0,1,1,0,1,0,0,3,2,1,21,4,7,333,13,16
"CFI",2,126,0,0,74,0,1,13,0,0,0,0,0,0,0,19,0,3,23,58,0
"RP11-602N24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GAR1",31,128,0,0,8,0,1,5,2,3,1,1,1,3,2,16,4,6,401,26,5
"LRIT3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ELOVL6",3,35,0,1,0,0,1,1,0,16,0,0,1,3,2,4,3,0,275,1,1
"ENPEP",0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,3,0,5
"RP11-380D23.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PITX2",1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"C4orf32",34,20,0,1,3,0,3,4,0,17,0,0,4,2,0,14,11,2,117,42,5
"RP11-73K9.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1
"AP1AR",24,19,1,0,3,0,2,1,0,1,0,0,0,0,3,3,6,1,200,13,3
"RP11-73K9.3",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"TIFA",13,38,0,3,5,0,7,1,0,23,2,0,1,0,1,0,6,17,42,11,3
"ALPK1",20,23,1,0,5,0,0,1,0,1,0,0,1,0,0,4,2,0,72,12,4
"RP11-402J6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
