"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"DHX30",18,5,2,2,90,2,2,3,1,7,2,0,0,2,0,20,0,2,8,6,5
"MAP4",18,22,4,32,411,2,2,7,1,11,12,9,1,3,2,45,9,0,27,24,32
"CDC25A",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"CAMP",0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"ZNF589",2,2,0,2,41,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0
"NME6",8,3,4,4,105,1,5,1,0,2,3,4,0,0,1,18,1,0,7,4,0
"PLXNB1",0,6,0,1,37,0,0,0,0,1,1,2,0,0,0,14,0,0,1,0,1
"CCDC51",6,2,1,2,314,0,1,0,0,2,2,2,0,1,0,14,2,0,2,1,3
"TMA7",413,98,90,103,3263,20,91,50,21,224,193,39,24,65,11,954,32,12,271,121,88
"ATRIP.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SHISA5",37,9,7,8,440,2,10,3,1,29,20,8,0,10,4,51,1,2,61,21,17
"PFKFB4",1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0
"COL7A1",0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"UQCRC1",62,18,23,9,520,0,3,8,5,18,12,14,5,4,0,405,10,1,91,13,27
"TMEM89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC26A6",6,0,1,1,20,0,0,1,0,0,1,0,1,1,2,32,0,0,7,3,0
"CELSR3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"NCKIPSD",6,1,0,4,82,0,0,0,0,1,2,0,0,0,0,10,1,0,0,2,0
"IP6K2",20,9,7,9,580,1,3,2,1,8,9,2,0,6,0,94,7,1,9,10,4
"PRKAR2A",30,6,2,9,171,0,2,3,2,16,4,4,1,2,1,83,2,0,27,5,13
"PRKAR2A-AS1",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"SLC25A20",6,0,3,3,23,0,1,1,0,5,3,0,1,2,0,15,0,0,10,2,0
"ARIH2OS",2,0,0,3,36,0,0,1,0,2,3,0,0,1,1,6,0,0,2,0,1
"ARIH2",17,5,5,8,147,2,2,1,0,7,3,3,1,3,1,17,1,1,12,6,12
"RP13-131K19.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP13-131K19.2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP13-131K19.7",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"P4HTM",1,12,1,17,123,0,2,0,0,8,4,0,0,1,0,36,1,1,7,5,7
"WDR6",31,10,2,3,188,0,4,6,0,9,5,2,0,0,0,29,3,1,8,5,8
"DALRD3",6,6,3,4,235,2,2,2,0,9,4,2,3,0,1,19,1,0,7,6,6
"NDUFAF3",97,17,10,32,1107,5,13,13,6,37,28,10,3,9,1,161,13,5,66,24,27
"IMPDH2",41,60,11,18,1023,1,5,6,0,12,3,13,6,2,0,248,9,2,34,20,24
"RP13-131K19.6",0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1
"QRICH1",9,3,1,6,121,0,0,4,0,3,3,1,0,1,0,17,1,1,14,6,6
"QARS",32,25,16,9,447,1,3,2,1,10,6,5,0,9,2,171,3,0,35,12,13
"USP19",9,2,1,3,45,0,1,2,0,0,1,0,0,0,1,14,0,0,7,4,4
"LAMB2",22,7,2,19,583,0,0,26,0,2,1,7,0,0,0,9,14,0,7,16,26
"CCDC71",10,3,2,1,119,0,0,1,0,5,4,1,0,1,1,17,2,1,3,0,2
"KLHDC8B",8,3,2,2,229,0,0,4,1,2,0,6,0,0,0,3,2,0,3,15,12
"CCDC36",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-3B7.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"C3orf62",8,0,3,2,32,0,1,1,0,3,1,0,1,1,0,4,0,0,8,1,0
"USP4",23,3,7,4,126,1,4,1,1,13,6,0,1,4,0,17,1,0,19,8,6
"GPX1",1606,111,428,30,1554,3,31,38,11,89,22,17,9,3,2,357,19,7,1122,122,38
"RHOA",467,43,94,85,4218,11,43,42,7,128,68,24,7,34,6,390,33,5,442,90,121
"TCTA",5,4,1,4,66,0,2,1,1,11,1,2,2,2,2,22,2,1,4,3,9
"AMT",4,0,0,0,13,0,0,0,1,0,0,1,0,0,0,30,0,0,0,0,3
"NICN1",2,2,2,1,21,0,1,0,0,0,2,0,0,0,0,8,1,1,0,1,1
"DAG1",10,11,0,20,122,0,0,3,0,0,0,0,0,1,0,34,4,1,3,5,10
"BSN-AS2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSN",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APEH",11,4,8,2,157,0,3,0,0,5,1,1,0,4,0,60,6,0,13,4,4
"MST1",0,18,0,1,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0
"RNF123",6,2,0,3,31,0,0,1,0,1,2,2,1,0,0,11,0,0,1,1,2
"GMPPB",7,4,3,3,125,0,0,2,1,10,3,0,1,3,0,56,0,3,10,7,3
"IP6K1",15,4,1,2,56,0,4,0,0,5,3,4,1,0,0,20,2,0,5,11,7
"CDHR4",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM212A",5,1,1,0,15,0,0,1,2,0,1,0,0,0,0,0,2,0,0,12,1
"UBA7",22,4,2,2,122,2,1,2,3,5,5,2,0,3,0,8,0,1,17,4,4
"TRAIP",0,0,0,2,15,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0
"MST1R",0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0
"CTD-2330K9.3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MON1A",1,0,0,2,22,0,1,0,0,2,0,0,0,0,0,4,0,0,2,0,0
"RBM6",21,6,1,2,160,0,1,2,1,8,5,3,1,1,0,43,4,1,18,8,4
"RBM5",25,8,4,11,236,2,4,5,0,5,10,6,2,4,1,43,0,0,15,16,7
"RBM5-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SEMA3F-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEMA3F",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,2
"GNAI2",251,12,38,21,576,3,12,26,1,34,31,11,1,20,2,20,8,1,215,71,28
"U73166.2",4,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0
"SEMA3B-AS1",0,7,0,2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"SEMA3B",4,31,0,156,551,0,1,2,0,0,0,2,0,1,0,16,0,1,6,3,4
"LSMEM2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"IFRD2",13,5,3,4,112,1,4,8,1,6,2,2,2,2,0,46,1,0,6,7,10
"HYAL3",1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"NAT6",0,1,0,2,51,0,1,2,0,7,5,3,1,0,0,10,0,0,3,2,5
"HYAL1",0,1,0,1,79,0,0,0,0,0,0,1,0,0,0,8,2,0,1,4,3
"HYAL2",16,4,0,5,182,0,0,51,0,1,0,1,0,0,0,22,5,0,6,51,3
"TUSC2",27,7,5,7,202,3,4,10,0,14,12,5,1,0,0,54,9,2,23,12,11
"RASSF1",18,2,5,7,142,1,4,6,1,24,12,2,0,21,1,22,9,2,14,14,17
"RASSF1-AS1",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,1
"ZMYND10",1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPRL2",5,2,3,7,129,0,2,4,0,10,6,0,1,3,0,25,2,1,9,2,6
"CYB561D2",33,4,9,3,164,1,5,4,2,21,11,0,0,8,1,56,2,0,27,2,2
"TMEM115",15,6,1,4,267,0,0,2,0,5,1,2,1,1,0,41,3,0,6,7,7
"CACNA2D2",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
