"","GSM2359395","GSM2359396","GSM3109316","GSM3109317","GSM3109318","GSM3109319","GSM3319756","GSM3319795","GSM3319830","GSM3319865","GSM3387272","GSM3387276","GSM3387280","GSM3387282"
"8527",1,1,0,0,1,1,1,0,0,0,1,1,0,1
"1607",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1608",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1609",0,1,0,0,1,0,1,1,0,0,0,1,0,1
"8525",1,0,0,1,0,1,1,0,1,0,1,0,0,1
"9162",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1610",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",1,0,0,1,1,0,1,1,0,0,1,0,0,1
"2745",1,1,1,1,1,1,1,1,1,0,1,1,1,1
"8528",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10455",1,1,1,1,1,1,1,1,1,0,1,1,1,0
"1632",1,0,0,0,1,0,1,1,0,0,0,1,0,1
"1633",1,1,1,1,1,0,1,1,0,1,1,1,1,1
"1638",0,1,0,0,1,0,1,1,0,0,1,0,0,1
"6319",0,1,1,0,0,0,0,1,0,0,1,0,1,0
"9415",1,0,0,0,0,1,1,0,0,0,0,1,1,0
"3992",1,0,0,0,0,1,0,1,0,0,0,1,1,0
"8694",1,0,0,1,1,0,1,0,0,0,0,1,0,1
"84649",1,0,1,1,1,1,0,1,0,0,1,0,0,1
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6513",1,1,1,1,1,0,1,1,0,0,1,1,0,1
"6517",1,0,1,1,1,1,0,1,0,0,1,0,1,0
"6515",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1718",0,1,0,0,1,0,0,1,0,0,0,1,0,1
"1581",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1717",0,1,0,1,1,0,0,1,0,0,1,0,0,1
"8560",1,1,1,1,1,0,1,1,0,1,1,1,1,1
"123099",1,0,0,0,0,1,1,0,0,0,1,0,0,1
"11309",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6783",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1723",1,0,1,0,1,1,1,1,0,1,1,0,0,1
"1809",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1808",1,0,0,0,1,0,1,0,0,1,0,1,0,1
"1807",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23539",1,0,1,1,1,1,1,1,1,1,0,1,0,1
"2224",1,1,1,1,0,1,1,1,0,1,1,1,1,1
"29958",0,1,0,0,0,1,0,0,0,1,1,0,1,0
"60386",0,1,0,1,0,0,1,1,0,0,1,0,0,1
"84920",0,1,1,0,0,0,1,1,1,1,1,0,0,1
"79087",1,0,0,1,1,0,1,1,0,0,1,0,0,1
"26002",0,1,1,1,1,1,1,1,1,1,1,0,0,1
"1621",0,1,0,0,0,1,0,0,0,0,1,0,0,1
"7299",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6530",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6581",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"669",1,1,1,1,0,1,1,1,1,1,1,1,1,1
"5224",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5223",1,1,1,1,1,1,1,1,1,0,1,1,1,1
"4597",1,1,0,1,1,1,1,1,0,1,1,1,0,1
"51071",1,0,0,0,1,1,1,1,0,1,1,0,0,1
"1806",1,1,1,1,0,1,1,0,0,0,1,1,1,0
