"","x"
"54600",0
"222962",0
"8228",1
"113278",0
"10351",0
"54981",2
"7364",1
"9429",0
"7367",0
"55867",0
"54490",1
"364",0
"7366",1
"6482",1
"360",1
"6484",0
"7363",0
"89872",0
"7365",1
"6483",2
"21",0
"10720",1
"24",0
"54963",2
"10057",1
"125206",0
"7498",0
"10090",0
"200010",0
"9653",0
"9942",0
"6524",0
"159963",0
"64131",2
"55065",0
"64132",0
"3423",0
"79581",0
"10060",0
"9957",0
"51181",3
"6833",1
"9951",0
"3764",1
"222537",0
"64077",1
"3767",0
"5464",3
"64220",1
"10724",2
"5950",1
"1356",1
"2495",1
"9956",0
"5947",1
"9955",0
"2512",2
"94033",1
"5948",0
"29881",0
"1727",3
"9953",1
"64711",0
"949",2
"2350",3
"55501",0
"51706",2
"3248",1
"51700",1
"166929",0
"10587",0
"166012",0
"113189",0
"56261",1
"50515",1
"80347",2
"3658",0
"93034",0
"84618",0
"411",1
"203",0
"22978",2
"122481",0
"100526794",1
"159",2
"51251",2
"23563",1
"122622",0
"10164",1
"353",3
"11212",3
"3251",3
"383",0
"9435",2
"1371",2
"4166",0
"56954",2
"1503",1
"9469",1
"56474",0
"8534",0
"1491",1
"5313",3
"92086",0
"2987",2
"56548",0
"5860",2
"9394",0
"728441",0
"124975",0
"9453",0
"2686",0
"2023",3
"2027",1
"90161",0
"91227",0
"2026",3
"102724197",0
"266722",0
"9843",0
"2799",2
"80308",2
"10157",0
"118881",0
"5211",2
"7360",3
"2819",0
"3176",1
"26330",0
"1757",0
"81537",0
"2597",3
"29926",1
"2673",1
"9945",1
"6652",1
"29925",2
"51557",0
"875",0
"6342",3
"2752",2
"102724560",1
"1800",0
"249",1
"9056",1
"2762",1
"10558",2
"2643",1
"22934",2
"761",1
"51292",2
"55304",0
"766",0
"9517",0
"2098",3
"8879",2
"2766",0
"771",3
"4284",0
"57571",0
"8869",0
"362",0
"358",1
"8833",2
"641371",0
"361",0
"5538",2
"56848",1
"359",0
"8877",1
"3145",1
"9374",0
"11332",0
"586",0
"55825",2
"130752",0
"51102",0
"3615",3
"3614",1
"37",3
"55512",0
"55627",2
"33",0
"682",2
"132158",0
"339221",0
"6609",0
"641649",0
"4351",0
"23475",1
"6610",2
"100287639",1
"259230",3
"93100",0
"441024",0
"50484",1
"65220",1
"6241",2
"116369",0
"115111",0
"389015",1
"6240",2
"6553",0
"3156",0
"284129",0
"2821",3
"115019",0
"5230",3
"79966",0
"5232",0
"375056",2
"10588",0
"5236",3
"26266",0
"84890",1
"55276",3
"6646",2
"5372",0
"6649",1
"55229",0
"5373",1
"79646",0
"80025",0
"53354",0
"6648",2
"6647",3
"6697",0
"6611",1
"83594",1
"7263",0
"26275",1
"6723",2
"6713",1
"2222",2
"210",2
"29920",1
"6715",0
"60490",0
"6716",0
"79717",2
"15",0
"7389",2
"58510",1
"1595",0
"130367",0
"6532",1
"153201",1
"10478",1
"221823",1
"23443",0
"5634",2
"64240",0
"6487",0
"5631",3
"29968",0
"64241",0
"284111",0
"8781",0
"8435",0
"5723",1
"3988",2
"55312",2
"6888",3
"79896",0
"8277",0
"768",1
"84076",0
"762",1
"765",0
"7086",3
"10402",0
"27010",0
"286016",0
"10610",0
"23632",0
"7167",3
"760",0
"256435",0
"2582",0
"30815",0
"81849",0
"767",0
"759",0
"91373",1
"377677",0
"31",0
"6675",1
"6556",1
"7390",1
"6563",0
"8170",0
"6568",1
"374569",0
"7779",1
"54020",2
"100507855",1
"285440",0
"55191",2
"132",3
"97",1
"98",1
"112611",0
"51005",2
"471",3
"435",0
"171425",0
"132789",0
"10007",1
"2585",0
"2584",1
"2592",2
"5471",1
"84264",0
"3034",1
"144193",0
"2739",3
"8776",1
"3612",3
"3613",0
"2978",1
"4953",1
"5213",1
"5214",3
"10050",1
"10786",0
"10246",0
"6569",0
"10568",0
"5198",0
"113675",0
"7298",3
"215",1
"5825",1
"641372",0
"9045",3
"4017",0
"84105",0
"25830",1
"84569",0
"4025",0
"54995",1
"93492",0
"1267",2
"10249",1
"1549",1
"1580",0
"1573",0
"29785",0
"199974",0
"57834",0
"1555",0
"260293",0
"1215",2
"57094",0
"1357",0
"1358",1
"93979",0
"23430",1
"7384",3
"7388",2
"7386",3
"29796",1
"7385",3
"1537",3
"9481",0
"9016",0
"7352",0
"7351",3
"4726",3
"4729",3
"4541",2
"4719",1
"4713",1
"4718",3
"7991",0
"126328",2
"4539",1
"4731",1
"4694",2
"4705",3
"4704",2
"4695",2
"4696",2
"4707",3
"4711",2
"4712",2
"4702",3
"4537",1
"4710",3
"4700",3
"4538",1
"4708",2
"4709",3
"4715",1
"4535",1
"131669",0
"79644",1
"5973",0
"4698",2
"55967",2
"1646",0
"4701",3
"4540",2
"1635",2
"158160",1
"286297",0
"10560",0
"4717",1
"374291",2
"8630",0
"4724",3
"4723",3
"191",3
"10768",2
"51170",2
"51144",1
"83401",0
"25874",2
"4720",3
"79993",1
"4697",3
"4728",3
"51660",2
"64834",2
"57198",2
"4725",3
"201562",0
"5205",0
"51495",2
"23250",0
"4706",2
"9200",2
"192286",2
"286410",1
"401494",0
"5243",1
"55856",2
"9524",2
"54539",2
"7350",0
"253017",0
"4716",2
"283985",1
"3995",0
"4536",0
"26027",0
"10058",0
"1155",3
"4714",2
"4722",3
"123096",0
"51079",3
"51458",1
"948",0
"114571",0
"1339",1
"57016",1
"10928",0
"79707",2
"1728",0
"1345",2
"79672",2
"1329",3
"2946",1
"9917",1
"55331",0
"341947",0
"125965",0
"55277",0
"125981",0
"340485",0
"64122",0
"1327",3
"92370",0
"4513",3
"2760",0
"1346",1
"93650",0
"5660",3
"390928",0
"57704",2
"4759",1
"1347",3
