"","x"
"766",1
"9517",1
"2098",2
"8879",2
"2766",0
"771",1
"4284",0
"57571",0
"8869",2
"362",1
"358",0
"8833",2
"641371",1
"361",0
"5538",2
"56848",0
"359",1
"8877",1
"3145",2
"9374",0
"11332",1
"586",0
"55825",2
"130752",0
"51102",1
"3615",2
"3614",1
"37",2
"55512",1
"55627",2
"33",0
"682",2
"132158",1
"339221",0
"6609",0
"641649",0
"4351",1
"23475",0
"6610",0
"100287639",-1
"259230",1
"93100",1
"441024",0
"50484",1
"65220",0
"6241",2
"116369",0
"115111",0
"389015",-1
"6240",2
"6553",0
"3156",2
"284129",0
"2821",2
"115019",0
"5230",2
"79966",0
"5232",0
"375056",0
"10588",1
"5236",2
"26266",0
"84890",2
"55276",1
"6646",2
"5372",0
"6649",0
"55229",0
"5373",0
"79646",2
"80025",2
"53354",0
"6648",1
"6647",2
"6697",1
"6611",2
"83594",0
"7263",0
"26275",1
"6723",2
"6713",1
"2222",2
"210",0
"29920",1
"6715",1
"60490",1
"6716",0
"79717",2
"15",1
"7389",1
"58510",0
"1595",2
"130367",0
"6532",0
"153201",-1
"10478",0
"221823",0
"23443",0
"5634",2
"64240",0
"6487",0
"5631",2
"29968",0
"64241",0
"284111",0
"8781",2
"8435",1
"5723",0
"3988",1
"55312",2
"6888",2
"79896",0
"8277",1
"768",0
"84076",0
"762",0
"765",1
"7086",2
"10402",0
"27010",1
"286016",-1
"10610",0
"23632",0
"7167",2
"760",0
"256435",0
"2582",0
"30815",1
"81849",0
"767",0
"759",0
"91373",0
"377677",0
"31",0
"6675",2
"6556",0
"7390",1
"6563",0
"8170",0
"6568",0
"374569",0
"7779",2
"54020",1
"100507855",0
"285440",1
"55191",0
"132",0
"97",2
"98",1
"112611",1
"51005",0
"471",2
"435",1
"171425",0
"132789",1
"10007",1
"2585",0
"2584",0
"2592",1
"5471",1
"84264",0
"3034",0
"144193",0
"2739",2
"8776",2
"3612",2
"3613",1
"2978",1
"4953",2
"5213",0
"5214",2
"10050",0
"10786",0
"10246",0
"6569",0
"10568",0
"5198",2
"113675",0
"7298",0
"215",0
"5825",2
"641372",0
"9045",2
"4017",0
"84105",1
"25830",1
"84569",0
"4025",0
"54995",2
"93492",-1
"1267",2
"10249",0
"1549",0
"1580",0
"1573",1
"29785",1
"199974",0
"57834",0
"1555",0
"260293",0
"1215",0
"57094",0
"1357",0
"1358",0
"93979",0
"23430",1
"7384",2
"7388",2
"7386",2
"29796",2
"7385",2
"1537",2
"9481",0
"9016",1
"7352",0
"7351",2
"4726",2
"4729",2
"4541",1
"4719",2
"4713",2
"4718",2
"7991",0
"126328",0
"4539",0
"4731",0
"4694",2
"4705",2
"4704",2
"4695",2
"4696",2
"4707",2
"4711",2
"4712",2
"4702",2
"4537",1
"4710",2
"4700",2
"4538",1
"4708",2
"4709",2
"4715",1
"4535",2
"131669",0
"79644",1
"5973",0
"4698",0
"55967",0
"1646",0
"4701",2
"4540",2
"1635",2
"158160",2
"286297",0
"10560",0
"4717",2
"374291",1
"8630",0
"4724",2
"4723",2
"191",2
"10768",2
"51170",2
"51144",2
"83401",0
"25874",2
"4720",2
"79993",0
"4697",2
"4728",2
"51660",2
"64834",2
"57198",0
"4725",2
"201562",2
"5205",1
"51495",2
"23250",1
"4706",2
"9200",1
"192286",2
"286410",1
"401494",1
"5243",0
"55856",2
"9524",0
"54539",2
"7350",0
"253017",0
"4716",0
"283985",-1
"3995",1
"4536",2
"26027",0
"10058",0
"1155",2
"4714",2
"4722",2
"123096",0
"51079",2
"51458",0
"948",0
"114571",0
"1339",1
"57016",0
"10928",2
"79707",2
"1728",0
"1345",2
"79672",2
"1329",2
"2946",0
"9917",2
"55331",1
"341947",0
"125965",0
"55277",0
"125981",0
"340485",-1
"64122",1
"1327",2
"92370",1
"4513",1
"2760",0
"1346",1
"93650",1
"5660",2
"390928",-1
"57704",1
"4759",1
"1347",2
"139596",0
"1337",2
"55066",0
"4514",1
"10825",1
"283208",0
"7903",1
"1351",2
"84701",1
"5033",2
"1350",2
"8974",0
"4512",2
"8513",0
"58478",2
"55256",2
"5408",0
"170712",0
"259307",0
"9377",2
"51312",0
"9167",2
"1340",2
"57104",0
"81894",2
"13",0
"1349",2
"29085",0
"9388",0
"5407",0
"9107",2
"22908",2
"163404",0
"3991",0
"22876",1
"221955",0
"5406",0
"9896",1
"747",0
"51559",0
"119548",0
"646486",-1
"9108",1
"84814",0
"23371",1
"2167",0
"2172",0
"8446",2
"2173",0
"51496",1
"374462",-1
"2169",0
"403313",1
"23203",0
"2171",2
