"";"x"
"6342";2
"2752";0
"102724560";0
"1800";0
"249";1
"9056";2
"2762";0
"10558";1
"2643";2
"22934";3
"761";1
"51292";1
"55304";0
"766";0
"9517";1
"2098";3
"8879";1
"2766";0
"771";1
"4284";0
"57571";0
"8869";0
"362";0
"358";2
"8833";3
"641371";1
"361";0
"5538";2
"56848";0
"359";0
"8877";1
"3145";1
"9374";0
"11332";1
"586";0
"55825";1
"130752";0
"51102";0
"3615";3
"3614";0
"37";3
"55512";0
"55627";0
"33";0
"682";2
"132158";0
"339221";0
"6609";0
"641649";0
"4351";2
"23475";1
"6610";0
"100287639";0
"259230";0
"93100";0
"441024";0
"50484";1
"65220";0
"6241";1
"116369";0
"115111";0
"389015";0
"6240";2
"6553";0
"3156";0
"284129";0
"2821";3
"115019";0
"5230";3
"79966";0
"5232";0
"375056";1
"10588";1
"5236";3
"26266";0
"84890";0
"55276";2
"6646";1
"5372";0
"6649";0
"55229";1
"5373";1
"79646";0
"80025";1
"53354";0
"6648";2
"6647";3
"6697";0
"6611";1
"83594";0
"7263";0
"26275";1
"6723";2
"6713";0
"2222";2
"210";0
"29920";1
"6715";0
"60490";0
"6716";0
"79717";1
"15";0
"7389";1
"58510";0
"1595";0
"130367";0
"6532";1
"153201";0
"10478";1
"221823";0
"23443";1
"5634";2
"64240";0
"6487";0
"5631";3
"29968";1
"64241";0
"284111";0
"8781";0
"8435";0
"5723";0
"3988";1
"55312";1
"6888";3
"79896";0
"8277";0
"768";0
"84076";0
"762";0
"765";0
"7086";3
"10402";0
"27010";0
"286016";0
"10610";0
"23632";0
"7167";3
"760";0
"256435";0
"2582";0
"30815";0
"81849";0
"767";0
"759";0
"91373";0
"377677";0
"31";0
"6675";0
"6556";1
"7390";0
"6563";0
"8170";0
"6568";0
"374569";0
"7779";0
"54020";2
"100507855";0
"285440";0
"55191";1
"132";3
"97";0
"98";1
"112611";0
"51005";0
"471";3
"435";1
"171425";1
"132789";0
"10007";3
"2585";0
"2584";1
"2592";0
"5471";1
"84264";0
"3034";1
"144193";0
"2739";3
"8776";2
"3612";2
"3613";0
"2978";0
"4953";1
"5213";0
"5214";3
"10050";0
"10786";0
"10246";0
"6569";0
"10568";0
"5198";0
"113675";0
"7298";0
"215";0
"5825";0
"641372";0
"9045";3
"4017";0
"84105";0
"25830";0
"84569";0
"4025";0
"54995";0
"93492";0
"1267";2
"10249";0
"1549";0
"1580";0
"1573";0
"29785";1
"199974";0
"57834";0
"1555";0
"260293";0
"1215";1
"57094";0
"1357";0
"1358";0
"93979";0
"23430";0
"7384";3
"7388";2
"7386";3
"29796";3
"7385";3
"1537";3
"9481";0
"9016";0
"7352";0
"7351";3
"4726";3
"4729";3
"4541";1
"4719";2
"4713";2
"4718";2
"7991";0
"126328";0
"4539";1
"4731";1
"4694";1
"4705";3
"4704";2
"4695";3
"4696";1
"4707";3
"4711";3
"4712";2
"4702";3
"4537";2
"4710";3
"4700";3
"4538";2
"4708";1
"4709";3
"4715";3
"4535";2
"131669";0
"79644";0
"5973";0
"4698";3
"55967";3
"1646";0
"4701";2
"4540";2
"1635";1
"158160";1
"286297";0
"10560";0
"4717";0
"374291";0
"8630";0
"4724";3
"4723";3
"191";3
"10768";2
"51170";2
"51144";1
"83401";0
"25874";2
"4720";3
"79993";1
"4697";3
"4728";3
"51660";3
"64834";0
"57198";0
"4725";3
"201562";1
"5205";0
"51495";2
"23250";1
"4706";3
"9200";1
"192286";1
"286410";1
"401494";0
"5243";0
"55856";2
"9524";3
"54539";2
"7350";0
"253017";0
"4716";3
"283985";0
"3995";0
"4536";2
"26027";0
"10058";0
"1155";3
"4714";1
"4722";3
"123096";0
"51079";2
"51458";0
"948";0
"114571";0
"1339";0
"57016";0
"10928";0
"79707";2
"1728";0
"1345";3
"79672";2
"1329";3
"2946";1
"9917";1
"55331";2
"341947";0
"125965";0
"55277";0
"125981";0
"340485";0
"64122";0
"1327";3
"92370";0
"4513";3
"2760";0
"1346";0
"93650";0
"5660";3
"390928";0
"57704";0
"4759";0
"1347";3
"139596";1
"1337";1
"55066";0
"4514";1
"10825";1
"283208";0
"7903";0
"1351";1
"84701";0
"5033";1
"1350";3
"8974";0
"4512";1
"8513";0
"58478";2
"55256";1
"5408";0
"170712";0
"259307";0
"9377";3
"51312";0
"9167";1
"1340";3
"57104";2
"81894";1
"13";0
"1349";1
"29085";1
"9388";0
"5407";0
"9107";2
"22908";3
"163404";0
"3991";0
"22876";0
"221955";0
"5406";0
"9896";0
"747";0
"51559";1
"119548";0
"646486";0
"9108";0
"84814";0
"23371";0
"2167";1
"2172";0
"8446";2
"2173";0
"51496";1
"374462";0
"2169";0
"403313";1
"23203";2
"2171";1
"145553";0
"646480";0
"2170";0
"64419";1
"54988";0
"55613";0
"341392";0
"138639";0
"9562";0
"123876";0
"3705";1
"6296";1
"138429";0
"348158";0
"344967";0
"10170";1
"9249";1
"220074";0
"51099";2
"154141";0
"1733";0
"253558";1
"64748";0
"23175";1
"1735";0
"1734";0
"27284";0
"6819";0
"84513";0
"79948";0
"84274";2
"9890";0
"84787";1
"79813";1
"64900";0
"9663";2
"9757";1
"196051";0
"9869";0
"85465";0
"23646";1
"122618";0
"29072";2
"201164";3
"590";0
"80854";0
"55750";2
"387893";0
"84444";0
"4297";1
"91012";1
"204219";0
"10715";0
"58508";0
"253782";1
"55870";1
"29956";2
"10919";0
"6839";0
"79603";0
"64324";0
"56624";0
"6419";1
"170384";0
"23067";1
"56886";3
"54904";1
"2526";0
"152586";0
"148789";0
"200810";0
"55624";0
"64754";0
"56983";2
"79723";0
"644378";0
"55904";2
"644974";0
"8702";1
"9739";1
"8473";2
"55830";1
"7468";0
"3703";0
"83852";0
"8085";1
"283358";0
"51111";3
"55757";0
"60559";3
"23478";3
"146664";0
"28972";3
"2529";1
"360203";0
"90701";1
"9789";3
"57171";1
"4249";0
"25834";0
"7837";0
"140687";0
"137902";0
"8708";0
"9677";1
"23262";2
"201595";2
"26007";0
"83468";0
"158584";0
"84752";0
"283209";0
"145173";0
"23491";0
"124872";0
"84750";0
"221223";0
"338707";0
"1066";0
"1208";0
"146802";0
"168391";0
"55244";0
"345274";0
"116085";0
"8707";0
"123688";0
"51228";1
"51171";0
"284004";1
"79411";0
"51741";0
"27090";0
"129807";0
"441282";0
"2524";0
"10202";1
"2527";0
"10553";2
"121214";0
"374875";0
"2528";0
"113612";1
"56898";0
"493869";0
"1487";3
"64174";3
"100288072";0
"64180";0
"93517";0
"10728";3
"84869";1
"340811";0
"91179";0
"133121";0
"11102";1
"85007";2
"250";0
"8644";1
"10826";0
"251";0
"266740";0
"200931";0
"3930";3
"123264";0
"10941";0
"79799";0
"4645";0
"5446";0
"4864";1
"506";1
"3069";2
"10632";3
"515";3
"10476";3
"513";3
"522";3
"539";3
"9551";2
"516";1
"509";3
"518";1
"27109";0
"514";1
"4905";3
"517";1
"521";3
"498";3
"267020";0
"27089";3
"10975";2
"7381";3
"4519";0
