"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"1036",1,0,0,0,0,1,0,0,0,0,1
"23657",0,0,0,0,0,1,1,1,0,0,1
"57379",0,0,0,0,0,0,0,0,0,0,1
"978",0,0,0,0,0,1,0,1,0,0,0
"7371",1,1,1,0,0,1,0,1,0,1,0
"83549",1,1,1,1,1,1,1,1,1,1,1
"51727",1,1,1,1,1,1,1,1,1,1,1
"129607",0,0,1,1,1,1,1,0,1,1,0
"160851",0,1,0,0,1,1,1,0,1,0,1
"8526",1,0,0,0,1,1,0,0,1,1,1
"1606",1,1,1,1,1,1,1,1,1,1,1
"8527",1,1,1,1,1,0,1,1,1,1,0
"1607",0,0,0,0,0,0,0,0,0,0,0
"1608",0,1,0,0,0,0,0,1,0,1,1
"1609",0,0,1,1,1,0,1,1,1,0,0
"8525",1,1,1,1,1,1,1,1,1,1,1
"9162",0,0,0,0,0,0,0,0,0,0,0
"1610",0,0,0,0,1,0,0,0,0,0,0
"51022",1,1,0,1,0,0,0,0,0,1,1
"2745",1,1,1,1,1,1,1,1,1,1,1
"8528",0,0,0,0,0,0,0,0,0,0,0
"10455",1,1,1,0,0,0,1,0,0,1,1
"1632",1,1,1,1,1,1,1,1,1,1,1
"1633",1,1,1,1,1,1,1,1,1,1,1
"1638",1,0,0,0,1,0,1,0,0,1,1
"6319",0,0,1,0,0,1,1,1,0,0,0
"9415",1,0,1,0,0,0,1,1,0,1,0
"3992",0,0,0,1,1,1,0,1,0,0,1
"8694",1,0,0,1,1,0,1,1,1,1,1
"84649",1,1,0,0,0,0,0,1,0,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1
"6513",1,1,1,1,1,1,1,1,1,1,1
"6517",0,0,0,0,0,0,0,0,0,0,0
"6515",1,1,1,1,1,1,1,1,1,1,1
"1718",0,1,0,0,1,1,1,1,1,1,0
"1581",0,0,0,0,0,0,0,0,0,0,0
"1717",1,1,0,0,1,1,1,1,1,0,0
"8560",1,1,1,1,1,1,1,1,1,1,1
"123099",0,0,0,1,0,0,1,1,1,0,0
"11309",0,0,0,0,0,0,0,0,0,1,1
"6783",0,0,0,0,0,0,0,0,0,0,0
"1723",0,1,1,0,0,0,0,1,0,1,0
"1809",0,0,0,0,0,0,0,0,0,0,0
"1808",0,1,0,0,1,1,0,1,1,0,1
"1807",0,0,0,0,1,0,0,0,0,0,0
"23539",1,1,1,1,1,1,1,0,0,1,1
"2224",1,1,1,1,1,1,1,1,1,1,1
"29958",0,0,1,1,1,0,1,1,1,0,1
"60386",1,0,1,0,1,0,1,1,0,1,0
"84920",0,0,0,1,0,0,0,0,0,0,1
"79087",1,0,1,1,0,0,1,1,1,0,0
"26002",1,0,0,0,0,1,1,1,0,1,0
"1621",1,1,0,0,0,0,0,1,0,1,1
"7299",0,0,0,0,0,0,0,0,0,0,0
"6530",0,0,0,0,0,0,0,0,0,0,0
"6581",0,0,0,0,0,0,0,0,0,0,0
"669",1,1,1,1,1,1,1,1,1,1,1
"5224",0,0,0,0,0,0,0,0,0,0,0
"5223",1,1,1,1,1,1,1,1,1,1,1
"4597",1,1,0,1,1,1,1,1,1,0,0
"51071",0,1,0,1,0,0,0,0,1,1,1
"1806",0,0,1,0,1,1,1,0,1,0,1
"7083",0,0,1,0,1,1,0,1,0,1,0
"7084",1,1,1,0,0,1,1,1,0,1,0
"1854",1,1,1,1,1,1,1,1,1,1,1
"3704",1,1,1,1,1,1,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1,1,1,0
"1892",1,1,1,1,1,1,1,1,1,1,1
"549",0,0,1,1,1,0,1,0,0,1,1
"1962",1,1,1,0,0,0,1,0,1,1,1
"1891",1,1,1,1,1,1,1,1,1,1,1
"11001",0,0,0,0,1,0,1,1,0,1,1
"28231",0,1,0,0,0,0,0,1,0,0,0
"53919",0,0,0,0,0,0,0,0,0,0,0
"10257",0,1,1,0,0,0,0,0,1,1,0
"28232",0,1,1,0,1,1,1,1,1,0,0
"2109",1,1,0,1,0,0,0,1,0,0,0
"2108",1,1,1,1,1,1,1,1,1,1,1
"2110",0,1,0,0,0,1,1,0,1,1,1
"55500",1,0,1,0,0,0,0,0,1,0,1
"55224",0,1,0,0,1,1,0,1,0,1,0
"8790",1,1,0,1,1,0,1,0,0,0,1
"51086",0,0,0,0,0,0,0,0,0,0,0
"2181",1,1,1,0,0,0,0,0,1,1,1
"2180",0,0,1,0,1,1,1,0,0,1,1
"2182",0,1,0,1,0,0,0,0,1,0,1
"81616",0,1,1,1,0,0,1,0,0,1,1
"51703",1,1,1,1,1,1,1,1,1,1,1
"23305",0,1,1,0,0,1,1,0,0,1,1
"116285",0,0,1,1,0,0,0,1,1,0,0
"5167",0,0,0,1,0,0,0,0,0,0,0
"5169",0,1,0,0,1,0,0,0,1,0,1
"6785",0,1,0,0,1,1,0,0,0,0,1
"60481",1,1,1,1,1,1,1,1,1,1,1
"54898",0,0,0,0,0,1,0,0,0,0,0
"79071",1,1,1,0,0,0,1,0,1,1,0
"1579",0,0,0,0,0,0,0,0,0,0,0
"2194",1,0,0,0,1,1,1,1,1,0,0
"10999",0,1,0,0,0,1,0,1,1,0,0
"376497",1,1,1,0,0,1,0,1,0,0,0
"230",1,1,1,1,1,1,1,1,1,1,1
"226",0,0,1,0,1,1,0,1,1,0,0
"229",0,0,0,0,0,0,0,0,1,0,1
"5208",0,1,1,1,1,0,1,0,1,1,1
"5207",0,0,0,1,1,1,1,0,1,1,1
"2203",0,1,1,1,0,1,1,1,0,0,1
"5210",1,1,0,0,0,0,1,1,1,0,0
"5209",1,0,0,1,1,1,1,1,0,1,0
"8789",0,0,0,0,0,0,0,0,0,0,0
"2235",1,0,1,1,1,0,1,1,1,1,0
"10840",0,0,0,0,0,0,0,0,0,0,0
"79901",0,0,0,1,0,0,1,0,0,1,0
"197258",0,0,0,1,1,1,1,1,0,0,0
"125061",0,1,1,1,0,0,1,1,0,1,0
"1719",1,0,1,1,0,1,0,1,0,0,0
"2356",1,1,1,1,1,1,1,1,1,1,1
"155184",0,0,0,0,0,1,0,0,0,0,0
"29988",1,0,1,1,0,0,0,1,0,0,1
"66035",1,0,1,1,1,0,1,0,0,1,1
"6518",1,0,0,0,0,0,1,1,0,1,0
"6514",0,0,0,0,0,0,0,0,0,0,0
"160428",0,1,1,0,0,0,1,0,0,1,1
"25902",1,0,0,1,1,0,1,1,1,1,0
"4522",0,1,0,1,1,1,1,1,1,0,0
"2519",1,0,1,0,0,0,0,0,0,1,1
"2517",1,0,1,1,0,1,1,1,1,1,1
"2184",0,1,1,0,0,1,1,1,1,0,0
"2271",1,1,1,1,1,1,1,1,1,1,1
"2523",1,1,1,1,1,1,1,1,0,1,1
"2525",0,0,0,0,1,0,1,1,1,0,1
"10690",0,0,0,0,0,0,0,0,0,0,0
"2683",1,1,1,1,1,1,1,1,1,1,1
"9334",0,0,0,1,1,0,0,1,0,0,0
"8704",1,0,0,0,0,0,1,1,0,1,0
"8703",1,1,1,1,1,1,1,1,1,1,1
"2820",1,1,0,0,0,1,1,0,0,1,1
"5832",1,1,1,1,1,1,1,1,1,1,1
"9563",1,1,0,1,0,0,0,1,0,1,0
"2539",0,0,0,1,1,1,1,1,1,0,0
"2542",0,1,1,0,0,0,1,1,0,0,0
"2593",1,1,1,1,1,1,1,1,1,1,1
"9514",1,1,0,1,0,0,0,1,0,0,1
"5476",1,1,1,1,1,1,1,1,1,1,1
"2720",0,1,1,0,0,0,0,1,0,0,0
"2588",0,0,0,0,1,1,0,0,0,1,0
"2581",1,0,0,1,1,0,1,0,0,1,1
"2583",0,0,0,0,0,0,0,0,0,0,0
"55454",1,0,0,1,0,1,1,0,1,1,1
"55790",0,1,0,1,0,0,0,0,1,1,0
"79586",0,0,1,0,1,1,0,1,0,0,0
"337876",0,0,0,0,0,0,0,0,0,0,0
"22856",0,0,1,0,1,1,0,0,1,1,1
"63917",0,1,1,0,0,1,0,0,1,1,0
"11226",0,0,0,1,0,1,1,1,1,0,0
"55568",0,0,1,1,0,0,0,0,1,1,1
"2589",1,0,1,1,0,1,1,1,0,0,1
"51809",1,0,0,0,1,1,1,0,0,1,1
"8693",1,0,0,0,1,0,0,0,1,0,0
"2591",0,0,1,1,0,0,1,0,0,0,1
"117248",0,0,0,0,0,0,0,0,0,0,0
"26290",0,0,1,0,0,0,1,1,0,1,1
"114805",0,0,0,0,0,0,0,0,0,0,0
"79695",0,1,0,1,1,0,0,0,0,1,0
"50614",1,0,1,0,0,0,1,0,0,1,1
