"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"6579",NA,NA,NA,NA,NA,NA,NA,NA
"217",0,0,0,0,0,0,0,1
"219",0,0,0,0,1,1,0,0
"79087",1,1,1,1,0,0,0,0
"239",0,0,0,1,0,0,0,0
"6555",NA,NA,NA,NA,NA,NA,NA,NA
"6554",NA,NA,NA,NA,NA,NA,NA,NA
"26002",NA,NA,NA,NA,NA,NA,NA,NA
"1621",1,1,1,1,1,1,1,1
"8647",NA,NA,NA,NA,NA,NA,NA,NA
"247",0,0,0,1,1,1,1,0
"7299",NA,NA,NA,NA,NA,NA,NA,NA
"55349",1,1,1,1,1,1,1,1
"6530",NA,NA,NA,NA,NA,NA,NA,NA
"246",0,0,0,0,1,0,1,1
"6531",NA,NA,NA,NA,NA,NA,NA,NA
"6581",NA,NA,NA,NA,NA,NA,NA,NA
"240",1,0,0,0,1,1,1,0
"231",1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1
"23600",0,0,0,1,0,0,0,0
"1119",NA,NA,NA,NA,NA,NA,NA,NA
"1120",1,1,0,1,0,1,0,0
"5224",NA,NA,NA,NA,NA,NA,NA,NA
"60482",NA,NA,NA,NA,NA,NA,NA,NA
"6582",NA,NA,NA,NA,NA,NA,NA,NA
"115286",0,1,0,1,0,0,0,0
"5223",1,1,1,1,1,1,1,1
"6584",NA,NA,NA,NA,NA,NA,NA,NA
"669",0,1,1,1,0,0,1,1
"271",1,0,0,1,1,1,1,0
"6820",NA,NA,NA,NA,NA,NA,NA,NA
"4597",0,0,0,0,1,1,1,0
"51071",0,1,0,1,1,1,1,1
"10948",0,0,0,0,0,0,1,0
"19",1,0,0,1,0,0,1,1
"272",1,1,1,1,1,1,1,1
"1806",0,1,0,1,0,0,1,0
"270",NA,NA,NA,NA,NA,NA,NA,NA
"7083",0,0,0,0,1,1,1,1
"290",0,0,0,1,0,1,0,1
"1118",1,1,1,0,0,0,1,0
"7084",1,1,1,1,0,0,0,0
"54682",NA,NA,NA,NA,NA,NA,NA,NA
"27159",NA,NA,NA,NA,NA,NA,NA,NA
"3704",1,1,0,1,1,1,1,1
"279",1,1,1,1,1,1,1,1
"277",1,1,1,1,1,1,1,1
