"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"3074",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10606",0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1
"8706",0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"84532",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
"64841",0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0
"8705",1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1
"9487",1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
"10317",0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0
"162417",1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1
"43",0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1
"6572",0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"84002",1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"570",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
"3141",1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1
"54187",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26503",1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
"54",0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51205",0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140838",1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
"622",0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0
"36",1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84129",1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0
"23743",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"80724",0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1
"635",1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"27034",1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28976",1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
"1244",1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
"35",0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
"3712",0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8714",1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
"1468",0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"64849",1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
"645",0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1
"9488",0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1
"1610",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10380",0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0
"686",0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
"1645",1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
"2745",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8884",1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
"51733",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
"7108",0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
