"","GSM2722357","GSM2722361","GSM2722365","GSM2722369","GSM2722373","GSM2722377","GSM2859422","GSM2859450","GSM2859479","GSM2859514","GSM3355220","GSM3355221","GSM3355222","GSM3355223","GSM3355224"
"11136",1,1,0,0,0,1,0,1,0,1,1,1,1,0,1
"10998",0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
"113451",0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
"9057",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"384",1,0,1,1,1,0,1,0,1,0,1,1,1,0,0
"445",0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
"83884",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10166",1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
"410",0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
"427",1,0,0,1,1,0,0,1,1,1,0,0,1,1,1
"9963",0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
"9962",1,1,0,0,0,1,0,0,1,0,1,1,0,0,1
"80150",0,1,1,1,0,1,0,1,0,1,0,1,1,1,0
"440",0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
"790",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6505",0,1,1,1,0,0,0,0,1,0,0,1,0,1,0
"6512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6507",0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"6506",0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90423",0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
"528",1,0,1,0,1,1,0,1,0,0,0,1,0,1,1
"525",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"245973",0,0,1,1,1,0,1,0,0,0,1,1,1,0,0
"50617",0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
"9114",1,1,0,0,1,1,0,1,1,0,1,1,1,0,0
"23545",0,1,1,0,1,1,0,0,1,1,0,0,0,1,1
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",0,0,1,1,0,0,1,0,0,0,1,1,1,0,1
"527",0,0,1,1,0,1,1,1,0,0,0,0,0,1,0
"526",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",0,0,0,1,1,1,0,1,1,1,0,1,0,1,1
"956",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"955",0,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"953",0,0,1,1,0,0,1,1,0,0,0,0,0,0,1
"954",0,0,0,1,1,1,1,1,1,1,0,0,1,0,1
"377841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",0,1,1,0,1,1,0,0,1,0,1,1,1,0,0
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
"8706",1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
"3141",0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"140679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,1,1,1,0,0,1,1,1,0,1,1,0,0,1
"8714",0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",0,1,0,1,1,1,1,0,0,1,1,1,1,0,0
"644",1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
"9488",1,0,1,1,1,0,1,0,0,0,0,0,0,1,1
"10380",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"686",0,1,0,1,1,0,0,1,1,0,0,1,1,1,0
"8884",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51733",0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"7108",0,1,1,1,0,0,1,1,0,0,1,1,0,0,0
"50814",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3295",0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"490",1,0,1,0,1,1,1,1,0,0,0,0,0,1,1
"847",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6543",0,0,0,1,0,1,1,1,1,1,0,1,1,0,0
"6547",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"6546",1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
"166785",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,1,0,0,1,1,1,1,0,1,1,1,1,0,0
"1373",1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
"873",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10423",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"1040",1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
"56994",1,0,1,0,1,1,0,0,1,1,0,0,0,1,1
"10390",1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
"64781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
"6565",0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
"9023",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162466",0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
"9468",0,0,0,1,1,1,0,0,0,0,0,1,1,0,1
"5130",1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
"6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6554",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"55349",0,1,0,0,1,0,1,1,1,0,0,1,1,0,1
"1120",1,0,0,1,0,0,1,0,1,0,1,1,1,0,1
"1119",0,1,0,0,0,1,1,0,1,0,1,1,1,0,0
"60482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6584",0,0,0,1,0,1,0,1,0,1,0,0,0,1,1
"6820",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"10948",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",0,0,1,1,0,0,0,0,1,1,0,1,1,0,1
"1118",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
"27159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54682",1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
"9058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6576",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1159",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
"548596",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"1160",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
"1158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1152",1,0,1,0,0,1,1,0,1,0,1,1,1,0,1
"5172",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"65010",0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
"54675",0,1,1,0,0,1,0,1,1,0,0,1,1,1,0
"10559",1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
"55907",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8034",0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
"8824",1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"51805",1,0,1,0,1,1,1,0,0,0,0,0,0,1,1
"51004",0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
"10229",1,1,0,0,0,1,0,1,1,1,1,0,1,0,0
"2650",1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
"9245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51301",0,0,1,1,0,0,0,1,1,1,0,0,1,0,1
"192134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
