"","GSM565281","GSM565282","GSM565283","GSM565284","GSM565285","GSM565286","GSM1070755","GSM1070756","GSM1070759","GSM1070760","GSM1070763","GSM1070764"
"8706",0,0,0,0,0,0,0,0,0,0,0,0
"10317",0,0,1,0,0,0,0,0,0,0,0,0
"84002",1,1,1,1,1,1,0,1,0,1,0,0
"3141",0,1,0,1,0,1,1,0,1,0,0,0
"140679",0,0,0,0,0,0,0,0,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0
"635",1,1,1,0,1,0,0,0,0,1,0,1
"23743",0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,1,1,0,1,1,1,0,1,0,0,1
"8714",0,1,1,1,1,0,1,1,0,0,0,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0
"645",0,1,0,1,1,0,1,0,1,0,1,1
"644",1,0,1,0,1,1,1,1,0,0,0,1
"9488",1,0,0,1,1,1,1,0,1,0,1,0
"10380",0,0,0,0,0,0,1,0,1,0,1,0
"686",0,0,0,1,1,1,1,0,1,0,1,0
"8884",1,1,1,0,1,1,0,1,0,1,0,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0
"51733",0,1,0,0,1,1,0,1,0,1,0,1
"7108",0,0,0,0,1,1,1,0,1,0,1,0
"50814",1,1,0,0,0,1,0,1,0,1,0,1
"3295",1,1,1,1,1,1,1,1,1,1,1,0
"6307",1,1,1,1,1,1,1,1,1,1,1,1
"493",1,0,0,1,1,1,1,0,1,0,1,0
"492",0,0,0,0,0,0,0,0,0,0,0,0
"491",1,1,1,1,0,0,1,1,0,0,0,1
"490",0,0,1,1,0,1,0,1,0,1,0,1
"847",1,1,1,1,1,1,1,0,1,1,1,1
"6543",1,1,0,0,1,0,1,1,1,1,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0,0
"6546",0,1,1,0,1,0,0,1,0,1,0,0
"166785",0,0,0,0,0,0,0,1,1,0,0,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,0,1,0,1,0,1,0,1,1,0,0
"1373",0,0,0,0,0,0,0,0,0,0,0,0
"873",1,1,1,1,1,1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1,1,1,1,1,1
"8760",0,0,0,1,1,1,1,0,1,0,0,0
"1040",0,0,0,0,0,0,0,0,0,0,0,0
"56994",1,0,1,1,0,1,1,1,1,1,0,0
"10390",0,1,0,1,1,1,0,1,1,0,0,0
"64781",1,1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,0,1,0,1,1,0,1,1,1,0
"6565",0,1,1,0,0,0,1,0,1,0,1,0
"9023",0,0,0,0,0,0,0,0,0,0,0,0
"1103",1,1,1,0,0,0,0,0,0,1,1,1
"162466",0,0,0,0,0,0,0,0,0,0,0,0
"9468",0,0,0,0,0,0,0,0,0,0,0,0
"5130",0,0,0,0,1,1,1,1,1,0,0,0
"6579",0,0,0,0,0,0,0,0,0,0,0,0
"6555",1,0,1,1,0,0,0,0,1,0,1,0
"6554",1,1,0,0,1,0,0,0,1,1,1,0
"55349",1,1,1,1,1,1,1,0,1,0,1,0
"1120",1,1,1,1,1,1,1,1,1,1,1,1
"1119",0,1,1,0,0,0,0,1,0,1,1,1
"60482",1,1,1,0,1,0,0,0,1,1,1,1
"6582",1,1,1,0,1,0,0,0,1,1,0,1
"6584",0,1,1,1,0,1,0,0,1,1,1,0
"6820",1,1,0,1,1,0,1,1,0,0,0,1
"10948",0,1,0,1,1,0,0,0,1,1,0,0
"19",0,0,0,0,1,0,0,0,0,0,0,0
"1118",1,0,0,1,1,0,1,1,0,1,1,0
"27159",1,1,1,0,0,0,0,0,0,1,0,0
"54682",0,0,0,0,0,0,0,0,0,0,0,0
"9058",1,1,0,1,0,1,1,1,0,0,1,1
"6576",1,0,0,0,1,1,1,0,1,0,1,1
"1159",1,1,1,0,0,0,1,0,0,0,0,1
"548596",1,1,1,0,0,0,1,0,0,0,0,1
"1160",0,0,1,0,1,0,1,0,0,1,1,1
"1158",1,1,0,0,1,1,1,0,1,1,0,0
"1152",0,1,1,0,1,0,0,1,0,1,0,1
"5172",0,0,0,0,0,0,0,0,0,0,0,0
"65010",1,1,0,0,0,1,0,0,0,0,1,1
"54675",1,1,1,1,1,1,0,1,0,1,0,1
"10559",1,1,1,1,1,1,1,0,1,0,1,0
"55907",0,0,0,0,0,1,1,1,1,0,1,0
"8034",0,1,1,0,0,1,0,1,0,1,0,1
"8824",1,1,1,1,1,1,0,1,1,1,1,1
"51805",1,0,1,0,1,1,0,1,0,1,1,1
"51004",0,0,0,1,1,1,1,0,1,0,1,0
"10229",0,1,1,0,1,1,1,1,1,1,0,0
"2650",0,1,1,1,0,0,1,0,1,1,0,1
"9245",0,0,1,0,1,1,0,1,0,1,0,1
"51301",1,1,1,1,0,0,0,1,1,1,0,1
"192134",0,0,0,0,0,0,0,0,0,0,0,0
"386757",1,1,1,0,1,0,0,1,0,1,0,1
"6535",1,1,1,0,1,0,0,1,0,1,0,1
"1384",1,0,0,0,1,1,0,0,1,1,1,0
"6583",0,0,1,0,1,1,0,0,0,1,0,0
"1431",1,1,1,1,1,1,1,1,1,1,1,1
