"","GSM900567","GSM900568","GSM900569","GSM900560","GSM900561","GSM900562","GSM1293941","GSM1293942","GSM1293943","GSM1293948","GSM1293949","GSM1293950","GSM2151972","GSM2151974","GSM2151976"
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",0,1,0,0,1,1,0,1,1,0,1,1,1,0,0
"219",1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
"239",1,1,0,1,0,1,0,0,0,1,1,1,1,0,0
"247",1,0,1,0,0,1,1,0,0,0,1,1,1,0,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"23600",1,1,0,0,1,0,1,0,0,0,1,1,0,0,0
"115286",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"271",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"272",0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",1,0,0,1,1,0,1,1,1,0,1,0,0,1,0
"278",0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
"277",0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
"279",0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
"280",0,0,1,1,1,0,0,0,0,0,1,1,0,1,0
"6519",1,0,0,1,1,0,1,1,0,1,0,1,1,0,0
"276",0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
"11136",1,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"10998",1,0,1,1,0,1,1,1,1,1,0,0,0,1,1
"113451",0,1,1,1,1,0,0,0,0,0,1,1,1,0,1
"9057",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"384",1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
"445",0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
"83884",1,1,0,0,1,1,0,0,0,0,1,1,1,0,0
"10166",1,0,0,0,1,1,1,1,1,1,0,0,1,0,1
"410",0,1,1,1,0,0,0,0,0,0,1,1,1,0,1
"427",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9963",1,0,0,0,1,0,0,1,1,1,1,1,0,1,0
"9962",1,0,1,1,1,0,0,0,0,1,1,1,0,1,0
"80150",1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
"440",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"790",1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
"6505",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"6512",0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
"6511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90423",0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
"528",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1
"525",0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245973",1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23545",1,0,0,1,0,0,1,1,1,1,0,0,0,1,1
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",0,1,1,0,0,1,1,1,1,1,0,0,1,0,1
"527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,0,1,0,0,1,1,1,1,0,0,0,1,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
"956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955",0,0,1,0,0,1,0,1,0,0,0,1,1,1,0
"953",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"954",1,0,1,1,1,0,0,1,0,0,1,1,0,0,1
"377841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",1,1,0,1,0,0,1,1,1,1,0,0,0,1,0
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
"8706",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10317",0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"84002",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"3141",1,0,0,1,1,0,1,0,0,1,0,0,1,0,1
"140679",1,0,1,1,1,0,1,0,1,0,1,0,0,0,1
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"8714",0,0,1,0,0,1,0,0,1,0,1,1,1,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",1,1,0,0,0,1,1,1,1,1,0,0,0,1,0
"644",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"9488",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10380",0,1,1,0,1,0,1,1,1,1,0,0,1,0,1
"686",0,0,1,1,0,1,0,0,0,0,1,1,0,1,1
"8884",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51733",0,1,1,1,1,0,1,1,1,0,1,0,1,0,1
"7108",1,1,0,1,1,0,1,1,1,0,0,0,1,1,0
