"","Transcriptomics","Final"
"6713",2,1
"2222",2,1
"6715",0,0
"6716",0,0
"15",0,0
"6532",0,0
"6487",0,0
"10402",0,0
"10610",0,0
"81849",0,0
"256435",0,0
"30815",0,0
"6489",0,0
"29906",0,0
"412",0,0
"6391",0,0
"6390",2,1
"6392",2,1
"6389",2,1
"6821",0,0
"6533",0,0
"5092",1,1
"23530",1,1
"79178",0,0
"6567",0,0
"1890",1,1
"55217",0,0
"7296",2,1
"11181",0,0
"80162",2,1
"7166",0,0
"121278",0,0
"169355",0,0
"6999",0,0
"6561",0,0
"6916",0,0
"7054",0,0
"7306",0,0
"10020",0,0
"29880",2,1
"7355",0,0
"7358",1,1
"23169",0,0
"80146",2,1
"5168",0,0
"84912",0,0
"3906",0,0
"7357",2,1
"11046",0,0
"54576",1,1
"54575",1,1
"54657",1,1
"54659",1,1
"54658",1,1
"54577",1,1
"54600",1,1
"54579",1,1
"54578",1,1
"7364",-1,0
"54490",0,0
"7367",0,0
"7365",-1,0
"10720",0,0
"7363",0,0
"54963",1,1
"7498",0,0
"9942",0,0
"64132",0,0
"64131",0,0
"51181",2,1
"64077",0,0
"5464",2,1
"10724",0,0
"94033",-1,0
"2495",2,1
"1356",0,0
"2512",2,1
"1727",1,1
"51706",1,1
"51700",0,0
"10587",0,0
"80347",0,0
"84618",0,0
"22978",2,1
"51251",2,1
"93034",0,0
"100526794",2,1
"353",2,1
"3251",2,1
"56954",2,1
"5313",1,1
"728441",1,1
"124975",0,0
"91227",0,0
"102724197",1,1
"92086",0,0
"2686",1,1
"5211",0,0
"1491",2,1
"2819",0,0
"29925",2,1
"29926",0,0
"102724560",0,0
"875",0,0
"249",0,0
"22934",2,1
"2766",0,0
"51292",0,0
"57571",0,0
"8833",0,0
"5538",2,1
"641371",0,0
"11332",0,0
"55825",1,1
"51102",1,1
"37",2,1
"33",0,0
"132158",0,0
"641649",0,0
"23475",0,0
"50484",1,1
"6240",2,1
"6241",1,1
"3156",2,1
"79966",1,1
"10588",2,1
"84890",2,1
"80025",0,0
"53354",0,0
"79646",2,1
"83594",0,0
"7263",0,0
"26275",2,1
"29920",2,1
"7389",0,0
"1595",2,1
"130367",2,1
"10478",2,1
"23443",1,1
"64240",0,0
"64241",0,0
"284111",0,0
"8435",1,1
"3988",1,1
"377677",0,0
"767",0,0
"765",0,0
"759",0,0
"760",2,1
"23632",0,0
"766",0,0
"771",0,0
"768",1,1
"762",1,1
"10057",0,0
"6556",1,1
"6568",0,0
"7779",2,1
"54020",0,0
"215",0,0
"5825",2,1
"641372",0,0
"9045",2,1
"4017",0,0
"84105",0,0
"25830",0,0
"84569",0,0
"4025",1,1
"54995",2,1
"93492",-1,0
"1267",1,1
"10249",0,0
"1573",0,0
"1580",0,0
"199974",0,0
"260293",0,0
"1555",0,0
"1549",0,0
"57834",0,0
"29785",0,0
"1215",0,0
"1357",0,0
"93979",0,0
"57094",0,0
"1358",0,0
"7177",0,0
"64499",0,0
"23430",0,0
"1636",0,0
"9365",0,0
"9331",0,0
"7368",0,0
"5315",2,1
"1666",0,0
"874",0,0
"10901",0,0
"126410",0,0
"2053",0,0
"8897",0,0
"8898",2,1
"9152",0,0
"9497",2,1
"115584",1,1
"6575",0,0
"6574",2,1
"142680",0,0
"6534",1,1
"3293",1,1
"1622",2,1
"225",0,0
"28965",0,0
"23205",0,0
"26061",2,1
"54716",0,0
"6564",0,0
"113235",1,1
"1200",2,1
"2168",0,0
"51056",2,1
"9390",0,0
"5184",2,1
"4891",0,0
"30061",0,0
"248",0,0
"4524",0,0
"25796",0,0
"28982",2,1
"6120",0,0
"10864",0,0
"9376",1,1
"9356",0,0
"348932",0,0
"120103",0,0
"1080",0,0
"85320",0,0
"222962",1,1
"10351",0,0
"9429",0,0
"55867",0,0
"364",0,0
"89872",0,0
"360",0,0
"21",1,1
"24",0,0
"125206",0,0
"200010",0,0
"6524",0,0
"159963",0,0
"55065",0,0
"79581",0,0
"3767",0,0
"6833",0,0
"10060",0,0
"3764",0,0
"5947",1,1
"64220",0,0
"5950",0,0
"5948",0,0
"949",1,1
"29881",0,0
"2350",0,0
"3248",0,0
"166929",0,0
"56261",2,1
"3658",0,0
"203",1,1
"122481",0,0
"159",2,1
"122622",0,0
"11212",2,1
"383",0,0
"1371",0,0
"1503",2,1
"56474",0,0
"2987",2,1
"5860",2,1
"9453",0,0
"2027",1,1
"2026",2,1
"2023",2,1
"9843",0,0
"80308",0,0
"7360",2,1
"26330",0,0
"2597",2,1
"9945",0,0
"2673",2,1
"2752",0,0
"51557",0,0
"1800",0,0
"2762",0,0
"2643",2,1
"761",0,0
"359",0,0
"4284",1,1
"361",0,0
"358",0,0
"362",0,0
"3145",1,1
"586",1,1
"3614",0,0
"3615",2,1
"682",0,0
"4351",0,0
"441024",1,1
"100287639",-1,0
"65220",2,1
"389015",-1,0
"6553",0,0
"2821",2,1
"5230",2,1
"5232",0,0
"375056",1,1
"5236",2,1
"55276",0,0
"5373",2,1
"5372",1,1
"210",0,0
"60490",0,0
"79717",2,1
"58510",0,0
"153201",-1,0
"5634",2,1
"5631",2,1
"221823",0,0
"29968",2,1
"5723",0,0
"55312",2,1
"6888",2,1
"79896",0,0
"84076",0,0
"7086",2,1
"8277",0,0
"27010",0,0
"7167",2,1
"286016",-1,0
"2582",0,0
"6675",2,1
"91373",0,0
"7390",0,0
"8170",0,0
"6563",0,0
"374569",0,0
"100507855",0,0
"55191",0,0
"132",0,0
"97",0,0
"98",0,0
"112611",0,0
"51005",1,1
"471",2,1
"435",0,0
"171425",0,0
"10007",2,1
"132789",2,1
"2584",1,1
"2585",0,0
"2592",0,0
"5471",2,1
"84264",0,0
"3034",0,0
"144193",0,0
"2739",2,1
"3613",0,0
"3612",2,1
"8776",2,1
"2978",0,0
"4953",2,1
"5214",2,1
"5213",0,0
"6569",1,1
"10050",0,0
"10568",0,0
"10786",0,0
"10246",0,0
"5198",2,1
"113675",0,0
"7298",0,0
"131669",0,0
"5973",1,1
"1635",2,1
"286297",1,1
"10560",2,1
"191",2,1
"10768",2,1
"25874",0,0
"51660",2,1
"57198",2,1
"5205",1,1
"23250",0,0
"286410",1,1
"5243",2,1
"55856",0,0
"7350",0,0
"26027",0,0
"10058",0,0
"51458",0,0
"948",0,0
"10928",0,0
"1728",0,0
"2946",1,1
"125981",1,1
"55331",0,0
"340485",-1,0
"2760",0,0
"5660",2,1
"57704",1,1
"4759",0,0
"10825",0,0
"7903",2,1
"5407",0,0
"119548",0,0
"5408",0,0
"221955",0,0
"9388",0,0
"13",0,0
"57104",1,1
"3991",0,0
"747",0,0
"8513",0,0
"5406",0,0
"2170",0,0
"2171",2,1
"2167",0,0
"2172",0,0
"646480",-1,0
"2173",0,0
"646486",-1,0
"2169",0,0
"6296",0,0
"341392",-1,0
"54988",0,0
"123876",0,0
"348158",0,0
"344967",-1,0
"154141",0,0
"51099",0,0
"253558",2,1
"84513",1,1
"64748",0,0
"9890",0,0
"9663",2,1
"196051",0,0
"79948",0,0
"23175",2,1
"64900",0,0
"85465",2,1
"122618",0,0
"201164",2,1
"23646",0,0
"590",0,0
"91012",0,0
"204219",0,0
"10715",0,0
"253782",1,1
"29956",2,1
"79603",1,1
"56624",0,0
"55757",0,0
"145173",0,0
"644974",-1,0
"56886",0,0
"152586",0,0
"55830",2,1
"170384",0,0
"283358",0,0
"148789",0,0
"2526",1,1
"84750",0,0
"644378",-1,0
"55624",0,0
"83468",0,0
"168391",0,0
"338707",0,0
"146664",0,0
"360203",-1,0
"56983",2,1
"3703",2,1
"124872",0,0
"8473",2,1
"8708",0,0
"2529",0,0
"8702",2,1
"8707",0,0
"200810",-1,0
"84752",0,0
"201595",2,1
"140687",0,0
"51228",2,1
"284004",2,1
"79411",0,0
"27090",0,0
"129807",0,0
"2524",0,0
"2528",0,0
"2527",0,0
