"","x"
"54600",0
"222962",0
"8228",1
"113278",0
"10351",0
"54981",1
"7364",0
"9429",0
"7367",0
"55867",0
"54490",0
"364",0
"7366",0
"6482",1
"360",0
"6484",2
"7363",0
"89872",0
"7365",0
"6483",0
"21",0
"10720",0
"24",0
"54963",1
"10057",1
"125206",0
"7498",0
"10090",0
"200010",0
"9653",1
"9942",0
"6524",0
"159963",0
"64131",2
"55065",2
"64132",0
"3423",1
"79581",1
"10060",0
"9957",0
"51181",3
"6833",0
"9951",0
"3764",0
"222537",0
"64077",1
"3767",0
"5464",3
"64220",0
"10724",2
"5950",0
"1356",1
"2495",2
"9956",0
"5947",0
"9955",0
"2512",2
"94033",0
"5948",0
"29881",0
"1727",3
"9953",0
"64711",1
"949",1
"2350",1
"55501",0
"51706",3
"3248",0
"51700",1
"166929",0
"10587",1
"166012",0
"113189",0
"56261",2
"50515",3
"80347",2
"3658",0
"93034",0
"84618",1
"411",1
"203",1
"22978",2
"122481",0
"100526794",1
"159",3
"51251",2
"23563",0
"122622",0
"10164",0
"353",3
"11212",3
"3251",3
"383",0
"9435",2
"1371",1
"4166",0
"56954",3
"1503",1
"9469",0
"56474",0
"8534",0
"1491",0
"5313",0
"92086",0
"2987",1
"56548",0
"5860",3
"9394",0
"728441",0
"124975",0
"9453",0
"2686",1
"2023",3
"2027",1
"90161",0
"91227",0
"2026",3
"102724197",0
"266722",0
"9843",0
"2799",1
"80308",1
"10157",0
"118881",0
"5211",3
"7360",3
"2819",0
"3176",0
"26330",0
"1757",0
"81537",0
"2597",3
"29926",0
"2673",2
"9945",1
"6652",1
"29925",0
"51557",0
"875",1
"6342",3
"2752",1
"102724560",1
"1800",1
"249",0
"9056",1
"2762",1
"10558",2
"2643",2
"22934",2
"761",1
"51292",2
"55304",0
"766",0
"9517",0
"2098",3
"8879",2
"2766",0
"771",2
"4284",0
"57571",0
"8869",0
"362",1
"358",1
"8833",2
"641371",0
"361",0
"5538",3
"56848",1
"359",0
"8877",1
"3145",0
"9374",0
"11332",2
"586",0
"55825",0
"130752",0
"51102",0
"3615",3
"3614",1
"37",3
"55512",2
"55627",2
"33",0
"682",1
"132158",0
"339221",0
"6609",1
"641649",0
"4351",1
"23475",2
"6610",0
"100287639",1
"259230",2
"93100",1
"441024",0
"50484",1
"65220",0
"6241",2
"116369",0
"115111",0
"389015",0
"6240",2
"6553",0
"3156",1
"284129",0
"2821",3
"115019",0
"5230",3
"79966",0
"5232",0
"375056",1
"10588",0
"5236",3
"26266",0
"84890",1
"55276",3
"6646",1
"5372",1
"6649",0
"55229",1
"5373",0
"79646",0
"80025",1
"53354",0
"6648",2
"6647",3
"6697",1
"6611",2
"83594",0
"7263",0
"26275",1
"6723",3
"6713",0
"2222",2
"210",2
"29920",1
"6715",0
"60490",1
"6716",0
"79717",2
"15",0
"7389",1
"58510",0
"1595",1
"130367",0
"6532",0
"153201",0
"10478",1
"221823",0
"23443",1
"5634",2
"64240",0
"6487",0
"5631",3
"29968",0
"64241",0
"284111",0
"8781",0
"8435",0
"5723",0
"3988",1
"55312",2
"6888",3
"79896",0
"8277",0
"768",1
"84076",0
"762",1
"765",0
"7086",3
"10402",0
"27010",0
"286016",0
"10610",0
"23632",0
"7167",3
"760",0
"256435",0
"2582",0
"30815",0
"81849",0
"767",0
"759",1
"91373",0
"377677",1
"31",0
"6675",0
"6556",0
"7390",1
"6563",0
"8170",0
"6568",0
"374569",0
"7779",0
"54020",1
"100507855",1
"285440",0
"55191",1
"132",2
"97",1
"98",0
"112611",0
"51005",0
"471",3
"435",0
"171425",0
"132789",0
"10007",3
"2585",1
"2584",0
"2592",1
"5471",0
"84264",0
"3034",0
"144193",0
"2739",3
"8776",2
"3612",3
"3613",0
"2978",1
"4953",1
"5213",0
"5214",3
"10050",1
"10786",0
"10246",0
"6569",0
"10568",0
"5198",1
"113675",0
"7298",2
"215",0
"5825",1
"641372",0
"9045",3
"4017",0
"84105",1
"25830",0
"84569",0
"4025",0
"54995",0
"93492",0
"1267",2
"10249",1
"1549",0
"1580",0
"1573",0
"29785",0
"199974",0
"57834",0
"1555",0
"260293",0
"1215",1
"57094",0
"1357",0
"1358",0
"93979",0
"23430",0
"7384",3
"7388",2
"7386",3
"29796",3
"7385",3
"1537",3
"9481",0
"9016",0
"7352",0
"7351",3
"4726",2
"4729",3
"4541",1
"4719",2
"4713",3
"4718",2
"7991",0
"126328",2
"4539",1
"4731",0
"4694",3
"4705",3
"4704",3
"4695",2
"4696",1
"4707",3
"4711",2
"4712",1
"4702",3
"4537",2
"4710",3
"4700",3
"4538",2
"4708",2
"4709",3
"4715",3
"4535",2
"131669",0
"79644",1
"5973",0
"4698",2
"55967",3
"1646",0
"4701",3
"4540",1
"1635",2
"158160",1
"286297",0
"10560",0
"4717",1
"374291",0
"8630",0
"4724",3
"4723",3
"191",3
"10768",3
"51170",3
"51144",1
"83401",0
"25874",2
"4720",3
"79993",1
"4697",3
"4728",3
"51660",3
"64834",2
"57198",1
"4725",3
"201562",1
"5205",0
"51495",3
"23250",0
"4706",3
"9200",1
"192286",2
"286410",0
"401494",1
"5243",0
"55856",3
"9524",3
"54539",1
"7350",0
"253017",0
"4716",3
"283985",0
"3995",0
"4536",1
"26027",0
"10058",1
"1155",3
"4714",2
"4722",3
"123096",0
"51079",3
"51458",1
"948",0
"114571",0
"1339",0
"57016",0
"10928",1
"79707",0
"1728",2
"1345",3
"79672",2
"1329",3
"2946",0
"9917",1
"55331",1
"341947",0
"125965",1
"55277",0
"125981",0
"340485",0
"64122",1
"1327",3
"92370",0
"4513",3
"2760",1
"1346",0
"93650",0
"5660",3
"390928",0
"57704",1
"4759",1
"1347",3
