"","GSM2859419","GSM2859447","GSM2859476","GSM2859511","GSM3319770","GSM3319879","GSM3319880","GSM3319893","GSM3319899","GSM2302911","GSM2302912","GSM2302915","GSM2302918","GSM2302919","GSM2302922","GSM2302923","GSM2616452","GSM2616676","GSM2616686","GSM2616689","GSM2616692"
"64850",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"64902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"3073",1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
"10606",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8402",1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"1468",0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"64849",0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"1645",0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1
"1109",0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"6718",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6510",1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0
"6509",1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"56301",0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"6520",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
"211",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"23464",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
"212",1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6541",1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0
"84889",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"340024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11254",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
"55089",1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
"2875",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
"84706",0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
"92745",0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"10991",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"284273",0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0
"10327",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
"217",0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
"219",1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"239",0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"8574",1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"23600",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
"115286",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"271",1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1
"272",1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
