"","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"6581",0,0,0,0,1,1
"669",1,1,1,0,1,1
"5224",1,1,1,1,1,1
"5223",1,1,1,1,1,1
"4597",1,1,1,0,1,1
"51071",1,1,1,1,0,1
"1806",1,1,1,1,1,1
"7083",1,1,1,0,0,1
"7084",1,0,1,0,1,1
"1854",1,1,1,1,1,1
"3704",1,1,1,1,1,1
"10682",1,1,1,1,1,1
"1892",1,1,1,1,1,1
"549",0,1,1,0,1,1
"1962",1,0,0,0,0,1
"1891",1,1,1,1,1,1
"11001",1,1,0,1,1,0
"28231",1,0,0,0,1,0
"53919",1,1,1,1,1,1
"10257",0,1,0,0,1,0
"28232",0,1,0,1,0,1
"2109",0,1,0,1,1,0
"2108",1,1,1,1,1,1
"2110",0,0,1,1,1,0
"55500",1,0,1,0,0,0
"55224",1,1,1,0,0,0
"8790",0,1,0,1,0,0
"51086",0,1,0,0,0,0
"2181",1,1,1,0,1,0
"2180",0,1,1,0,0,1
"2182",1,0,0,0,1,0
"81616",1,1,1,1,1,1
"51703",1,1,1,1,1,1
"23305",1,1,0,1,0,1
"116285",1,0,0,0,0,0
"5167",0,1,0,0,1,0
"5169",0,1,0,0,0,1
"6785",1,0,0,1,1,1
"60481",1,1,1,1,1,1
"54898",1,1,1,1,1,1
"79071",1,1,0,1,0,1
"1579",1,1,1,1,1,1
"2194",0,0,0,1,1,1
"10999",0,1,1,1,0,1
"376497",1,0,0,0,1,0
"230",0,1,1,1,1,1
"226",1,1,1,0,1,0
"229",0,0,0,0,1,0
"5208",1,0,0,0,0,1
"5207",0,1,0,0,0,0
"2203",1,0,1,1,1,0
"5210",0,1,0,0,1,1
"5209",1,0,0,1,1,0
"8789",1,1,1,1,1,1
"2235",1,1,0,0,0,0
"10840",1,1,1,1,1,1
"79901",0,0,1,0,0,1
"197258",1,0,1,0,1,1
"125061",1,1,1,0,0,0
"1719",0,0,1,1,0,1
"2356",1,1,1,1,1,1
"155184",1,1,1,1,1,1
"29988",1,1,1,0,1,0
"66035",1,1,0,1,0,0
"6518",1,1,1,1,1,1
"6514",1,1,1,1,1,1
"160428",0,1,0,1,0,0
"25902",0,1,1,1,0,0
"4522",1,1,1,0,0,0
"2519",1,0,1,1,0,1
"2517",1,1,1,0,0,0
"2184",0,1,1,0,1,0
"2271",1,1,1,1,1,1
"2523",1,1,1,1,1,1
"2525",1,1,1,1,1,1
"10690",1,1,1,1,1,1
"2683",1,1,1,1,1,1
"9334",0,1,1,1,0,1
"8704",0,0,1,1,0,1
"8703",1,1,1,1,1,1
"2820",0,1,0,1,1,1
"5832",1,1,1,1,1,1
"9563",0,1,0,1,1,1
"2539",1,1,1,1,1,1
"2542",1,0,1,1,1,0
"2593",1,1,1,1,1,1
"9514",0,0,0,0,0,1
"5476",1,1,1,1,1,1
"2720",1,1,1,1,1,1
"2588",0,1,1,0,0,1
"2581",1,1,0,0,1,1
"2583",1,1,1,1,1,1
"55454",1,1,1,1,1,1
"55790",1,1,1,1,1,1
"79586",0,1,0,1,1,0
"337876",1,1,1,1,1,1
"22856",0,1,1,0,0,1
"63917",1,1,1,0,0,0
"11226",0,1,0,0,1,0
"55568",0,0,1,1,0,1
"2589",0,0,0,1,1,1
"51809",1,0,0,1,1,0
"8693",0,0,0,0,1,1
"2591",1,0,1,1,0,1
"117248",0,0,0,0,1,0
"26290",0,0,1,1,1,1
"114805",1,1,1,1,1,1
"79695",1,0,0,1,0,1
"50614",0,1,0,0,1,0
"79623",1,1,1,1,1,1
"2590",1,0,1,1,1,1
"11227",1,0,0,0,1,0
"81031",1,1,1,1,1,1
"126792",0,0,0,1,1,1
"11285",0,1,1,1,1,0
"8972",1,1,1,1,1,1
"175",1,1,1,1,1,1
"26301",0,0,0,1,0,0
"4329",1,0,0,1,1,1
"7915",1,0,1,0,1,0
"2731",0,0,0,1,1,1
"275",1,1,1,1,1,1
"2653",1,1,0,1,0,0
"2651",1,0,0,0,1,1
"55343",0,1,0,0,1,1
"8836",1,1,0,0,1,0
"79017",1,1,0,0,1,1
"8908",1,1,1,1,1,1
"2992",1,1,1,1,1,1
"2997",1,1,1,1,1,1
"2998",1,1,1,1,1,1
"2687",1,1,1,1,1,1
"6472",1,1,1,1,1,1
"6470",1,1,1,0,0,1
"2717",1,0,0,1,1,1
"2632",0,0,1,0,1,1
"2990",1,1,1,1,1,1
"8372",0,1,1,0,1,1
"26035",0,0,1,1,0,1
"54480",1,1,1,0,1,1
"2131",0,0,1,1,1,1
"2132",0,1,1,0,0,0
"27087",1,1,1,0,0,0
"26229",1,1,1,1,1,1
"135152",1,0,0,1,1,0
"4669",0,1,1,1,1,0
"64579",0,0,0,0,0,1
"9348",1,1,1,1,1,1
"8509",0,1,1,0,1,1
"3340",0,0,0,0,0,1
"2137",1,0,0,1,0,0
"2135",1,0,1,1,1,1
"2134",0,0,1,0,1,0
"144195",1,0,0,1,0,0
"154091",1,1,1,1,1,1
"11182",0,1,1,0,0,0
"56606",1,0,1,0,1,0
"6523",0,0,0,1,0,0
"178",1,0,1,0,0,1
"5837",0,0,0,1,0,1
"5834",1,1,1,1,1,1
"5836",0,0,1,0,0,0
"2729",1,0,0,1,0,1
"2730",0,0,1,1,1,0
"2746",1,1,1,1,1,1
"2747",0,1,1,0,0,0
"10841",0,1,0,0,0,0
"27165",0,0,1,1,0,1
"2744",0,0,0,1,0,1
"79751",1,0,1,0,0,1
"83733",1,1,1,1,1,1
"2639",0,1,0,1,1,0
"57084",1,1,1,1,1,1
"57030",0,1,0,1,1,0
"246213",1,1,1,1,1,1
"51179",1,1,1,1,1,1
"54363",1,1,1,1,1,1
"2628",0,0,0,0,1,0
"9380",1,1,1,1,1,1
"2712",1,1,1,1,1,1
"2713",0,1,0,0,0,0
"2710",1,1,0,0,1,1
"3029",1,1,1,1,1,1
"6536",1,1,1,1,1,1
"5226",1,1,1,1,1,1
"27232",1,0,0,0,1,0
"57678",0,0,1,1,1,1
"80055",0,0,0,1,1,1
"54965",0,1,0,0,1,1
"93183",0,0,1,1,0,1
"2936",0,1,0,0,1,1
"2876",1,1,1,1,1,1
"7001",1,1,1,1,1,1
"5052",1,1,1,1,1,1
"2879",1,1,1,1,1,1
"2877",0,0,1,0,1,0
"257202",1,1,1,1,1,1
