"","GSM663128","GSM663132","GSM1511438","GSM1511439","GSM1511440","GSM1511441","GSM1511442","GSM1511443","GSM1906878","GSM1906879","GSM1906880"
"2181",0,1,0,1,0,0,1,1,0,0,1
"2180",0,1,0,0,1,1,0,1,0,1,0
"2182",0,1,0,1,0,0,0,1,1,0,1
"81616",0,0,1,0,0,0,0,0,0,0,0
"51703",1,1,1,1,1,1,1,1,1,1,1
"23305",1,0,0,0,1,1,1,1,1,0,0
"116285",0,1,1,1,0,0,0,1,0,1,0
"5167",0,0,0,0,0,1,0,0,0,0,0
"5169",0,0,0,0,0,0,0,0,0,0,0
"6785",1,0,0,0,1,1,0,1,1,1,0
"60481",1,1,1,1,1,1,1,1,1,1,1
"54898",0,0,1,0,0,0,0,0,0,0,0
"79071",1,0,1,1,0,1,0,0,1,0,0
"1579",0,1,1,1,0,0,0,0,0,1,0
"2194",1,0,1,1,1,0,1,1,1,0,1
"10999",1,0,1,1,1,0,0,0,1,0,0
"376497",1,0,1,1,0,0,1,0,0,1,0
"230",0,1,0,1,1,0,1,0,0,1,0
"226",1,1,1,1,1,1,1,1,1,1,1
"229",0,0,0,0,0,0,0,0,0,0,0
"5208",0,0,0,0,0,0,0,0,0,0,0
"5207",0,1,1,1,0,0,0,1,0,0,1
"2203",1,0,1,0,0,0,1,1,1,1,0
"5210",1,0,1,1,0,0,0,0,1,0,1
"5209",1,1,1,1,1,1,1,1,1,1,1
"8789",0,0,0,0,0,0,0,0,0,0,0
"2235",0,1,0,1,1,1,1,1,1,0,0
"10840",0,1,1,1,0,0,0,1,1,0,0
"79901",0,0,0,0,1,0,0,0,0,0,0
"197258",1,0,0,0,1,0,1,1,1,0,0
"125061",1,0,1,1,0,0,0,0,1,0,1
"1719",0,1,0,0,1,1,1,1,1,0,0
"2356",0,1,1,1,1,0,0,0,1,0,1
"155184",0,0,0,0,0,0,0,0,0,0,0
"29988",1,0,1,0,0,0,0,1,1,0,0
"66035",0,1,0,1,1,0,1,0,1,0,1
"6518",1,0,1,1,1,0,0,0,1,1,0
"6514",0,0,0,1,0,0,0,0,0,0,0
"160428",0,0,0,0,0,0,0,0,0,0,0
"25902",0,1,0,0,1,1,0,1,0,0,1
"4522",0,1,1,1,1,0,0,0,0,1,0
"2519",0,1,0,0,1,0,1,1,1,0,1
"2517",1,0,0,1,1,0,0,1,1,0,0
"2184",1,0,1,0,0,1,1,0,1,1,0
"2271",0,1,0,1,0,1,1,1,1,0,0
"2523",1,0,1,1,1,0,0,0,1,1,0
"2525",1,0,0,1,1,0,1,1,1,1,0
"10690",0,0,0,0,0,0,0,0,0,0,0
"2683",1,1,1,1,1,1,1,1,1,1,1
"9334",1,1,1,1,1,1,1,1,1,1,1
"8704",1,0,1,1,1,0,0,0,0,1,0
"8703",1,0,0,0,1,1,0,1,1,0,0
"2820",0,1,0,0,0,1,1,1,1,0,1
"5832",0,1,0,1,1,1,1,1,1,0,1
"9563",0,1,1,1,0,0,0,0,1,1,0
"2539",0,1,0,0,0,0,1,1,0,1,0
"2542",1,0,1,1,1,0,0,0,1,0,0
"2593",1,0,1,1,0,0,0,0,0,1,0
"9514",0,1,1,1,0,0,0,0,1,0,0
"5476",1,1,1,1,1,1,1,1,1,1,1
"2720",1,1,1,0,1,1,1,1,1,1,1
"2588",0,1,0,0,1,1,1,1,0,1,1
"2581",1,1,0,1,1,1,1,1,1,1,1
"2583",1,0,1,0,1,0,1,0,1,1,0
"55454",1,1,1,1,1,1,1,1,1,1,1
"55790",1,1,0,0,1,1,1,1,1,1,1
"79586",1,0,1,0,1,0,1,0,1,0,1
"337876",0,0,0,0,0,0,0,0,0,0,0
"22856",1,1,0,1,1,1,1,1,1,1,1
"63917",1,1,1,1,1,1,1,1,1,1,1
"11226",1,0,0,1,0,1,0,1,1,0,1
"55568",1,0,1,1,0,0,0,1,1,0,0
"2589",0,1,0,1,1,1,1,1,1,1,1
"51809",0,1,0,0,1,1,1,1,1,0,0
"8693",1,0,0,0,1,1,1,1,1,0,1
"2591",0,1,0,1,0,0,1,1,1,0,1
"117248",0,0,0,0,0,0,0,0,0,0,0
"26290",1,0,1,0,0,0,1,1,0,1,1
"114805",0,0,0,0,0,0,0,0,0,0,0
"79695",0,1,0,0,1,1,0,1,1,1,0
"50614",1,0,1,1,0,0,0,0,0,1,0
