"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"2731",0,1,0,1,0,0,1,0,0,1,1
"29988",1,0,1,1,0,0,0,1,0,0,1
"275",1,0,0,0,1,0,1,1,1,1,0
"2653",0,0,0,1,1,1,1,0,0,1,1
"1609",0,0,1,1,1,0,1,1,1,0,0
"155184",0,0,0,0,0,1,0,0,0,0,0
"2651",1,0,0,1,1,0,1,0,0,1,1
"6514",0,0,0,0,0,0,0,0,0,0,0
"6518",1,0,0,0,0,0,1,1,0,1,0
"8525",1,1,1,1,1,1,1,1,1,1,1
"66035",1,0,1,1,1,0,1,0,0,1,1
"55343",1,0,0,0,1,1,0,1,1,0,0
"7264",1,1,1,1,1,1,1,1,1,1,1
"160428",0,1,1,0,0,0,1,0,0,1,1
"8836",0,0,0,1,1,0,1,0,1,1,0
"4522",0,1,0,1,1,1,1,1,1,0,0
"25902",1,0,0,1,1,0,1,1,1,1,0
"1608",0,1,0,0,0,0,0,1,0,1,1
"79017",1,1,1,1,1,1,1,1,1,1,1
"2519",1,0,1,0,0,0,0,0,0,1,1
"2997",0,1,0,0,1,1,1,1,0,0,0
"160851",0,1,0,0,1,1,1,0,1,0,1
"9162",0,0,0,0,0,0,0,0,0,0,0
"2184",0,1,1,0,0,1,1,1,1,0,0
"8527",1,1,1,1,1,0,1,1,1,1,0
"8908",1,0,0,0,1,0,1,0,0,0,0
"2271",1,1,1,1,1,1,1,1,1,1,1
"2992",1,1,1,0,1,0,1,1,1,1,1
"2523",1,1,1,1,1,1,1,1,0,1,1
"8526",1,0,0,0,1,1,0,0,1,1,1
"2998",0,0,0,0,0,0,0,0,0,0,1
"2525",0,0,0,0,1,0,1,1,1,0,1
"2687",0,0,0,0,0,0,0,0,0,0,0
"6470",0,0,0,1,0,1,1,1,1,0,0
"1606",1,1,1,1,1,1,1,1,1,1,1
"6472",1,1,1,1,1,1,1,1,1,1,1
"10690",0,0,0,0,0,0,0,0,0,0,0
"9334",0,0,0,1,1,0,0,1,0,0,0
"8704",1,0,0,0,0,0,1,1,0,1,0
"2717",1,1,0,0,0,1,1,1,1,0,0
"8703",1,1,1,1,1,1,1,1,1,1,1
"2632",0,0,0,1,1,1,0,0,1,1,0
"2683",1,1,1,1,1,1,1,1,1,1,1
"2820",1,1,0,0,0,1,1,0,0,1,1
