"","GSM663126","GSM663130","GSM1511432","GSM1511433","GSM1511434","GSM1511435","GSM1511436","GSM1511437","GSM1906875","GSM1906876","GSM1906877"
"292",1,1,1,1,1,1,1,1,1,1,1
"4126",1,0,1,1,1,1,0,0,1,0,0
"8706",0,0,0,0,0,0,0,0,0,0,0
"10317",1,0,0,1,1,0,1,1,0,1,0
"84002",0,0,1,0,0,1,0,0,0,0,0
"3141",0,1,1,1,0,0,1,0,0,1,1
"140679",1,0,1,1,0,0,1,0,1,0,1
"8424",0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,0,0,0,0,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,1,0,1,1,1,0,0,1,1
"8714",1,0,0,1,0,0,1,0,1,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0
"645",0,1,0,1,1,1,1,0,0,0,1
"644",1,1,1,0,1,1,1,1,1,1,1
"9488",1,1,1,1,1,1,1,1,1,1,1
"10380",0,1,1,0,1,0,1,1,1,1,0
"686",0,1,1,0,1,0,1,1,1,0,1
"8884",1,1,1,1,1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0
"51733",1,0,1,1,1,0,1,0,0,1,0
"7108",1,0,0,1,1,0,1,1,1,0,1
"50814",0,1,0,1,1,1,0,0,0,1,1
"3295",1,1,1,0,1,1,1,1,1,1,1
"6307",1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0,0,0,0,0
"491",1,0,1,0,0,0,0,0,0,0,0
"490",1,1,1,1,1,1,1,1,1,1,1
"847",1,1,1,0,1,1,0,1,1,1,1
"6543",1,0,1,0,0,0,0,1,0,1,1
"6547",0,1,0,1,0,1,0,0,1,0,1
"6546",0,0,0,0,0,0,0,0,0,0,0
"166785",0,1,0,0,0,1,1,0,1,0,0
"2538",0,0,0,0,0,0,0,0,0,0,0
"92579",0,1,0,0,1,1,0,0,1,1,0
"1373",0,0,0,0,0,0,0,0,0,0,0
"873",1,0,1,0,1,0,0,1,1,0,0
"10423",1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1
"1040",0,1,0,0,0,1,1,1,0,1,0
"56994",1,0,1,1,0,0,0,1,0,1,1
"10390",1,1,1,1,1,1,1,1,1,1,1
"64781",1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,1,0,1,1,1,1,1,1,1
"6565",0,0,0,0,0,0,0,0,0,0,0
"9023",0,1,0,0,0,0,1,0,0,0,0
"1103",0,1,0,1,0,0,1,0,1,0,1
"162466",1,0,0,1,0,0,0,0,1,0,0
"9468",0,0,0,0,0,0,0,0,0,0,0
"5130",1,1,1,1,1,1,1,1,1,1,1
"6579",0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0
"6554",0,1,0,0,1,1,1,0,0,1,0
"55349",0,1,1,0,1,0,0,0,1,0,1
"1120",0,1,1,0,0,1,1,1,1,1,1
"1119",0,1,1,0,0,1,0,0,0,1,1
"60482",0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,0,0,0,0,0,0,0,0,0
"6584",0,1,0,0,0,1,1,1,1,0,0
"6820",1,0,1,1,1,0,0,0,1,0,0
"10948",0,1,1,1,1,0,1,1,1,0,0
"19",0,1,1,0,1,0,0,1,0,1,0
"1118",0,1,0,1,0,0,1,0,1,1,0
"27159",1,0,1,1,0,0,0,0,0,0,1
"54682",0,0,0,0,0,0,0,0,0,0,0
"9058",0,1,1,1,0,0,1,0,0,1,1
"6576",1,0,1,1,0,1,1,1,1,0,1
"1159",0,1,1,0,0,0,0,1,0,0,0
"548596",0,1,1,0,0,0,0,1,0,0,0
"1160",1,0,1,0,1,0,0,1,0,0,0
"1158",0,0,0,0,0,0,0,0,0,0,0
"1152",0,1,0,1,1,0,0,0,0,1,0
"5172",0,0,0,0,0,0,0,0,0,0,0
"65010",1,0,0,0,1,1,0,0,1,0,1
"54675",1,0,0,0,1,1,0,1,1,0,0
"10559",1,1,1,0,0,1,1,1,1,1,1
"55907",1,0,0,0,1,1,1,1,1,1,1
"8034",0,1,1,1,0,1,0,0,1,1,0
"8824",1,1,0,0,0,1,1,1,1,1,1
"51805",1,0,1,0,0,1,0,1,1,1,0
"51004",0,1,0,1,1,1,1,0,1,0,0
"10229",0,1,0,1,1,1,0,0,0,0,1
"2650",0,1,0,0,1,0,1,1,1,0,1
"9245",0,1,0,1,0,0,1,0,1,0,0
"51301",1,0,1,0,0,1,1,1,0,1,0
"192134",1,0,1,1,0,0,0,0,0,1,0
"386757",1,0,1,0,0,0,1,0,1,0,0
"6535",1,0,0,0,0,0,1,0,1,0,0
"1384",0,1,0,1,0,0,1,1,1,0,0
"6583",0,0,0,0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1,1,1,1
"54677",0,1,0,1,0,1,1,0,1,0,0
"8140",0,1,1,1,1,0,1,1,1,1,1
"23428",1,0,1,0,0,0,1,0,0,0,1
"1036",0,0,0,0,0,0,0,0,0,0,0
"23657",0,0,0,0,0,0,0,0,0,0,0
"57379",0,0,0,0,0,0,0,0,0,0,0
"978",0,1,1,1,1,0,0,0,1,0,1
"7371",1,0,1,1,1,0,0,1,1,0,1
"83549",1,1,1,1,1,0,1,1,1,1,1
"51727",1,1,1,1,1,1,1,1,1,1,1
"129607",0,1,0,0,1,0,0,0,1,1,1
"160851",1,0,1,1,0,1,0,0,0,1,1
"8526",1,0,0,1,0,1,0,1,0,1,1
"1606",1,1,1,1,1,1,1,1,1,1,1
"8527",1,1,1,1,1,1,1,1,1,1,1
"1607",0,0,0,0,0,0,0,0,0,0,0
"1608",0,1,0,0,0,0,0,1,0,0,0
"1609",1,0,1,1,1,0,0,0,1,0,0
"8525",1,0,0,1,0,1,1,1,1,0,0
"9162",0,0,0,0,0,0,0,0,0,0,0
"1610",0,0,0,0,0,0,0,1,0,0,0
"51022",0,1,1,1,0,0,1,0,0,1,0
"2745",1,1,1,0,1,1,1,1,1,1,1
"8528",0,0,0,0,0,0,0,0,0,0,0
"10455",1,0,0,0,1,1,0,1,1,0,0
"1632",0,1,1,0,0,1,0,1,1,0,0
"1633",1,1,1,1,1,1,1,1,1,1,1
"1638",0,0,0,0,0,0,0,0,0,0,0
"6319",0,1,0,0,1,0,1,1,0,1,1
"9415",1,0,0,1,0,0,1,0,1,1,0
"3992",1,0,1,0,1,1,0,0,0,0,1
"8694",1,1,0,1,1,1,1,1,1,1,1
"84649",0,1,0,1,0,0,1,1,1,0,1
"1716",1,1,1,0,1,1,1,1,1,1,1
"6513",1,0,0,1,0,0,1,1,1,0,0
"6517",0,1,1,0,1,1,1,0,0,1,0
"6515",1,1,1,1,1,1,1,1,1,1,1
"1718",0,1,0,0,1,0,0,0,0,1,0
"1581",0,0,0,0,0,0,0,0,0,0,0
"1717",0,1,0,1,1,1,0,1,1,0,0
"8560",1,1,1,1,1,1,1,1,1,1,1
"123099",0,1,1,1,1,0,0,0,1,1,0
"11309",1,0,0,1,0,0,1,0,0,1,0
"6783",0,0,0,0,0,0,0,0,0,0,0
"1723",1,0,1,0,0,1,0,1,0,1,0
"1809",0,0,0,0,0,0,0,0,0,0,0
"1808",1,1,0,1,1,1,1,0,1,1,1
"1807",0,0,0,0,0,0,0,0,0,0,0
"23539",1,0,1,0,0,0,1,1,1,0,0
"2224",1,1,1,1,1,1,1,1,1,1,1
"29958",0,0,0,0,0,0,0,0,0,0,0
"60386",0,1,0,0,0,1,1,0,1,0,0
"84920",0,1,1,0,1,1,0,1,1,1,0
"79087",1,0,1,1,1,0,1,0,1,0,0
"26002",0,0,0,0,0,0,0,0,0,0,0
"1621",0,1,0,0,0,0,1,1,1,0,1
"7299",0,0,0,0,0,0,0,0,0,0,0
"6530",1,0,1,1,0,0,1,0,1,0,1
"6581",0,0,0,0,0,0,0,0,0,0,0
"669",0,1,0,0,1,1,0,0,0,0,1
"5224",0,1,0,1,1,0,1,1,1,0,1
"5223",1,1,1,1,1,1,1,1,1,1,1
"4597",0,1,1,1,0,1,0,0,1,0,0
"51071",1,0,0,0,0,1,1,1,1,0,1
"1806",0,1,1,0,1,0,0,1,0,1,1
"7083",0,1,0,1,0,1,0,1,0,0,1
"7084",1,0,1,0,0,0,1,0,1,0,0
"1854",1,1,1,1,1,1,1,1,1,1,1
"3704",1,1,1,0,1,1,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1,1,1,1
"1892",1,1,1,1,1,1,1,1,1,1,1
"549",0,1,0,0,1,1,0,1,1,0,0
"1962",0,0,0,0,0,0,0,0,0,0,0
"1891",1,1,1,1,1,1,1,1,1,1,1
"11001",0,0,0,0,1,0,0,0,0,0,0
"28231",1,0,0,1,1,1,0,0,1,0,1
"53919",0,0,0,0,0,0,0,0,0,0,0
"10257",0,1,1,0,0,1,0,0,1,0,0
"28232",1,1,1,1,1,1,1,1,1,1,1
"2109",1,1,1,1,1,1,1,1,1,1,1
"2108",1,0,0,0,1,0,1,1,0,1,1
"2110",1,0,0,0,1,1,1,0,1,0,1
"55500",1,1,1,1,1,1,1,0,1,1,1
"55224",0,1,1,1,0,0,1,0,1,0,1
"8790",0,0,0,0,0,0,0,0,0,0,0
"51086",0,0,0,0,0,0,0,0,0,0,0
"2181",0,1,0,1,0,1,0,1,0,1,0
"2180",0,1,0,0,1,1,1,0,0,1,1
"2182",0,1,1,1,0,1,0,0,1,0,0
"81616",0,0,0,0,0,0,0,0,0,0,0
"51703",1,1,1,1,1,1,1,1,1,1,1
"23305",1,0,1,0,0,1,1,1,0,1,0
"116285",0,0,0,0,0,0,0,0,0,0,0
"5167",0,0,0,0,0,0,0,0,0,0,0
