"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"TMED5",37,1,6,0,4,0,0,33,8,1,10,1,21,5,2,2,4,2,171,13,5,6,8
"CCDC18",10,0,1,0,0,0,0,4,4,0,2,0,0,1,0,0,0,1,42,1,0,0,0
"DR1",15,6,2,2,2,0,0,27,20,0,3,0,22,4,2,1,1,1,101,6,3,3,9
"FNBP1L",0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,51,0,0,0,0
"BCAR3",1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,90,0,0,0,1
"RP5-1033H22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
"DNTTIP2",24,5,6,6,8,1,0,44,27,2,6,1,49,13,2,2,2,2,131,3,1,4,8
"GCLM",8,4,1,1,0,1,1,43,16,0,1,0,23,14,0,1,0,2,72,0,0,3,4
"ARHGAP29",0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34
"ABCD3",5,0,2,0,3,0,1,5,10,0,2,0,3,0,0,0,0,0,126,0,0,0,2
"F3",0,0,0,0,0,0,0,183,0,0,0,0,0,0,3,0,0,0,24,0,1,0,0
"SLC44A3",0,0,0,0,0,0,1,17,0,0,0,0,1,0,0,0,0,0,222,0,0,0,0
"CNN3",0,0,0,0,0,0,13,223,0,1,0,0,3,0,16,0,0,0,501,0,0,0,68
"RP4-639F20.1",1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0
"ALG14",11,0,2,0,1,0,0,38,0,0,0,2,2,1,0,0,0,0,219,14,1,0,2
"TMEM56",0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,73,0,1,0,0
"RWDD3",2,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,24,0,0,1,2
"PTBP2",0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,12,0,0,0,2
"DPYD",11,0,1,0,0,0,0,11,4,0,1,0,2,1,0,0,0,0,13,0,0,0,0
"SNX7",0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,393,0,0,0,5
"PALMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"AGL",1,0,0,0,0,0,0,9,4,0,0,0,5,1,1,0,0,0,39,0,0,0,4
"RP5-884G6.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"SLC35A3",6,1,0,0,0,0,0,7,7,0,4,0,5,17,0,1,0,0,330,0,0,0,2
"SASS6",5,0,0,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,36,0,0,0,2
"TRMT13",8,0,2,0,1,0,0,19,7,0,3,1,15,3,1,1,0,0,46,2,1,0,0
"DBT",4,1,1,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,70,0,0,0,1
"RTCA",30,1,11,1,2,0,0,30,14,0,6,1,16,4,0,2,0,2,184,16,0,5,6
"CDC14A",1,0,0,0,0,0,0,1,1,4,0,0,10,4,0,1,0,0,26,0,0,1,0
"VCAM1",6,2,0,0,1,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EXTL2",6,0,0,1,1,0,0,17,2,0,1,0,2,0,0,0,0,0,22,1,0,0,1
"RP4-549L20.3",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"SLC30A7",14,0,0,0,1,0,0,5,3,0,2,0,3,2,0,0,0,0,42,3,0,0,3
"DPH5",13,0,0,0,0,0,0,23,4,1,0,1,12,4,1,0,1,0,84,0,0,0,3
"RP11-421L21.2",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"RP11-421L21.3",4,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,42,0,0,0,3
"RNPC3",1,5,0,0,0,0,0,11,1,0,0,0,4,1,0,0,0,0,27,0,0,0,2
"AMY2B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"PRMT6",1,0,0,0,0,0,0,11,6,0,0,0,4,5,1,0,0,2,40,2,0,0,0
"VAV3",2,0,0,0,1,0,0,0,5,0,1,2,0,1,0,0,2,1,217,0,0,0,2
"SLC25A24",8,0,2,0,0,0,0,13,3,1,0,0,11,0,0,0,0,0,143,0,0,0,2
"FAM102B",2,0,0,0,0,0,0,13,3,0,0,0,2,0,0,0,0,0,17,0,0,0,0
"HENMT1",17,1,5,0,3,0,0,5,18,0,2,0,13,3,0,1,1,1,31,4,0,0,2
"PRPF38B",40,7,2,1,9,3,0,66,41,0,11,0,65,16,5,4,6,4,320,17,1,17,19
"STXBP3",12,4,1,0,4,0,0,13,2,0,2,0,15,2,1,1,0,0,79,0,1,2,1
"GPSM2",1,0,0,1,2,0,0,6,0,0,0,0,1,0,0,1,0,0,107,0,0,0,0
"CLCC1",13,1,0,0,0,0,0,13,2,0,0,0,1,1,0,0,0,0,53,2,0,0,5
"WDR47",0,1,1,0,0,2,1,2,2,0,0,0,4,0,3,0,0,0,7,0,0,0,1
"TAF13",6,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,22,0,1,0,1
"RP5-1065J22.8",3,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,16,1,0,0,0
"TMEM167B",17,2,4,1,3,0,1,13,3,0,1,0,16,6,2,4,0,0,61,7,0,0,3
"KIAA1324",0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,246,0,0,1,0
"SARS",42,6,6,0,5,3,1,126,24,3,6,2,32,6,10,5,0,3,444,45,3,3,22
"PSRC1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"SORT1",6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,105,0,0,0,4
"PSMA5",209,10,26,5,22,5,1,102,64,1,16,4,93,39,2,8,5,8,1078,26,8,13,28
"ATXN7L2",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2
"CYB561D1",6,0,0,0,0,0,0,3,6,0,0,0,4,3,0,1,0,1,38,0,0,0,2
