"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"CACNA1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"CHDH",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0
"IL17RB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,1,0
"RP11-884K10.7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"ACTR8",5,1,0,0,0,0,0,8,0,0,0,1,0,0,5,3,0,1,0,1,91,0,0,0,0,4
"SELK",315,46,147,21,6,11,8,224,74,16,9,5,53,13,629,313,21,66,12,85,2475,2,49,2,64,156
"CACNA2D3",9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WNT5A",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"CCDC66",1,1,2,0,0,0,0,15,6,0,0,0,1,0,8,7,3,0,1,0,79,0,0,0,0,3
"FAM208A",3,0,3,0,0,0,0,11,1,0,0,0,0,0,7,2,0,0,0,2,56,0,0,0,1,0
"ARHGEF3",0,4,0,3,1,0,1,10,8,0,0,1,0,0,18,21,0,5,1,6,4,0,0,0,2,18
"HESX1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1
"APPL1",11,1,5,1,1,0,0,27,5,1,0,1,2,1,30,14,2,4,0,5,303,0,0,0,3,27
"PDE12",0,0,1,2,0,0,1,4,3,0,1,0,1,0,18,9,2,0,0,4,102,0,0,0,1,2
"ARF4",37,6,27,8,4,4,6,292,25,3,1,2,16,1,111,52,20,12,8,17,1423,1,23,5,8,107
"DENND6A",1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,20,1,0,0,0,2
"SLMAP",1,0,3,1,0,2,0,15,5,0,0,0,0,0,11,21,4,3,0,2,140,1,0,0,0,6
"FLNB",7,0,0,1,0,0,1,22,2,0,0,0,5,0,0,1,1,0,1,2,1862,1,0,0,0,25
"DNASE1L3",1057,0,223,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,9
"ABHD6",7,1,3,0,0,0,1,3,0,0,0,0,2,0,3,6,1,0,0,0,102,0,0,1,1,2
"RPP14",4,1,3,1,0,0,0,25,4,0,0,0,2,0,14,9,1,3,2,6,247,0,1,0,4,5
"PXK",4,0,3,2,0,0,0,54,1,0,0,0,0,1,7,12,2,3,1,2,38,0,0,0,1,5
"PDHB",26,4,9,6,0,1,4,136,17,1,1,4,8,4,73,40,12,4,0,13,1504,3,3,4,10,54
"KCTD6",7,0,4,0,0,0,0,22,1,1,0,0,0,0,6,6,1,2,1,1,66,1,0,0,0,5
"ACOX2",0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,3,0,0,0,112,0,0,0,0,1
"FAM107A",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"FAM3D",0,0,0,1,0,0,0,1,3,0,0,0,1,0,2,7,0,0,0,5,9109,0,0,0,0,13
"FHIT",6,0,2,0,0,0,0,23,0,0,0,0,0,0,0,1,0,1,0,1,199,1,1,0,0,7
"PTPRG",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,10
"C3orf14",4,0,1,0,0,0,1,18,0,0,0,0,0,0,4,1,2,0,0,0,50,0,0,0,0,3
"THOC7",25,7,11,5,1,1,4,69,17,4,3,0,11,2,80,50,3,5,0,18,1272,0,3,2,13,22
"ATXN7",3,1,3,4,0,1,0,6,2,2,1,0,1,0,14,11,0,0,0,2,125,0,0,0,4,2
"PSMD6-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"PSMD6",23,13,7,2,1,1,0,67,16,1,1,0,7,1,61,38,7,6,4,22,685,2,5,2,9,38
"PRICKLE2",0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"ADAMTS9",0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1
"ADAMTS9-AS2",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2
"MAGI1",0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,19
"SLC25A26",12,1,4,5,0,0,1,29,6,0,1,1,3,0,35,15,2,1,0,5,451,0,0,0,10,5
"LRIG1",1,1,0,0,0,0,0,11,1,0,0,0,0,0,1,1,0,3,0,2,182,0,0,0,1,3
"KBTBD8",2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,5,0,1,0,0,0
"SUCLG2",8,7,6,8,2,0,2,91,18,0,1,0,7,0,31,19,4,4,0,7,3043,1,0,2,6,27
"FAM19A1",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EOGT",1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,5
"TMF1",4,6,4,3,1,1,1,16,6,1,0,0,3,0,29,13,1,2,0,4,184,0,0,0,2,15
"UBA3",8,1,5,9,1,0,2,39,10,0,1,0,3,0,36,22,5,3,0,7,229,0,0,0,3,13
"ARL6IP5",86,24,51,31,4,5,8,216,106,7,6,3,32,2,386,239,14,25,15,94,1519,6,2,9,39,84
"LMOD3",0,0,0,0,0,0,0,3,1,0,0,0,1,0,10,1,0,1,0,1,0,0,0,0,2,0
"FRMD4B",18,0,14,0,0,1,0,1,2,1,0,0,1,0,20,4,0,4,1,1,83,0,0,0,6,10
"MITF",5,0,4,0,0,0,0,17,0,0,0,0,16,0,0,0,1,0,0,0,4,1,0,1,0,1
"FOXP1",7,1,0,2,0,0,0,30,7,1,0,0,11,1,33,10,2,4,0,3,487,0,0,1,7,34
"RP11-154H23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"EIF4E3",0,2,0,0,0,0,0,5,2,0,0,0,0,0,7,4,0,0,0,0,82,0,0,0,1,0
"PROK2",0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,3,0,0,0,1,0,0,0,0,1,0
"LINC00877",1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RYBP",3,0,1,0,0,0,0,17,3,0,0,0,2,0,4,1,3,0,0,4,128,0,0,0,0,9
"SHQ1",0,2,0,0,0,0,1,1,3,0,0,0,0,0,3,7,0,0,0,3,70,0,0,0,1,7
"GXYLT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"PPP4R2",3,5,5,2,0,0,1,22,6,0,0,0,1,1,32,13,2,4,2,4,332,1,1,2,2,22
"EBLN2",0,1,0,0,0,0,0,3,4,1,0,0,2,0,4,1,0,0,0,1,28,0,0,0,0,2
"PDZRN3",0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0
"CNTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"RP11-803B1.8",0,1,0,0,0,0,2,2,0,0,0,0,1,0,3,1,0,0,0,0,16,0,0,0,0,1
"LINC00960",3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,82,0,0,0,0,1
"ZNF717",2,0,3,1,0,1,0,5,0,0,0,0,0,0,5,1,0,0,1,0,53,0,0,0,0,2
"ROBO1",2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,4
