"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"ZFYVE9",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,21,0,0,0
"CC2D1B",5,0,4,0,0,0,3,1,0,0,0,1,0,0,0,0,0,42,0,0,0
"ORC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"PRPF38A",17,4,7,1,2,1,23,9,3,1,15,14,1,1,4,2,1,378,6,0,13
"ZCCHC11",2,1,1,0,0,0,11,4,0,0,7,2,2,0,2,4,0,54,1,1,7
"GPX7",1,2,0,0,0,0,17,0,0,1,13,1,4,2,1,0,1,15,1,0,2
"FAM159A",0,0,0,0,0,0,1,1,0,1,5,14,0,0,3,4,0,0,6,0,0
"ZYG11B",1,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,23,0,0,0
"ECHDC2",12,4,4,2,0,2,43,14,1,0,16,8,0,0,2,2,1,729,0,2,3
"SCP2",53,9,26,13,2,3,101,35,4,1,63,58,6,3,7,3,5,1688,20,6,29
"SLC1A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"CPT2",5,0,1,0,0,0,9,2,0,0,2,3,0,0,0,0,0,324,2,0,1
"C1orf123",31,6,9,6,0,2,66,9,1,0,6,9,1,0,1,1,1,365,4,0,10
"MAGOH",36,5,24,3,1,1,66,18,7,4,24,34,3,5,5,2,2,640,9,4,13
"GLIS1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDC1",3,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,56,0,0,1
"YIPF1",2,0,3,0,0,1,20,4,0,0,7,8,0,0,0,0,1,87,2,0,6
"HSPB11",21,8,5,0,0,1,46,8,5,1,19,21,4,0,1,2,1,275,8,1,5
"LRRC42",1,1,1,0,0,0,8,1,1,0,3,2,0,0,0,0,0,80,0,0,4
"TMEM59",175,22,70,8,5,15,681,39,16,6,121,90,45,6,21,14,3,4553,95,14,100
"TCEANC2",1,0,1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,18,1,0,2
"CYB5RL",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,1
"MRPL37",20,0,11,1,0,2,42,6,1,2,5,6,3,0,1,0,0,766,3,2,9
"SSBP3",0,0,1,0,0,1,48,0,0,0,1,2,2,0,1,0,1,198,1,0,2
"ACOT11",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,291,0,0,0
"MROH7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"TTC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"PARS2",0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,34,0,0,0
"TTC22",0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,147,0,0,1
"DHCR24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0
"TMEM61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0
