"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"VPS26A",17,5,23,2,1,2,12,155,6,8,0,1,0,5,45,11,3,0,13,3,0,3,530,18,0,7,5,20
"SUPV3L1",0,3,1,0,0,0,3,19,0,0,0,0,0,0,15,2,0,1,5,0,0,0,255,7,0,3,3,5
"RP11-227H15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"HKDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
"HK1",10,3,11,1,0,1,9,35,1,1,0,0,0,2,17,3,0,0,7,1,0,0,247,5,0,2,3,17
"TACR2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0
"TSPAN15",4,1,5,0,0,1,37,7,0,2,0,0,0,0,11,0,4,0,1,0,0,0,612,0,0,0,0,9
"C10orf35",0,2,1,0,0,0,5,1,2,1,1,0,0,0,30,4,0,0,5,0,1,1,125,3,0,0,0,0
"COL13A1",0,1,0,0,0,0,0,178,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
"H2AFY2",3,1,7,0,0,1,0,110,3,3,0,0,0,0,6,3,2,0,3,0,0,0,419,0,0,0,1,6
"AIFM2",2,0,1,0,0,0,2,35,0,0,0,0,0,1,3,0,0,0,0,0,0,0,239,19,0,0,1,2
"TYSND1",1,2,1,0,1,1,0,54,1,1,1,0,0,0,13,4,1,1,2,0,0,1,407,21,0,5,4,4
"SAR1A",18,5,19,0,1,1,12,113,7,3,3,0,1,3,56,12,5,0,12,0,2,6,544,81,1,6,3,24
"PPA1",36,27,214,0,1,8,16,877,16,14,5,0,3,21,251,43,6,2,57,3,2,25,6281,248,5,65,17,354
"NPFFR1",0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
"LRRC20",0,0,4,0,0,0,1,18,0,0,0,0,0,1,0,0,0,0,2,0,0,0,68,1,0,1,0,0
"EIF4EBP2",10,3,18,1,1,1,4,103,5,2,0,0,1,1,35,10,3,2,7,0,2,5,599,22,2,6,4,10
"PALD1",1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"PRF1",0,27,2,4,1,2,0,1,34,0,1,1,0,0,54,44,0,0,10,0,19,31,3,2,0,0,4,0
"ADAMTS14",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"SGPL1",15,0,0,0,0,0,1,11,0,0,0,0,0,0,3,0,0,0,1,0,0,0,218,4,0,1,1,2
"PCBD1",59,4,57,0,0,1,13,327,7,0,1,0,2,9,27,6,5,0,4,0,1,6,5056,91,1,13,2,29
"UNC5B",1,0,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,20
"UNC5B-AS1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"SLC29A3",2,0,7,0,0,0,0,12,0,0,0,0,0,1,2,0,0,1,1,0,0,0,33,1,0,0,1,1
"CDH23",1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,11,1,0,0,1,2
"C10orf54",32,11,90,2,1,10,29,267,5,14,2,0,2,3,135,27,1,5,26,0,0,19,414,133,1,0,8,88
"PSAP",857,21,478,2,2,5,219,1765,12,13,1,1,23,22,143,27,32,1,30,0,2,19,2813,643,36,7,19,234
"CHST3",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"SPOCK2",0,12,3,0,0,4,0,2,3,4,1,0,0,6,173,18,0,1,43,0,3,11,3,4,0,0,35,5
"ASCC1",2,0,3,0,0,0,1,54,0,0,0,0,1,0,6,5,2,1,4,0,0,0,85,9,1,5,1,5
"ANAPC16",37,48,59,5,5,14,56,849,40,21,4,4,2,63,382,82,21,5,104,1,15,43,3488,376,4,35,32,132
"DDIT4",25,35,125,3,7,27,58,383,17,19,10,3,13,46,554,70,1,7,145,5,27,58,413,456,10,4,57,70
"RP11-442H21.2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"DNAJB12",10,2,14,0,0,1,7,77,1,1,1,0,2,5,20,3,0,0,6,0,0,3,389,23,1,3,3,19
"MICU1",4,1,3,0,0,0,7,44,1,0,0,1,0,0,7,3,0,0,6,0,0,1,296,11,0,2,0,6
"MCU",0,1,4,0,0,1,4,11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,383,4,0,2,0,6
