"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"AL591479.1",0,0,0,0,6,0,0,2,1,0,0,2,0,7,0,2
"AL592284.1",4,1,2,2,39,3,0,2,7,3,1,2,2,36,1,1
"AMICA1",82,2,131,0,1,8,1,0,58,12,0,8,6,1,7,1
"ANKRD10-IT1",1,0,0,0,12,0,0,1,0,0,0,0,0,8,0,0
"ANKRD32",1,0,0,0,9,3,0,0,8,1,0,0,0,15,0,1
"AP000330.8",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"AP000350.4",0,1,2,0,7,0,0,0,1,0,0,0,0,6,0,0
"AP000688.8",0,0,0,12,39,0,0,0,0,0,0,0,0,0,0,1
"AP001816.1",2,0,0,0,32,0,0,0,1,0,1,4,0,19,0,2
"AZI1",1,0,0,0,2,0,0,0,0,0,0,0,0,11,0,1
"B3GALTL",0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0
"B3GNT1",1,0,0,2,43,0,1,0,1,0,3,0,0,25,0,14
"BCMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"BMS1P20",2,0,2,1,15,1,1,0,1,0,0,0,0,10,0,1
"C10orf118",0,4,0,0,43,2,0,0,4,0,5,2,0,20,0,8
"C10orf137",1,0,0,0,5,0,0,0,0,1,0,1,0,9,2,2
"C10orf32",17,2,6,3,91,3,0,7,11,0,1,0,3,106,0,30
"C11orf30",1,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0
"C11orf48",34,5,13,2,126,5,3,3,30,3,3,9,2,228,1,37
"C11orf83",18,0,0,2,122,5,0,0,4,0,10,1,0,355,0,23
"C12orf23",4,0,2,5,24,0,0,0,5,0,0,0,0,5,0,10
"C12orf36",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C12orf44",16,1,6,1,67,3,0,0,15,2,9,2,0,90,3,22
"C12orf5",14,0,8,0,5,0,0,0,5,0,0,1,0,8,0,3
"C12orf52",3,0,4,0,9,3,1,0,2,0,0,0,0,39,0,12
"C12orf68",0,0,0,4,11,0,2,0,10,0,0,0,0,0,0,4
"C14orf182",0,0,0,0,1,3,0,0,3,0,0,0,0,12,0,0
"C14orf64",1,0,0,0,6,0,0,0,3,1,0,1,0,9,0,1
"C15orf38",22,0,3,1,11,0,0,0,1,0,2,0,0,29,0,4
"C16orf80",4,0,6,9,78,1,1,0,9,5,5,4,0,48,1,94
"C16orf93",1,0,0,0,3,0,1,1,0,0,0,0,0,4,0,4
"C16orf98",3,0,0,0,8,0,0,0,0,0,0,0,0,15,0,1
"C17orf103",1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
"C17orf59",2,1,1,2,24,1,7,0,2,2,2,1,1,21,0,8
"C17orf70",6,1,2,0,12,0,0,1,0,1,0,0,0,13,0,2
"C17orf76-AS1",208,11,125,15,1706,29,10,13,106,8,35,47,7,4733,5,189
"C17orf85",0,0,2,0,24,0,2,0,3,0,0,0,0,17,3,4
"C18orf56",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"C19orf10",107,3,32,10,376,9,0,1,15,4,11,3,2,627,1,94
"C19orf40",2,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1
"C19orf55",0,0,0,0,8,0,0,1,0,0,0,0,0,12,3,1
"C19orf77",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
"C19orf82",1,0,4,1,18,0,0,0,1,0,0,0,0,9,0,4
"C1orf172",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
"C1orf222",0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0
"C1orf63",18,11,31,11,235,8,24,16,28,13,17,10,3,117,9,68
"C1orf85",19,0,3,5,91,0,0,0,6,0,4,1,0,43,0,14
"C1orf86",37,3,25,5,212,2,0,7,18,3,19,1,0,176,1,38
