"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"RP4-569M23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"NCOA3",1,0,3,0,0,0,3,0,0,0,0,0,14,7,1,0,1,3,0,0,0,3,0,10,0,1,2
"SULF2",8,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,13,0,1,0,0,5
"PREX1",15,2,5,0,2,0,6,5,0,1,2,0,8,20,5,0,0,5,0,0,0,0,0,4,3,5,4
"ARFGEF2",1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,7,0,3,0,0,2
"CSE1L",3,0,3,1,0,1,6,1,0,0,0,0,2,5,1,0,0,2,0,0,0,40,0,4,0,0,5
"STAU1",2,0,2,0,0,1,28,2,0,0,1,0,4,17,4,1,1,7,0,0,1,37,0,14,1,6,7
"DDX27",9,0,7,4,0,1,16,4,1,1,3,0,11,41,8,1,4,16,1,1,5,52,0,17,3,8,5
"ZNFX1",4,2,7,0,2,1,20,2,2,0,0,0,4,25,3,0,0,8,0,0,0,14,0,8,5,5,13
"ZFAS1",46,25,50,7,16,5,177,34,19,4,10,11,164,424,65,1,23,108,14,6,29,403,2,117,11,48,37
"B4GALT5",2,0,0,0,1,0,6,2,0,1,0,0,1,3,1,0,0,0,0,0,0,18,0,2,0,0,2
"SLC9A8",2,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,16,0,1,0,1,0
